City_ID,Name,Admin unit,County,Acres burned,Lon,Lat,Date extinguished,Date created,Duration (days),Year extinguished,Year,Month created (num),Month
0, Bridge Fire, Shasta-Trinity National Forest ,Shasta,37.0,-122.309,40.774,2018-01-09,2017-10-31,70 days,2018,2017,10,October
1,Pala Fire,CAL FIRE San Diego Unit,San Diego,122.0,1.0,1.0,2009-05-25,2009-05-24,1 days,2009,2009,5,May
2,River Fire,CAL FIRE San Bernardino Unit,Inyo,407.0,-118.01651,36.602575,2013-02-28,2013-02-24,4 days,2013,2013,2,February
3,Fawnskin Fire,San Bernardino National Forest,San Bernardino,30.0,-116.941311,34.288877,2013-04-22,2013-04-20,2 days,2013,2013,4,April
4,Gold Fire,CAL FIRE Madera-Mariposa-Merced Unit,Madera,274.0,-119.635004,37.116295,2013-05-01,2013-04-30,1 days,2013,2013,4,April
5,Panther Fire,CAL FIRE Butte Unit,Tehama,6896.0,-121.595555,40.190062,2013-05-09,2013-05-01,8 days,2013,2013,5,May
6,Silverado Fire,CAL FIRE Sonoma-Lake-Napa Unit,Napa,75.0,-122.350844,38.441792,2013-05-01,2013-04-30,1 days,2013,2013,4,April
7,Yellow Fire,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,125.0,-122.655616,38.638828,2013-05-03,2013-05-01,2 days,2013,2013,5,May
8,Summit Fire,CAL FIRE/Riverside County Fire ,Riverside,2956.0,-116.941311,34.288877,2013-05-04,2013-05-01,3 days,2013,2013,5,May
9,Tres Pinos Fire,CAL FIRE San Benito-Monterey ,San Benito,354.0,-120.937494,37.160346,2013-05-03,2013-05-03,0 days,2013,2013,5,May
10,306 Fire,CAL FIRE Tehama-Glenn Unit,Glenn,217.0,-122.560862,39.514139,2013-05-05,2013-05-01,4 days,2013,2013,5,May
11,Lytle Fire,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,75.0,-117.4408,34.1834,2013-05-15,2013-05-13,2 days,2013,2013,5,May
12,Gorgonio Fire,CAL FIRE/Riverside County Fire,Riverside,650.0,-116.855019,33.894055,2013-05-05,2013-05-04,1 days,2013,2013,5,May
13,Grand Fire,CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura",4346.0,-118.9411,34.7861,2013-05-21,2013-05-15,6 days,2013,2013,5,May
14,54 Fire,CAL FIRE Riverside Unit,Riverside,40.0,-116.161201,33.655638,2013-05-17,2013-05-16,1 days,2013,2013,5,May
15,Lake Fire,CAL FIRE/Los Angeles County ,Los Angeles,712.0,-118.610044,34.49149,2013-05-18,2013-05-17,1 days,2013,2013,5,May
16,Lilly 2 Fire,CAL FIRE Madera-Mariposa-Merced Unit,Madera,91.0,-119.7917,37.1927,2013-05-20,2013-05-19,1 days,2013,2013,5,May
17,Cottontail Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,35.0,-120.91375,35.49864,2013-05-20,2013-05-20,0 days,2013,2013,5,May
18,Cherry Fire,CAL FIRE Riverside Unit,Riverside,25.0,-116.907213,33.96201,2013-05-20,2013-05-20,0 days,2013,2013,5,May
19,Water Fire,CAL FIRE/Riverside County Fire ,Riverside,90.0,-116.6534,33.9582,2013-05-21,2013-05-21,0 days,2013,2013,5,May
20,Shelton Fire,CAL FIRE Tuolumne-Calaveras Unit ,San Joaquin,303.0,-120.90325,38.04993,2013-05-30,2013-05-30,0 days,2013,2013,5,May
21,Border Fire,CAL FIRE San Diego Unit,San Diego,100.0,-116.900368,32.564465,2013-05-23,2013-05-22,1 days,2013,2013,5,May
22,San Felipe Fire,CAL FIRE San Diego Unit,San Diego,2650.0,-116.52579,33.12111,2013-05-26,2013-05-23,3 days,2013,2013,5,May
23,Homestead Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,50.0,-120.6368,35.5123,2013-05-25,2013-05-25,0 days,2013,2013,5,May
24,Smiley Fire,CAL FIRE/Riverside County Fire,Riverside,124.0,-117.187934,33.963591,2013-05-25,2013-05-25,0 days,2013,2013,5,May
