City_ID,Year,Month,Month created (num),County,Acres Burned Avg,Acres Burned Tot,Fire Duration Avg (days),Incident Count Tot
3,2013,April,4,Madera,274.0,274.0,1.0,1
4,2013,April,4,Napa,75.0,75.0,1.0,1
5,2013,April,4,San Bernardino,30.0,30.0,2.0,1
6,2013,August,8,Butte,812.0,2436.0,3.3333333333333335,3
7,2013,August,8,Calaveras,46.0,46.0,2.0,1
8,2013,August,8,El Dorado,77.0,154.0,0.0,2
9,2013,August,8,Humboldt,6251.5,12503.0,1.0,2
10,2013,August,8,Kern,794.0,794.0,6.0,1
11,2013,August,8,Lake,54.0,108.0,1.0,2
12,2013,August,8,Lassen,97.0,97.0,3.0,1
13,2013,August,8,Nevada,52.0,52.0,0.0,1
14,2013,August,8,Placer,27440.0,27440.0,20.0,1
15,2013,August,8,Plumas,513.0,513.0,7.0,1
16,2013,August,8,Riverside,4367.0,21835.0,2.2,5
17,2013,August,8,San Bernardino,215.75,863.0,3.0,4
18,2013,August,8,Shasta,111.5,223.0,2.0,2
19,2013,August,8,Siskiyou,50.0,50.0,0.0,1
20,2013,August,8,Tehama,11429.0,11429.0,6.0,1
21,2013,August,8,Tulare,2060.0,2060.0,31.0,1
22,2013,August,8,Tuolumne,129192.0,258384.0,14.5,2
23,2013,December,12,Santa Clara,40.0,40.0,0.0,1
24,2013,February,2,Inyo,407.0,407.0,4.0,1
25,2013,July,7,Alameda,44.0,88.0,0.0,2
26,2013,July,7,Calaveras,31.0,31.0,1.0,1
27,2013,July,7,Contra Costa,383.0,766.0,0.0,2
28,2013,July,7,El Dorado,326.75,653.5,1.5,2
29,2013,July,7,Fresno,22992.0,22992.0,64.0,1
30,2013,July,7,Kern,556.0,1112.0,2.5,2
31,2013,July,7,Mendocino,45.0,45.0,0.0,1
32,2013,July,7,Modoc,502.0,502.0,2.0,1
33,2013,July,7,Riverside,6934.0,27736.0,4.25,4
34,2013,July,7,Sacramento,81.5,81.5,0.0,1
35,2013,July,7,San Bernardino,75.0,75.0,1.0,1
36,2013,July,7,San Diego,3540.0,7080.0,4.5,2
37,2013,July,7,San Luis Obispo,85.0,85.0,0.0,1
38,2013,July,7,Santa Clara,50.0,50.0,0.0,1
39,2013,July,7,Shasta,43.0,43.0,0.0,1
40,2013,July,7,Siskiyou,14754.0,14754.0,31.0,1
41,2013,July,7,Sonoma,158.0,158.0,0.0,1
42,2013,July,7,Stanislaus,150.0,150.0,1.0,1
43,2013,July,7,Tehama,197.5,395.0,0.0,2
44,2013,July,7,Yuba,73.0,73.0,0.0,1
45,2013,June,6,Alameda,240.0,240.0,0.0,1
46,2013,June,6,Amador,96.0,96.0,1.0,1
47,2013,June,6,Butte,298.0,298.0,0.0,1
48,2013,June,6,Colusa,7.0,7.0,4.0,1
49,2013,June,6,Fresno,84.75,339.0,0.5,4
50,2013,June,6,Lake,20.666666666666668,62.0,1.6666666666666667,3
51,2013,June,6,Madera,277.5,555.0,2.0,2
52,2013,June,6,Mariposa,1708.0,1708.0,10.0,1
53,2013,June,6,Merced,124.0,124.0,1.0,1
54,2013,June,6,Monterey,105.0,105.0,0.0,1
55,2013,June,6,Placer,237.0,237.0,0.0,1
56,2013,June,6,Riverside,27.333333333333332,82.0,0.3333333333333333,3
57,2013,June,6,San Bernardino,534.0,534.0,3.0,1
58,2013,June,6,San Luis Obispo,500.0,500.0,2.0,1
59,2013,June,6,Solano,65.5,131.0,2.0,2
60,2013,June,6,Sonoma,7.0,7.0,4.0,1
61,2013,June,6,Tuolumne,100.0,100.0,0.0,1
62,2013,May,5,Glenn,217.0,217.0,4.0,1
63,2013,May,5,Kern,2173.0,2173.0,6.0,1
64,2013,May,5,Los Angeles,10378.333333333334,31135.0,3.6666666666666665,3
65,2013,May,5,Madera,91.0,91.0,1.0,1
66,2013,May,5,Riverside,647.5,3885.0,0.8333333333333334,6
67,2013,May,5,San Benito,354.0,354.0,0.0,1
68,2013,May,5,San Bernardino,75.0,75.0,2.0,1
69,2013,May,5,San Diego,1750.0,5250.0,3.0,3
70,2013,May,5,San Joaquin,303.0,303.0,0.0,1
71,2013,May,5,San Luis Obispo,42.5,85.0,0.0,2
72,2013,May,5,Santa Barbara,1077.0,2154.0,2.0,2
73,2013,May,5,Sonoma,125.0,125.0,2.0,1
74,2013,May,5,Tehama,6896.0,6896.0,8.0,1
75,2013,May,5,Ventura,2173.0,2173.0,6.0,1
76,2013,November,11,Lake,64.33333333333333,193.0,1.3333333333333333,3
77,2013,November,11,Mendocino,82.0,82.0,0.0,1
78,2013,November,11,Napa,190.0,190.0,2.0,1
79,2013,November,11,San Luis Obispo,51.0,51.0,1.0,1
80,2013,November,11,Shasta,33.0,33.0,0.0,1
81,2013,November,11,Sonoma,3505.0,3505.0,5.0,1
82,2013,November,11,Ventura,64.0,64.0,1.0,1
83,2013,November,11,Yolo,163.0,163.0,0.0,1
84,2013,October,10,Butte,305.0,305.0,1.0,1
85,2013,October,10,Napa,376.0,376.0,1.0,1
86,2013,October,10,Orange,40.0,40.0,3.0,1
87,2013,October,10,San Diego,2236.0,2236.0,4.0,1
88,2013,October,10,Sonoma,159.0,159.0,1.0,1
89,2013,September,9,Contra Costa,3111.0,3111.0,6.0,1
90,2013,September,9,Lake,30.0,30.0,0.0,1
91,2013,September,9,Los Angeles,268.0,268.0,5.0,1
92,2013,September,9,Mendocino,98.0,98.0,1.0,1
93,2013,September,9,Modoc,82.5,165.0,10.5,2
94,2013,September,9,San Bernardino,136.5,273.0,3.5,2
95,2013,September,9,San Diego,263.0,263.0,3.0,1
96,2013,September,9,San Luis Obispo,94.0,94.0,0.0,1
97,2013,September,9,San Mateo,41.0,41.0,0.0,1
98,2013,September,9,Shasta,8073.0,8073.0,6.0,1
99,2013,September,9,Tulare,134.0,134.0,16.0,1
100,2014,April,4,Inyo,113.0,113.0,2.0,1
101,2014,April,4,Monterey,75.0,75.0,1.0,1
102,2014,April,4,San Bernardino,2143.0,2143.0,5.0,1
103,2014,August,8,Kern,4045.0,4045.0,9.0,1
104,2014,August,8,Los Angeles,232.0,464.0,118.5,2
105,2014,August,8,Madera,311.0,622.0,57.5,2
106,2014,August,8,Modoc,101.0,101.0,1.0,1
107,2014,August,8,Nevada,84.0,84.0,1.0,1
108,2014,August,8,San Diego,20.0,20.0,1.0,1
109,2014,August,8,Shasta,25.0,25.0,0.0,1
110,2014,August,8,Siskiyou,0.0,0.0,3.0,1
111,2014,August,8,Trinity,461.0,461.0,4.0,1
112,2014,January,1,Fresno,106.0,106.0,1.0,1
113,2014,January,1,Humboldt,333.0,333.0,4.0,1
114,2014,January,1,Los Angeles,1952.0,1952.0,11.0,1
115,2014,January,1,Tehama,865.0,865.0,8.0,1
116,2014,July,7,Amador,2120.0,2120.0,8.0,1
117,2014,July,7,Butte,72.0,72.0,2.0,1
118,2014,July,7,Contra Costa,80.0,80.0,1.0,1
119,2014,July,7,El Dorado,1075.0,2150.0,4.0,2
120,2014,July,7,Kern,1680.0,1680.0,10.0,1
121,2014,July,7,Lake,2150.0,2150.0,8.0,1
122,2014,July,7,Modoc,5424.333333333333,16273.0,6.666666666666667,3
123,2014,July,7,Napa,2150.0,2150.0,8.0,1
124,2014,July,7,Nevada,38.0,38.0,1.0,1
125,2014,July,7,San Diego,217.0,217.0,3.0,1
126,2014,July,7,San Luis Obispo,47.0,47.0,1.0,1
127,2014,July,7,Shasta,15214.833333333334,91289.0,27.833333333333332,6
128,2014,July,7,Siskiyou,20402.5,40805.0,18.5,2
129,2014,July,7,Trinity,15.0,15.0,2.0,1
130,2014,July,7,Yolo,6488.0,6488.0,8.0,1
131,2014,June,6,Calaveras,102.5,205.0,1.5,2
132,2014,June,6,Fresno,32.5,65.0,2.0,2
133,2014,June,6,Kern,3895.0,3895.0,7.0,1
134,2014,June,6,Mariposa,130.0,130.0,3.0,1
135,2014,June,6,Solano,70.0,70.0,1.0,1
136,2014,June,6,Tehama,225.0,225.0,0.0,1
137,2014,June,6,Tuolumne,335.5,671.0,1.0,2
138,2014,March,3,Monterey,400.0,400.0,2.0,1
139,2014,March,3,Riverside,57.0,57.0,1.0,1
140,2014,March,3,San Diego,125.0,125.0,3.0,1
141,2014,May,5,Lake,175.0,175.0,1.0,1
142,2014,May,5,San Diego,1625.142857142857,11376.0,3.7142857142857144,7
143,2014,May,5,Santa Barbara,632.0,632.0,6.0,1
144,2014,May,5,Shasta,50.0,50.0,1.0,1
145,2014,October,10,Mariposa,311.0,311.0,5.0,1
146,2014,October,10,San Bernardino,48.0,48.0,1.0,1
147,2014,September,9,El Dorado,32610.333333333332,97831.0,9.666666666666666,3
148,2014,September,9,Humboldt,210.0,210.0,3.0,1
149,2014,September,9,Madera,320.0,320.0,8.0,1
150,2014,September,9,Napa,27.0,27.0,4.0,1
151,2014,September,9,Nevada,247.0,247.0,5.0,1
152,2014,September,9,Orange,968.0,968.0,10.0,1
153,2014,September,9,Shasta,1375.0,1375.0,6.0,1
154,2014,September,9,Siskiyou,516.0,516.0,26.0,1
155,2014,September,9,Tuolumne,70.0,70.0,1.0,1
156,2015,April,4,Plumas,137.0,137.0,5.0,1
157,2015,April,4,Riverside,1049.0,1049.0,6.0,1
158,2015,August,8,Alameda,2850.0,2850.0,3.0,1
159,2015,August,8,Calaveras,114.0,114.0,5.0,1
160,2015,August,8,Humboldt,146.0,146.0,11.0,1
161,2015,August,8,Lake,4265.333333333333,12796.0,7.333333333333333,3
162,2015,August,8,Lassen,5300.0,10600.0,1.0,2
163,2015,August,8,Napa,12559.0,12559.0,16.0,1
164,2015,August,8,Riverside,500.0,500.0,5.0,1
165,2015,August,8,San Bernardino,55.0,55.0,19.0,1
166,2015,August,8,San Diego,55.0,55.0,1.0,1
167,2015,August,8,San Luis Obispo,2446.0,2446.0,12.0,1
168,2015,August,8,Santa Barbara,52.0,52.0,2.0,1
169,2015,August,8,Shasta,67.0,134.0,1.5,2
170,2015,August,8,Tehama,110.0,110.0,1.0,1
171,2015,August,8,Trinity,128.0,128.0,4.0,1
172,2015,August,8,Tuolumne,112.0,112.0,1.0,1
173,2015,August,8,Yuba,30.0,30.0,2.0,1
174,2015,February,2,Siskiyou,200.0,200.0,6.0,1
175,2015,July,7,Butte,400.0,400.0,5.0,1
176,2015,July,7,Contra Costa,195.0,195.0,0.0,1
177,2015,July,7,El Dorado,75.0,75.0,6.0,1
178,2015,July,7,Fresno,151623.0,151623.0,101.0,1
179,2015,July,7,Humboldt,87.0,174.0,5.5,2
180,2015,July,7,Lake,69636.0,69636.0,16.0,1
181,2015,July,7,Los Angeles,200.0,200.0,18.0,1
182,2015,July,7,Madera,5702.0,5702.0,19.0,1
183,2015,July,7,Mendocino,36.5,73.0,2.5,2
184,2015,July,7,Modoc,1685.3333333333333,5056.0,2.0,3
185,2015,July,7,Napa,8051.0,8051.0,14.0,1
186,2015,July,7,Nevada,2304.0,2304.0,18.0,1
187,2015,July,7,Orange,214.0,214.0,2.0,1
188,2015,July,7,Placer,26.0,26.0,0.0,1
189,2015,July,7,Riverside,21.0,21.0,0.0,1
190,2015,July,7,San Benito,25.0,25.0,0.0,1
191,2015,July,7,San Bernardino,2152.0,4304.0,6.5,2
192,2015,July,7,San Diego,72.33333333333333,217.0,1.3333333333333333,3
193,2015,July,7,San Luis Obispo,95.0,95.0,5.0,1
194,2015,July,7,Shasta,98.75,395.0,1.75,4
195,2015,July,7,Siskiyou,102.5,205.0,1.0,2
