City_ID,Name,Year,Month,Month created (num),County,Acres burned,Duration (days),Lat,Lon
0, Bridge Fire,2017,October,10,Shasta,37.0,70.0,40.774,-122.309
1,Pala Fire,2009,May,5,San Diego,122.0,1.0,1.0,1.0
2,River Fire,2013,February,2,Inyo,407.0,4.0,36.602575,-118.01651
3,Fawnskin Fire,2013,April,4,San Bernardino,30.0,2.0,34.288877,-116.941311
4,Gold Fire,2013,April,4,Madera,274.0,1.0,37.116295,-119.635004
5,Panther Fire,2013,May,5,Tehama,6896.0,8.0,40.190062,-121.595555
6,Silverado Fire,2013,April,4,Napa,75.0,1.0,38.441792,-122.350844
7,Yellow Fire,2013,May,5,Sonoma,125.0,2.0,38.638828,-122.655616
8,Summit Fire,2013,May,5,Riverside,2956.0,3.0,34.288877,-116.941311
9,Tres Pinos Fire,2013,May,5,San Benito,354.0,0.0,37.160346,-120.937494
10,306 Fire,2013,May,5,Glenn,217.0,4.0,39.514139,-122.560862
11,Lytle Fire,2013,May,5,San Bernardino,75.0,2.0,34.1834,-117.4408
12,Gorgonio Fire,2013,May,5,Riverside,650.0,1.0,33.894055,-116.855019
13,54 Fire,2013,May,5,Riverside,40.0,1.0,33.655638,-116.161201
14,Lake Fire,2013,May,5,Los Angeles,712.0,1.0,34.49149,-118.610044
15,Lilly 2 Fire,2013,May,5,Madera,91.0,1.0,37.1927,-119.7917
16,Cottontail Fire,2013,May,5,San Luis Obispo,35.0,0.0,35.49864,-120.91375
17,Cherry Fire,2013,May,5,Riverside,25.0,0.0,33.96201,-116.907213
18,Water Fire,2013,May,5,Riverside,90.0,0.0,33.9582,-116.6534
19,Shelton Fire,2013,May,5,San Joaquin,303.0,0.0,38.04993,-120.90325
20,Border Fire,2013,May,5,San Diego,100.0,1.0,32.564465,-116.900368
21,San Felipe Fire,2013,May,5,San Diego,2650.0,3.0,33.12111,-116.52579
22,Homestead Fire,2013,May,5,San Luis Obispo,50.0,0.0,35.5123,-120.6368
23,Smiley Fire,2013,May,5,Riverside,124.0,0.0,33.963591,-117.187934
24,General Fire,2013,May,5,San Diego,2500.0,5.0,33.04458,-116.5209
25,White Fire,2013,May,5,Santa Barbara,1984.0,3.0,34.55048,-119.82429
26,Magic Fire,2013,May,5,Los Angeles,149.0,1.0,34.419284,-118.58688
27,Olive Fire,2013,May,5,Santa Barbara,170.0,1.0,34.611824,-120.074655
28,Branch Fire,2013,June,6,San Luis Obispo,500.0,2.0,35.15832,-120.05131
29,Murphy Fire,2013,June,6,Tuolumne,100.0,0.0,37.91529,-120.33313
30,Lone Fire,2013,June,6,Butte,298.0,0.0,39.434183,-121.576804
31,Hathaway Fire,2013,June,6,Riverside,0.0,0.0,33.99647,-116.84137
32,152 Fire,2013,June,6,Merced,124.0,1.0,37.03776,-121.006939
33,Lake Fire,2013,June,6,Lake,30.0,1.0,38.99233,-122.703193
34,Powerhouse Fire,2013,May,5,Los Angeles,30274.0,9.0,34.585595,-118.423176
35,Vasco Fire,2013,June,6,Alameda,240.0,0.0,37.775057,-121.737213
36,Viper Fire,2013,June,6,Riverside,42.0,0.0,33.96936,-117.1265
37,Roadrunner Fire,2013,June,6,Amador,96.0,1.0,38.27783,-120.966016
38,Revis Fire,2013,June,6,Madera,75.0,2.0,37.169379,-119.75636
39,Clinton Fire,2013,June,6,Fresno,108.0,0.0,36.772425,-119.628389
40,Carstens Fire,2013,June,6,Mariposa,1708.0,10.0,37.58202,-119.91071
41,PFE Fire,2013,June,6,Placer,237.0,0.0,38.729297,-121.380862
42,Michelle Fire,2013,June,6,Fresno,35.0,0.0,36.763367,-119.558244
43,Palmyrita Fire,2013,June,6,Riverside,40.0,1.0,34.001745,-117.302057
44,Rolling Fire,2013,June,6,Madera,480.0,2.0,37.015575,-119.78106
45,California Fire,2013,June,6,Solano,124.0,0.0,38.08744,-122.13802
46,Sierra Fire,2013,June,6,Fresno,46.0,2.0,37.03087,-119.463757
47,George Fire,2013,June,6,Fresno,150.0,0.0,36.7218,-119.2248
48,Mount Fire,2013,June,6,Lake,25.0,0.0,38.98058,-122.81796
49,Mills Fire,2013,June,6,San Bernardino,534.0,3.0,34.071556,-117.048397
50,Concord Fire,2013,July,7,Contra Costa,274.0,0.0,39.90465,-121.74367
51,Freeman Fire,2013,June,6,Monterey,105.0,0.0,36.1531,-120.8973
52,Kirker Fire,2013,July,7,Contra Costa,492.0,0.0,37.96866,-121.91453
53,Fox Fire (formally 3-7 Fire),2013,July,7,Modoc,502.0,2.0,41.2415,-121.035
54,Vina Fire,2013,July,7,Tehama,200.0,0.0,40.012398,-122.079871
55,Grant Fire,2013,July,7,Alameda,50.0,0.0,37.7393,-121.5869
56,Fallon Fire,2013,July,7,Alameda,38.0,0.0,37.74241,-121.86216
57,Chariot Fire,2013,July,7,San Diego,7055.0,9.0,32.95435,-116.47381
58,Adelaida Fire,2013,July,7,San Luis Obispo,85.0,0.0,35.62743,-120.83417
59,McGanney Fire,2013,July,7,Yuba,73.0,0.0,39.206,-121.31634
60,Fiddler Fire,2013,July,7,Shasta,43.0,0.0,40.373,-122.7338
61,Kyburz Fire,2013,July,7,El Dorado,572.0,3.0,38.774,-120.298
62,Uvas Fire,2013,July,7,Santa Clara,50.0,0.0,37.1438,-121.7804
63,Diablo Fire,2013,July,7,Stanislaus,150.0,1.0,37.436,-121.1955
64,Mountain Fire,2013,July,7,Riverside,27531.0,15.0,33.7095,-116.72885
65,Orleans Complex,2013,August,8,Humboldt,0.0,0.0,41.333,-123.376
66,Silverwood Fire,2013,July,7,San Bernardino,75.0,1.0,34.316,-117.352
67,Flume Fire,2013,July,7,San Diego,25.0,0.0,32.612773,-116.707335
68,Aspen Fire,2013,July,7,Fresno,22992.0,64.0,37.279,-119.318
69,Salmon River Complex,2013,July,7,Siskiyou,14754.0,31.0,41.32,-123.176
70,Branch Fire,2013,August,8,Butte,92.0,3.0,39.6612,-121.50354
71,Redlands Fire,2013,July,7,Riverside,150.0,1.0,33.990128,-117.164997
72,Relay Fire,2013,August,8,Riverside,60.0,0.0,33.91027,-116.99895
73,Water Fire,2013,July,7,Kern,612.0,2.0,34.90327,-118.93388
74,Pratt Fire,2013,July,7,Mendocino,45.0,0.0,38.980846,-123.067671
75,Rancho Fire,2013,July,7,Kern,500.0,3.0,34.882,-118.9194
76,Paskenta Fire,2013,July,7,Tehama,195.0,0.0,39.961309,-122.330879
77,Lakeville Fire,2013,July,7,Sonoma,158.0,0.0,38.17693,-122.51253
78,Heacock Fire,2013,July,7,Riverside,40.0,1.0,33.9634,-117.2508
79,Gilman Fire,2013,July,7,Riverside,15.0,0.0,33.94528,-117.09306
80,Chuckwagon Fire,2013,July,7,Calaveras,31.0,1.0,37.965364,-120.696362
81,Power Fire,2013,August,8,Tuolumne,1070.0,9.0,38.25108,-120.02778
82,Falls Fire,2013,August,8,Riverside,1383.0,4.0,33.62236,-117.40288
83,Tram Fire,2013,August,8,Riverside,60.0,2.0,38.838,-116.61
84,Indian Fire,2013,August,8,Lake,38.0,0.0,39.1591,-122.5906
85,Silver Fire,2013,August,8,Riverside,20292.0,5.0,33.86157,-116.90427
86,Corral Complex,2013,August,8,Humboldt,12503.0,2.0,41.035,-123.488
87,Cottonwood Fire,2013,August,8,Siskiyou,50.0,0.0,41.923323,-122.578393
88,Union Fire,2013,August,8,El Dorado,116.0,0.0,38.682378,-120.839075
89,Sharp Fire,2013,August,8,San Bernardino,243.0,5.0,34.35,-117.62
90,Cloverdale Fire,2013,August,8,Shasta,27.0,0.0,40.473356,-122.48259
91,Swedes Fire,2013,August,8,Butte,2264.0,6.0,39.446268,-121.38236
92,American Fire,2013,August,8,Placer,27440.0,20.0,39.12,-120.65
93,Coyote Fire,2013,August,8,Lassen,97.0,3.0,40.88886,-120.958126
94,Pierce Fire,2013,August,8,Riverside,40.0,0.0,33.570291,-116.10815
95,Double Fire,2013,August,8,Lake,70.0,2.0,39.013682,-122.491894
96,Bridges Fire,2013,August,8,Calaveras,46.0,2.0,38.06231,-120.45233
97,Cleghorn Fire,2013,August,8,San Bernardino,110.0,1.0,34.287,-117.451
98,Clover Fire,2013,September,9,Shasta,8073.0,6.0,40.498332,-122.535496
99,Plumas Lightning Complex (Hough),2013,August,8,Plumas,513.0,7.0,40.00842,-120.764666
100,Shirley Fire,2013,August,8,Kern,794.0,6.0,35.707,-118.588
101,Burney Lightning Series (Warner Fire),2013,August,8,Shasta,196.0,4.0,40.5445,-121.3754
102,Sierra Fire,2013,September,9,San Bernardino,200.0,6.0,34.2,-117.417
103,Deer Fire,2013,August,8,Tehama,11429.0,6.0,40.04263,-121.85397
104,Gobblers Fire,2013,August,8,San Bernardino,413.0,0.0,34.302,-117.598
105,Fish Fire,2013,August,8,Tulare,2060.0,31.0,36.208,-118.444
106,Empire Fire,2013,August,8,El Dorado,38.0,0.0,38.89555,-120.84716
107,Little Fire,2013,August,8,San Bernardino,97.0,6.0,33.642,-116.706
108,Chestnut Fire,2013,September,9,San Mateo,41.0,0.0,37.667295,-122.427285
109,Morgan Fire,2013,September,9,Contra Costa,3111.0,6.0,37.90757,-121.882582
110,Angora Fire,2013,September,9,Tulare,134.0,16.0,36.258,-118.459
111,Liveoak Fire,2013,September,9,San Bernardino,73.0,1.0,34.003151,-117.106075
