January 2024 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.33,0.18,72,0.15
CA-003,Alpine County,California,-1.5,-1.28,42,-0.22
CA-005,Amador County,California,-1.62,-1.52,42,-0.1
CA-007,Butte County,California,-0.79,-0.8,65,0.01
CA-009,Calaveras County,California,-1.62,-1.59,34,-0.03
CA-011,Colusa County,California,-0.65,-0.61,63,-0.04
CA-013,Contra Costa County,California,-1.48,-1.55,51,0.07
CA-015,Del Norte County,California,1.16,1.16,98,0
CA-017,El Dorado County,California,-1.01,-0.88,62,-0.13
CA-019,Fresno County,California,-2.65,-2.57,18,-0.08
CA-021,Glenn County,California,0.17,0.31,76,-0.14
CA-023,Humboldt County,California,1.12,1.26,99,-0.14
CA-025,Imperial County,California,0.98,0.68,89,0.3
CA-027,Inyo County,California,1.98,2.22,111,-0.24
CA-029,Kern County,California,1.24,1.52,95,-0.28
CA-031,Kings County,California,2.28,2.37,110,-0.09
CA-033,Lake County,California,0,0.03,72,-0.03
CA-035,Lassen County,California,-1.85,-1.99,42,0.14
CA-037,Los Angeles County,California,-1.4,-1.17,56,-0.23
CA-039,Madera County,California,-2.42,-2.42,22,0
CA-041,Marin County,California,-0.64,-0.66,68,0.02
CA-043,Mariposa County,California,-1.68,-1.66,36,-0.02
CA-045,Mendocino County,California,0.77,0.82,82,-0.05
CA-047,Merced County,California,2.18,2.33,104,-0.15
CA-049,Modoc County,California,-1.13,-1.45,52,0.32
CA-051,Mono County,California,-2.31,-2.07,33,-0.24
CA-053,Monterey County,California,1.02,1.07,87,-0.05
CA-055,Napa County,California,-1.13,-1.16,51,0.03
CA-057,Nevada County,California,0.56,0.65,86,-0.09
CA-059,Orange County,California,-1.78,-1.55,45,-0.23
CA-061,Placer County,California,0.64,0.77,87,-0.13
CA-063,Plumas County,California,0.8,0.83,86,-0.03
CA-065,Riverside County,California,0.59,0.56,86,0.03
CA-067,Sacramento County,California,-1.77,-1.68,43,-0.09
CA-069,San Benito County,California,0.87,0.96,82,-0.09
CA-071,San Bernardino County,California,-1.28,-1.18,54,-0.1
CA-073,San Diego County,California,1.16,1.03,89,0.13
CA-075,San Francisco County,California,1.28,1.08,83,0.2
CA-077,San Joaquin County,California,0.72,0.85,83,-0.13
CA-079,San Luis Obispo County,California,1.02,1.13,91,-0.11
CA-081,San Mateo County,California,0.42,0.38,78,0.04
CA-083,Santa Barbara County,California,0.79,0.74,84,0.05
CA-085,Santa Clara County,California,-0.64,-0.74,68,0.1
CA-087,Santa Cruz County,California,-0.81,-0.77,69,-0.04
CA-089,Shasta County,California,0,0.14,79,-0.14
CA-091,Sierra County,California,0.67,0.79,88,-0.12
CA-093,Siskiyou County,California,-1.19,-1.19,55,0
CA-095,Solano County,California,-1.43,-1.41,47,-0.02
CA-097,Sonoma County,California,0.61,0.55,82,0.06
CA-099,Stanislaus County,California,1.7,1.83,95,-0.13
CA-101,Sutter County,California,0.11,0.17,74,-0.06
CA-103,Tehama County,California,-0.67,-0.57,68,-0.1
CA-105,Trinity County,California,0.78,0.93,89,-0.15
CA-107,Tulare County,California,-2.92,-2.65,12,-0.27
CA-109,Tuolumne County,California,-1.38,-1.34,42,-0.04
CA-111,Ventura County,California,1.03,1,89,0.03
CA-113,Yolo County,California,-1.27,-1.16,52,-0.11
CA-115,Yuba County,California,0.18,0.11,80,0.07
