November 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-1.76,-1.81,23,0.05
CA-003,Alpine County,California,-0.89,-0.51,60,-0.38
CA-005,Amador County,California,-1.57,-1.26,34,-0.31
CA-007,Butte County,California,-1.15,-1.05,44,-0.1
CA-009,Calaveras County,California,-1.62,-1.46,28,-0.16
CA-011,Colusa County,California,-1.09,-1.07,49,-0.02
CA-013,Contra Costa County,California,-1.64,-1.71,26,0.07
CA-015,Del Norte County,California,-1.98,-1.82,21,-0.16
CA-017,El Dorado County,California,0.93,1.28,101,-0.35
CA-019,Fresno County,California,-1.78,-1.67,24,-0.11
CA-021,Glenn County,California,-0.99,-0.89,53,-0.1
CA-023,Humboldt County,California,-1.21,-0.91,45,-0.3
CA-025,Imperial County,California,-0.59,-0.85,64,0.26
CA-027,Inyo County,California,3.39,3.67,125,-0.28
CA-029,Kern County,California,2.24,2.39,114,-0.15
CA-031,Kings County,California,3.19,3.2,120,-0.01
CA-033,Lake County,California,-0.92,-0.76,57,-0.16
CA-035,Lassen County,California,-0.97,-0.9,50,-0.07
CA-037,Los Angeles County,California,1.45,1.59,103,-0.14
CA-039,Madera County,California,-1.64,-1.53,27,-0.11
CA-041,Marin County,California,-1.32,-1.39,40,0.07
CA-043,Mariposa County,California,-1.41,-1.22,41,-0.19
CA-045,Mendocino County,California,-1.03,-0.86,54,-0.17
CA-047,Merced County,California,2.14,2.32,112,-0.18
CA-049,Modoc County,California,-0.65,-0.88,55,0.23
CA-051,Mono County,California,-0.85,-0.47,61,-0.38
CA-053,Monterey County,California,0.67,0.67,83,0
CA-055,Napa County,California,-1.33,-1.41,38,0.08
CA-057,Nevada County,California,0.97,1.21,101,-0.24
CA-059,Orange County,California,1.91,2.15,109,-0.24
CA-061,Placer County,California,1.14,1.48,104,-0.34
CA-063,Plumas County,California,1.62,1.84,114,-0.22
CA-065,Riverside County,California,1.4,1.24,100,0.16
CA-067,Sacramento County,California,-1.82,-1.65,27,-0.17
CA-069,San Benito County,California,0.76,0.74,85,0.02
CA-071,San Bernardino County,California,0.69,0.74,91,-0.05
CA-073,San Diego County,California,2.02,1.96,106,0.06
CA-075,San Francisco County,California,0.91,0.67,83,0.24
CA-077,San Joaquin County,California,0.97,1.21,94,-0.24
CA-079,San Luis Obispo County,California,1.23,1.3,99,-0.07
CA-081,San Mateo County,California,-1.39,-1.4,33,0.01
CA-083,Santa Barbara County,California,1.03,0.82,88,0.21
CA-085,Santa Clara County,California,-1.69,-1.72,20,0.03
CA-087,Santa Cruz County,California,-1.75,-1.64,23,-0.11
CA-089,Shasta County,California,-0.97,-0.77,52,-0.2
CA-091,Sierra County,California,1.51,1.78,112,-0.27
CA-093,Siskiyou County,California,-2.18,-2.04,19,-0.14
CA-095,Solano County,California,-1.39,-1.42,32,0.03
CA-097,Sonoma County,California,-1.11,-1.16,49,0.05
CA-099,Stanislaus County,California,1.46,1.57,99,-0.11
CA-101,Sutter County,California,-1.22,-1.15,42,-0.07
CA-103,Tehama County,California,-1.23,-1.07,39,-0.16
CA-105,Trinity County,California,-0.83,-0.55,61,-0.28
CA-107,Tulare County,California,-2.09,-1.94,22,-0.15
CA-109,Tuolumne County,California,-0.95,-0.74,55,-0.21
CA-111,Ventura County,California,1.31,1.16,93,0.15
CA-113,Yolo County,California,-1.2,-1.15,44,-0.05
CA-115,Yuba County,California,-1.24,-1.13,40,-0.11
