October 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-1.2,-1.37,34,0.17
CA-003,Alpine County,California,-0.55,-0.3,68,-0.25
CA-005,Amador County,California,-1.28,-1.13,43,-0.15
CA-007,Butte County,California,-0.77,-0.69,55,-0.08
CA-009,Calaveras County,California,-1.31,-1.3,36,-0.01
CA-011,Colusa County,California,-0.49,-0.49,62,0
CA-013,Contra Costa County,California,-1.08,-1.2,36,0.12
CA-015,Del Norte County,California,-2.12,-1.88,25,-0.24
CA-017,El Dorado County,California,1.4,1.66,103,-0.26
CA-019,Fresno County,California,-1.2,-1.27,31,0.07
CA-021,Glenn County,California,-0.49,-0.41,70,-0.08
CA-023,Humboldt County,California,-1.08,-0.71,58,-0.37
CA-025,Imperial County,California,-0.65,-0.95,64,0.3
CA-027,Inyo County,California,4.18,4.38,124,-0.2
CA-029,Kern County,California,3.09,3.14,116,-0.05
CA-031,Kings County,California,4.25,4.29,124,-0.04
CA-033,Lake County,California,-0.72,-0.58,61,-0.14
CA-035,Lassen County,California,-0.55,-0.57,59,0.02
CA-037,Los Angeles County,California,2.15,2.17,110,-0.02
CA-039,Madera County,California,-1.18,-1.3,40,0.12
CA-041,Marin County,California,-1.07,-1.23,38,0.16
CA-043,Mariposa County,California,-1.13,-1.16,40,0.03
CA-045,Mendocino County,California,-0.84,-0.6,61,-0.24
CA-047,Merced County,California,2.87,3,112,-0.13
CA-049,Modoc County,California,-0.45,-0.64,60,0.19
CA-051,Mono County,California,-0.34,-0.09,74,-0.25
CA-053,Monterey County,California,1.24,1.2,96,0.04
CA-055,Napa County,California,-0.99,-1.14,43,0.15
CA-057,Nevada County,California,1.43,1.62,106,-0.19
CA-059,Orange County,California,2.67,2.67,115,0
CA-061,Placer County,California,1.65,1.87,110,-0.22
CA-063,Plumas County,California,2.32,2.49,115,-0.17
CA-065,Riverside County,California,1.82,1.59,102,0.23
CA-067,Sacramento County,California,-1.21,-1.11,39,-0.1
CA-069,San Benito County,California,1.26,1.19,94,0.07
CA-071,San Bernardino County,California,-0.45,-0.45,68,-0.01
CA-073,San Diego County,California,2.56,2.32,113,0.24
CA-075,San Francisco County,California,1.59,1.32,96,0.27
CA-077,San Joaquin County,California,1.78,1.97,105,-0.19
CA-079,San Luis Obispo County,California,1.79,1.82,108,-0.03
CA-081,San Mateo County,California,-0.92,-1.03,42,0.11
CA-083,Santa Barbara County,California,1.88,1.51,99,0.37
CA-085,Santa Clara County,California,-1.19,-1.31,35,0.12
CA-087,Santa Cruz County,California,-1.34,-1.32,36,-0.02
CA-089,Shasta County,California,-0.7,-0.52,59,-0.18
CA-091,Sierra County,California,2.12,2.38,114,-0.26
CA-093,Siskiyou County,California,-1.82,-1.63,31,-0.19
CA-095,Solano County,California,-0.85,-0.87,47,0.02
CA-097,Sonoma County,California,0.8,0.69,87,0.11
CA-099,Stanislaus County,California,2.27,2.29,106,-0.02
CA-101,Sutter County,California,-0.41,-0.37,74,-0.04
CA-103,Tehama County,California,-0.78,-0.62,57,-0.16
CA-105,Trinity County,California,-0.65,-0.29,71,-0.36
CA-107,Tulare County,California,-1.66,-1.6,31,-0.06
CA-109,Tuolumne County,California,-0.63,-0.62,59,-0.01
CA-111,Ventura County,California,2.12,1.9,106,0.22
CA-113,Yolo County,California,-0.62,-0.52,62,-0.1
CA-115,Yuba County,California,-0.67,-0.65,60,-0.02
