September 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-0.59,-0.78,47,0.19
CA-003,Alpine County,California,0.89,1.09,96,-0.2
CA-005,Amador County,California,-1.05,-0.91,52,-0.14
CA-007,Butte County,California,-0.36,-0.32,72,-0.04
CA-009,Calaveras County,California,-1.08,-1.05,48,-0.03
CA-011,Colusa County,California,-0.23,-0.31,72,0.08
CA-013,Contra Costa County,California,-0.51,-0.68,52,0.17
CA-015,Del Norte County,California,-1.91,-1.89,25,-0.02
CA-017,El Dorado County,California,2,2.17,113,-0.17
CA-019,Fresno County,California,-0.67,-0.69,56,0.02
CA-021,Glenn County,California,-0.14,-0.11,80,-0.03
CA-023,Humboldt County,California,0.7,0.86,89,-0.16
CA-025,Imperial County,California,2.22,1.92,108,0.3
CA-027,Inyo County,California,5.06,5.25,124,-0.19
CA-029,Kern County,California,3.77,3.87,119,-0.1
CA-031,Kings County,California,5.22,5.28,124,-0.06
CA-033,Lake County,California,-0.28,-0.28,75,0
CA-035,Lassen County,California,3.13,2.98,116,0.15
CA-037,Los Angeles County,California,-0.07,-0.16,81,0.09
CA-039,Madera County,California,-0.58,-0.68,59,0.1
CA-041,Marin County,California,-0.48,-0.67,53,0.19
CA-043,Mariposa County,California,-0.46,-0.49,60,0.03
CA-045,Mendocino County,California,-0.32,-0.18,74,-0.14
CA-047,Merced County,California,3.81,3.95,116,-0.14
CA-049,Modoc County,California,2.51,2.26,106,0.26
CA-051,Mono County,California,4.21,4.42,122,-0.21
CA-053,Monterey County,California,2.06,1.94,106,0.12
CA-055,Napa County,California,-0.52,-0.75,52,0.23
CA-057,Nevada County,California,2.11,2.13,114,-0.02
CA-059,Orange County,California,-0.11,-0.16,81,0.05
CA-061,Placer County,California,2.34,2.41,115,-0.07
CA-063,Plumas County,California,3.27,3.26,123,0.01
CA-065,Riverside County,California,2.57,2.33,109,0.24
CA-067,Sacramento County,California,-0.92,-0.72,49,-0.2
CA-069,San Benito County,California,2.02,2,105,0.02
CA-071,San Bernardino County,California,1.79,1.85,102,-0.06
CA-073,San Diego County,California,3.31,2.97,117,0.34
CA-075,San Francisco County,California,2.49,2.13,107,0.36
CA-077,San Joaquin County,California,2.54,2.78,110,-0.24
CA-079,San Luis Obispo County,California,2.68,2.65,113,0.03
CA-081,San Mateo County,California,-0.15,-0.4,72,0.25
CA-083,Santa Barbara County,California,2.76,2.39,113,0.37
CA-085,Santa Clara County,California,-0.59,-0.79,53,0.2
CA-087,Santa Cruz County,California,-0.6,-0.65,57,0.05
CA-089,Shasta County,California,0.54,0.57,94,-0.03
CA-091,Sierra County,California,2.98,3.08,120,-0.1
CA-093,Siskiyou County,California,-1.34,-1.31,44,-0.03
CA-095,Solano County,California,-0.46,-0.52,58,0.06
CA-097,Sonoma County,California,1.5,1.32,104,0.18
CA-099,Stanislaus County,California,3.04,3.09,112,-0.05
CA-101,Sutter County,California,-0.13,-0.08,83,-0.05
CA-103,Tehama County,California,-0.2,-0.18,74,-0.02
CA-105,Trinity County,California,0.63,0.82,94,-0.19
CA-107,Tulare County,California,-1.27,-1.18,48,-0.09
CA-109,Tuolumne County,California,0.68,0.63,88,0.05
CA-111,Ventura County,California,2.92,2.67,117,0.25
CA-113,Yolo County,California,-0.37,-0.28,60,-0.09
CA-115,Yuba County,California,-0.3,-0.31,75,0.01
