August 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-0.39,-0.74,56,0.35
CA-003,Alpine County,California,0.8,1.09,95,-0.29
CA-005,Amador County,California,-1.1,-1.2,46,0.1
CA-007,Butte County,California,-0.67,-0.71,60,0.04
CA-009,Calaveras County,California,-1.22,-1.35,45,0.13
CA-011,Colusa County,California,-0.14,-0.28,72,0.14
CA-013,Contra Costa County,California,-0.32,-0.59,58,0.27
CA-015,Del Norte County,California,-2.25,-2.11,23,-0.14
CA-017,El Dorado County,California,2.04,2.03,107,0.01
CA-019,Fresno County,California,-0.53,-0.6,63,0.07
CA-021,Glenn County,California,-0.19,-0.24,72,0.05
CA-023,Humboldt County,California,-1.62,-1.53,37,-0.09
CA-025,Imperial County,California,1.52,1.18,101,0.34
CA-027,Inyo County,California,5.6,5.92,124,-0.32
CA-029,Kern County,California,4.47,4.58,118,-0.11
CA-031,Kings County,California,6.05,6.04,122,0.01
CA-033,Lake County,California,-0.23,-0.25,69,0.02
CA-035,Lassen County,California,2.8,2.68,111,0.12
CA-037,Los Angeles County,California,3.29,3.12,114,0.17
CA-039,Madera County,California,-0.65,-0.82,59,0.17
CA-041,Marin County,California,-0.42,-0.61,59,0.19
CA-043,Mariposa County,California,-0.69,-0.82,57,0.13
CA-045,Mendocino County,California,-0.4,-0.28,62,-0.12
CA-047,Merced County,California,4.48,4.51,121,-0.03
CA-049,Modoc County,California,2.38,2.18,101,0.2
CA-051,Mono County,California,4.43,4.76,124,-0.33
CA-053,Monterey County,California,2.5,2.11,106,0.39
CA-055,Napa County,California,-0.44,-0.65,61,0.21
CA-057,Nevada County,California,2.14,2.12,111,0.02
CA-059,Orange County,California,4,3.77,116,0.23
CA-061,Placer County,California,2.36,2.29,112,0.07
CA-063,Plumas County,California,3.01,2.94,118,0.07
CA-065,Riverside County,California,2.36,2.11,104,0.25
CA-067,Sacramento County,California,-0.83,-0.78,52,-0.05
CA-069,San Benito County,California,2.49,2.25,105,0.24
CA-071,San Bernardino County,California,1.88,1.92,102,-0.04
CA-073,San Diego County,California,3.78,3.41,119,0.37
CA-075,San Francisco County,California,2.91,2.57,108,0.34
CA-077,San Joaquin County,California,3.1,3.11,112,-0.01
CA-079,San Luis Obispo County,California,3.17,2.86,113,0.31
CA-081,San Mateo County,California,0.44,0.21,77,0.23
CA-083,Santa Barbara County,California,3.18,2.6,114,0.58
CA-085,Santa Clara County,California,-0.44,-0.78,57,0.34
CA-087,Santa Cruz County,California,-0.44,-0.58,62,0.14
CA-089,Shasta County,California,0.21,0.19,81,0.02
CA-091,Sierra County,California,2.86,2.93,118,-0.07
CA-093,Siskiyou County,California,-1.68,-1.66,40,-0.02
CA-095,Solano County,California,-0.36,-0.46,61,0.1
CA-097,Sonoma County,California,1.73,1.48,98,0.25
CA-099,Stanislaus County,California,3.58,3.44,115,0.14
CA-101,Sutter County,California,-0.17,-0.3,70,0.13
CA-103,Tehama County,California,-0.41,-0.47,59,0.06
CA-105,Trinity County,California,0.02,0.1,77,-0.08
CA-107,Tulare County,California,-1.07,-1.08,52,0.01
CA-109,Tuolumne County,California,0.55,0.49,86,0.06
CA-111,Ventura County,California,3.39,2.93,118,0.46
CA-113,Yolo County,California,-0.23,-0.23,65,0
CA-115,Yuba County,California,-0.42,-0.53,61,0.11
