July 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-0.26,-0.66,59,0.4
CA-003,Alpine County,California,0.16,0.38,87,-0.22
CA-005,Amador County,California,-1.24,-1.39,46,0.15
CA-007,Butte County,California,-0.77,-0.95,61,0.18
CA-009,Calaveras County,California,-1.37,-1.59,41,0.22
CA-011,Colusa County,California,-0.08,-0.32,72,0.24
CA-013,Contra Costa County,California,-0.17,-0.5,58,0.33
CA-015,Del Norte County,California,-1.83,-1.56,36,-0.27
CA-017,El Dorado County,California,1.97,1.89,107,0.08
CA-019,Fresno County,California,-0.93,-1.07,49,0.14
CA-021,Glenn County,California,0.05,-0.18,76,0.23
CA-023,Humboldt County,California,-1.29,-1.17,47,-0.12
CA-025,Imperial County,California,-1.45,-1.87,43,0.42
CA-027,Inyo County,California,4.54,4.54,115,0
CA-029,Kern County,California,4.22,4.16,113,0.06
CA-031,Kings County,California,6.52,6.33,120,0.19
CA-033,Lake County,California,-0.09,-0.17,74,0.08
CA-035,Lassen County,California,2.78,2.64,109,0.14
CA-037,Los Angeles County,California,3.18,2.83,107,0.35
CA-039,Madera County,California,-1.05,-1.25,50,0.2
CA-041,Marin County,California,-0.34,-0.53,65,0.19
CA-043,Mariposa County,California,-1,-1.14,55,0.14
CA-045,Mendocino County,California,-0.28,-0.32,69,0.04
CA-047,Merced County,California,4.88,4.74,120,0.14
CA-049,Modoc County,California,2.11,1.88,93,0.23
CA-051,Mono County,California,3.94,4.21,123,-0.27
CA-053,Monterey County,California,2.87,2.5,108,0.37
CA-055,Napa County,California,-0.39,-0.58,64,0.19
CA-057,Nevada County,California,2.08,1.98,109,0.1
CA-059,Orange County,California,3.96,3.67,115,0.29
CA-061,Placer County,California,2.27,2.15,110,0.12
CA-063,Plumas County,California,3,2.97,117,0.03
CA-065,Riverside County,California,1.52,1.05,92,0.47
CA-067,Sacramento County,California,-0.74,-0.8,58,0.06
CA-069,San Benito County,California,2.81,2.52,105,0.29
CA-071,San Bernardino County,California,0.89,0.8,90,0.09
CA-073,San Diego County,California,3.12,2.56,106,0.56
CA-075,San Francisco County,California,3.23,2.81,109,0.42
CA-077,San Joaquin County,California,3.61,3.49,113,0.12
CA-079,San Luis Obispo County,California,3.6,3.25,114,0.35
CA-081,San Mateo County,California,0.48,0.2,74,0.28
CA-083,Santa Barbara County,California,3.48,2.88,115,0.6
CA-085,Santa Clara County,California,-0.31,-0.67,60,0.36
CA-087,Santa Cruz County,California,-0.31,-0.47,66,0.16
CA-089,Shasta County,California,0.08,-0.09,70,0.17
CA-091,Sierra County,California,2.6,2.65,115,-0.05
CA-093,Siskiyou County,California,-1.76,-1.72,37,-0.04
CA-095,Solano County,California,-0.3,-0.5,63,0.2
CA-097,Sonoma County,California,2.07,1.82,99,0.25
CA-099,Stanislaus County,California,3.99,3.77,115,0.22
CA-101,Sutter County,California,-0.17,-0.34,71,0.17
CA-103,Tehama County,California,-0.51,-0.75,66,0.24
CA-105,Trinity County,California,-0.76,-0.66,62,-0.1
CA-107,Tulare County,California,-1.49,-1.65,41,0.16
CA-109,Tuolumne County,California,0.17,0.08,76,0.09
CA-111,Ventura County,California,3.48,2.96,117,0.52
CA-113,Yolo County,California,-0.18,-0.33,66,0.15
CA-115,Yuba County,California,-0.43,-0.66,67,0.23
