June 2023 California County Palmer Drought Severity Index (PDSI)
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,-0.35,-0.7,56,0.35
CA-003,Alpine County,California,0.38,0.61,90,-0.23
CA-005,Amador County,California,-1.06,-1.19,47,0.13
CA-007,Butte County,California,-0.65,-0.79,60,0.14
CA-009,Calaveras County,California,-1.18,-1.37,43,0.19
CA-011,Colusa County,California,-0.04,-0.25,68,0.21
CA-013,Contra Costa County,California,-0.34,-0.67,54,0.33
CA-015,Del Norte County,California,-1.12,-0.79,51,-0.33
CA-017,El Dorado County,California,2.29,2.25,113,0.04
CA-019,Fresno County,California,-0.89,-0.98,53,0.09
CA-021,Glenn County,California,0.02,-0.15,74,0.17
CA-023,Humboldt County,California,-0.89,-0.74,54,-0.15
CA-025,Imperial County,California,-1.14,-1.62,57,0.48
CA-027,Inyo County,California,4.72,4.69,116,0.03
CA-029,Kern County,California,3.85,3.82,108,0.03
CA-031,Kings County,California,6.21,6.08,120,0.13
CA-033,Lake County,California,-0.06,-0.1,74,0.04
CA-035,Lassen County,California,2.6,2.49,110,0.11
CA-037,Los Angeles County,California,2.98,2.68,107,0.3
CA-039,Madera County,California,-0.95,-1.14,50,0.19
CA-041,Marin County,California,-0.4,-0.54,64,0.14
CA-043,Mariposa County,California,-0.9,-1.02,53,0.12
CA-045,Mendocino County,California,-0.21,-0.24,73,0.03
CA-047,Merced County,California,4.76,4.63,120,0.13
CA-049,Modoc County,California,2.25,2.08,100,0.18
CA-051,Mono County,California,4.6,4.85,126,-0.25
CA-053,Monterey County,California,3.1,2.77,111,0.33
CA-055,Napa County,California,-0.46,-0.58,61,0.12
CA-057,Nevada County,California,2.1,2.02,110,0.08
CA-059,Orange County,California,3.56,3.33,113,0.23
CA-061,Placer County,California,2.44,2.34,112,0.1
CA-063,Plumas County,California,2.85,2.82,117,0.03
CA-065,Riverside County,California,1.91,1.5,92,0.41
CA-067,Sacramento County,California,-0.75,-0.78,57,0.03
CA-069,San Benito County,California,2.91,2.68,109,0.23
CA-071,San Bernardino County,California,1.54,1.26,85,0.28
CA-073,San Diego County,California,3.15,2.6,106,0.55
CA-075,San Francisco County,California,3.47,3.1,112,0.37
CA-077,San Joaquin County,California,3.9,3.8,117,0.1
CA-079,San Luis Obispo County,California,3.78,3.46,118,0.32
CA-081,San Mateo County,California,0.52,0.29,76,0.23
CA-083,Santa Barbara County,California,3.53,2.98,115,0.55
CA-085,Santa Clara County,California,-0.32,-0.63,60,0.31
CA-087,Santa Cruz County,California,-0.28,-0.38,66,0.1
CA-089,Shasta County,California,0.22,0.08,72,0.14
CA-091,Sierra County,California,2.49,2.54,115,-0.05
CA-093,Siskiyou County,California,-1.46,-1.37,38,-0.09
CA-095,Solano County,California,-0.43,-0.59,61,0.16
CA-097,Sonoma County,California,2.26,2.05,101,0.21
CA-099,Stanislaus County,California,4.15,3.97,121,0.18
CA-101,Sutter County,California,-0.16,-0.31,65,0.15
CA-103,Tehama County,California,-0.37,-0.58,64,0.21
CA-105,Trinity County,California,-0.5,-0.37,64,-0.13
CA-107,Tulare County,California,-1.32,-1.38,49,0.06
CA-109,Tuolumne County,California,0.25,0.18,76,0.07
CA-111,Ventura County,California,3.45,2.99,118,0.46
CA-113,Yolo County,California,-0.28,-0.41,61,0.13
CA-115,Yuba County,California,-0.37,-0.57,63,0.2
