January 2013 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,55,0.6,68,54.4
CA-003,Alpine County,California,40.6,1.6,79,39
CA-005,Amador County,California,52.9,1.1,81,51.8
CA-007,Butte County,California,54.8,3.6,106,51.2
CA-009,Calaveras County,California,53.3,1.1,80,52.2
CA-011,Colusa County,California,57.1,3.8,112,53.3
CA-013,Contra Costa County,California,54.7,1.2,77,53.5
CA-015,Del Norte County,California,49,4.5,117,44.5
CA-017,El Dorado County,California,49.9,1.5,82,48.4
CA-019,Fresno County,California,50.8,1.9,95,49
CA-021,Glenn County,California,56.4,4.5,116,51.9
CA-023,Humboldt County,California,49.1,1.8,80,47.3
CA-025,Imperial County,California,66.1,-0.8,44,66.9
CA-027,Inyo County,California,52.4,0.3,51,52.1
CA-029,Kern County,California,55.4,0.8,64,54.6
CA-031,Kings County,California,56.4,2.1,86,54.3
CA-033,Lake County,California,54.1,2.9,105,51.2
CA-035,Lassen County,California,37.8,-1.4,34,39.2
CA-037,Los Angeles County,California,59.6,1.9,84,57.7
CA-039,Madera County,California,51.5,2,92,49.5
CA-041,Marin County,California,56.8,3.4,114,53.4
CA-043,Mariposa County,California,51.3,1.4,79,49.9
CA-045,Mendocino County,California,53.4,1.9,92,51.5
CA-047,Merced County,California,55.8,2.4,92,53.4
CA-049,Modoc County,California,38.6,0.6,63,38
CA-051,Mono County,California,40,0.6,64,39.4
CA-053,Monterey County,California,59.7,1.3,81,58.4
CA-055,Napa County,California,57,3.4,108,53.6
CA-057,Nevada County,California,48.7,1.9,86,46.8
CA-059,Orange County,California,65.5,1.5,73,64
CA-061,Placer County,California,49.9,2.3,95,47.6
CA-063,Plumas County,California,39.8,-0.9,43,40.7
CA-065,Riverside County,California,62,0.2,53,61.8
CA-067,Sacramento County,California,56.4,2.8,101,53.6
CA-069,San Benito County,California,56.6,1.4,83,55.2
CA-071,San Bernardino County,California,56.8,-0.2,48,57
CA-073,San Diego County,California,61.9,0.9,70,61
CA-075,San Francisco County,California,55.8,1.2,77,54.6
CA-077,San Joaquin County,California,55.8,2.7,95,53.1
CA-079,San Luis Obispo County,California,59.8,1.8,88,58
CA-081,San Mateo County,California,57.3,1.4,85,55.9
CA-083,Santa Barbara County,California,60.6,2.3,90,58.3
CA-085,Santa Clara County,California,56.3,1.7,95,54.6
CA-087,Santa Cruz County,California,60.3,3.1,113,57.2
CA-089,Shasta County,California,49.8,2.7,96,47.1
CA-091,Sierra County,California,42.5,1.2,75,41.3
CA-093,Siskiyou County,California,42.5,2.5,92,40
CA-095,Solano County,California,56.2,2.4,95,53.8
CA-097,Sonoma County,California,57.4,3.1,109,54.3
CA-099,Stanislaus County,California,55.6,2.6,98,53
CA-101,Sutter County,California,56.6,3,106,53.6
CA-103,Tehama County,California,54.8,4.4,113,50.4
CA-105,Trinity County,California,46.8,2.9,103,43.9
CA-107,Tulare County,California,49.1,1,77,48.1
CA-109,Tuolumne County,California,47.4,1.9,87,45.5
CA-111,Ventura County,California,59,2.5,92,56.5
CA-113,Yolo County,California,57,3.1,105,53.9
CA-115,Yuba County,California,55.4,3,105,52.4
