November 2013 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,65.2,2.3,103,62.9
CA-003,Alpine County,California,49.1,2,89,47.1
CA-005,Amador County,California,64,3,105,61
CA-007,Butte County,California,65.7,4.7,113,61
CA-009,Calaveras County,California,64.5,3.1,102,61.4
CA-011,Colusa County,California,67.8,4.4,114,63.4
CA-013,Contra Costa County,California,66.3,3.1,109,63.2
CA-015,Del Norte County,California,55.3,4.6,126,50.7
CA-017,El Dorado County,California,59.5,2.8,99,56.7
CA-019,Fresno County,California,61.6,2.9,100,58.7
CA-021,Glenn County,California,66.5,5.2,116,61.3
CA-023,Humboldt County,California,57.6,3.8,122,53.8
CA-025,Imperial County,California,77.3,1.1,79,76.2
CA-027,Inyo County,California,62.2,0.6,72,61.6
CA-029,Kern County,California,66.5,2.2,93,64.3
CA-031,Kings County,California,68.8,3.1,105,65.7
CA-033,Lake County,California,64.4,5.4,118,59
CA-035,Lassen County,California,53.1,4.8,114,48.3
CA-037,Los Angeles County,California,68,1.9,89,66.1
CA-039,Madera County,California,62.5,3.2,103,59.3
CA-041,Marin County,California,64.9,3.8,116,61.1
CA-043,Mariposa County,California,60.8,1.8,85,59
CA-045,Mendocino County,California,63.9,5.3,118,58.6
CA-047,Merced County,California,68.1,4,114,64.1
CA-049,Modoc County,California,52.3,4.9,112,47.4
CA-051,Mono County,California,50.4,1.4,78,49
CA-053,Monterey County,California,68.8,2.3,92,66.5
CA-055,Napa County,California,67.2,4.2,114,63
CA-057,Nevada County,California,58.2,2.9,97,55.4
CA-059,Orange County,California,72.6,1.3,77,71.3
CA-061,Placer County,California,59.6,3,100,56.6
CA-063,Plumas County,California,54.2,4.6,116,49.6
CA-065,Riverside County,California,71.8,0.7,67,71.1
CA-067,Sacramento County,California,69,4.2,117,64.8
CA-069,San Benito County,California,66.5,2.8,99,63.7
CA-071,San Bernardino County,California,67.5,0.9,72,66.6
CA-073,San Diego County,California,70.5,1.1,73,69.4
CA-075,San Francisco County,California,64.4,2.6,104,61.8
CA-077,San Joaquin County,California,68,3.8,112,64.2
CA-079,San Luis Obispo County,California,69.4,3.5,104,65.9
CA-081,San Mateo County,California,65.4,2.7,108,62.7
CA-083,Santa Barbara County,California,68.3,2.9,94,65.4
CA-085,Santa Clara County,California,65.7,2.9,105,62.8
CA-087,Santa Cruz County,California,68,3.9,114,64.1
CA-089,Shasta County,California,60.8,5,115,55.8
CA-091,Sierra County,California,53.7,3.6,108,50.1
CA-093,Siskiyou County,California,53.4,5.5,121,47.9
CA-095,Solano County,California,68.1,3.7,113,64.4
CA-097,Sonoma County,California,67.1,4.8,118,62.3
CA-099,Stanislaus County,California,67.7,4.2,116,63.5
CA-101,Sutter County,California,69,4.1,112,64.9
CA-103,Tehama County,California,64.4,5.4,115,59
CA-105,Trinity County,California,57.6,6,122,51.6
CA-107,Tulare County,California,59.6,2.3,93,57.3
CA-109,Tuolumne County,California,56,2,91,54
CA-111,Ventura County,California,67.7,3.2,100,64.5
CA-113,Yolo County,California,69,4.4,115,64.6
CA-115,Yuba County,California,66.8,4,109,62.8
