December 2014 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,58.9,3.7,118,55.2
CA-003,Alpine County,California,41.1,0.2,78,40.9
CA-005,Amador County,California,53.1,0.3,75,52.8
CA-007,Butte County,California,53.9,1.5,86,52.4
CA-009,Calaveras County,California,53.9,0.8,82,53.1
CA-011,Colusa County,California,57.2,2.9,105,54.3
CA-013,Contra Costa County,California,58.3,3.8,117,54.5
CA-015,Del Norte County,California,48.8,3.5,113,45.3
CA-017,El Dorado County,California,49.2,-0.4,68,49.6
CA-019,Fresno County,California,52.8,2.7,104,50.1
CA-021,Glenn County,California,55.1,2.2,89,52.9
CA-023,Humboldt County,California,52,4.1,126,47.9
CA-025,Imperial County,California,68.2,1,74,67.2
CA-027,Inyo County,California,52.8,0.2,69,52.6
CA-029,Kern County,California,58.1,2.6,101,55.5
CA-031,Kings County,California,60.3,4.9,122,55.4
CA-033,Lake County,California,52.6,0.8,79,51.8
CA-035,Lassen County,California,41.9,1.7,94,40.2
CA-037,Los Angeles County,California,60.5,1.5,87,59
CA-039,Madera County,California,53.7,2.9,108,50.8
CA-041,Marin County,California,58.2,3.7,117,54.5
CA-043,Mariposa County,California,52.2,0.9,85,51.3
CA-045,Mendocino County,California,53.3,1.4,84,51.9
CA-047,Merced County,California,59.4,5.3,125,54.1
CA-049,Modoc County,California,41.2,1.7,90,39.5
CA-051,Mono County,California,42.3,1,82,41.3
CA-053,Monterey County,California,60.8,1.1,83,59.7
CA-055,Napa County,California,57.4,2.8,105,54.6
CA-057,Nevada County,California,46.7,-1.5,54,48.2
CA-059,Orange County,California,66.5,0.9,82,65.6
CA-061,Placer County,California,49.1,0.1,72,49
CA-063,Plumas County,California,42.7,0.8,76,41.9
CA-065,Riverside County,California,63.6,0.7,75,62.9
CA-067,Sacramento County,California,59.4,4.7,119,54.7
CA-069,San Benito County,California,58,1.5,91,56.5
CA-071,San Bernardino County,California,58.2,0.6,71,57.6
CA-073,San Diego County,California,63.7,1.2,82,62.5
CA-075,San Francisco County,California,60.4,4.7,127,55.7
CA-077,San Joaquin County,California,59.7,5.6,124,54.1
CA-079,San Luis Obispo County,California,61.3,2.3,99,59
CA-081,San Mateo County,California,60.5,3.7,123,56.8
CA-083,Santa Barbara County,California,62.3,2.9,103,59.4
CA-085,Santa Clara County,California,57.6,2,99,55.6
CA-087,Santa Cruz County,California,59.5,1.3,89,58.2
CA-089,Shasta County,California,49.4,1.4,88,48
CA-091,Sierra County,California,42.7,0,71,42.7
CA-093,Siskiyou County,California,44.1,3.2,113,40.9
CA-095,Solano County,California,58.8,4,118,54.8
CA-097,Sonoma County,California,58,2.9,110,55.1
CA-099,Stanislaus County,California,58.2,4.4,118,53.8
CA-101,Sutter County,California,58.6,3.7,113,54.9
CA-103,Tehama County,California,52.3,1,83,51.3
CA-105,Trinity County,California,47.9,3.7,116,44.2
CA-107,Tulare County,California,51.3,2.5,101,48.8
CA-109,Tuolumne County,California,47.9,0.8,83,47.1
CA-111,Ventura County,California,59.6,1.7,87,57.9
CA-113,Yolo County,California,58.4,3.5,112,54.9
CA-115,Yuba County,California,55.1,1.2,84,53.9
