March 2014 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,67,5.6,123,61.4
CA-003,Alpine County,California,47.7,3.4,99,44.3
CA-005,Amador County,California,63.5,4.5,115,59
CA-007,Butte County,California,64.9,4.4,109,60.5
CA-009,Calaveras County,California,64.4,4.9,116,59.5
CA-011,Colusa County,California,68.4,4.9,114,63.5
CA-013,Contra Costa County,California,67.9,5.1,119,62.8
CA-015,Del Norte County,California,56,4.3,111,51.7
CA-017,El Dorado County,California,57.7,3.5,106,54.2
CA-019,Fresno County,California,63.3,6.2,122,57.1
CA-021,Glenn County,California,65.7,4.6,110,61.1
CA-023,Humboldt County,California,59.7,5.1,118,54.6
CA-025,Imperial County,California,83,6,118,77
CA-027,Inyo County,California,67,4.9,113,62.1
CA-029,Kern County,California,69.4,6,122,63.4
CA-031,Kings County,California,73,6.5,123,66.5
CA-033,Lake County,California,61.8,4.1,107,57.7
CA-035,Lassen County,California,51.8,3.8,105,48
CA-037,Los Angeles County,California,69.4,6.5,119,62.9
CA-039,Madera County,California,64.2,6.3,121,57.9
CA-041,Marin County,California,64.3,5.5,122,58.8
CA-043,Mariposa County,California,61.5,4.8,115,56.7
CA-045,Mendocino County,California,61,3.6,107,57.4
CA-047,Merced County,California,70.8,6.1,121,64.7
CA-049,Modoc County,California,51.5,4,103,47.5
CA-051,Mono County,California,50.1,3.7,98,46.4
CA-053,Monterey County,California,68.9,5.9,123,63
CA-055,Napa County,California,67.4,5.5,118,61.9
CA-057,Nevada County,California,56.7,4.1,106,52.6
CA-059,Orange County,California,71.5,5.2,120,66.3
CA-061,Placer County,California,58.3,4.1,107,54.2
CA-063,Plumas County,California,51.8,3.7,101,48.1
CA-065,Riverside County,California,76.1,6.2,119,69.9
CA-067,Sacramento County,California,70.2,5.2,118,65
CA-069,San Benito County,California,67.2,6.5,123,60.7
CA-071,San Bernardino County,California,73,5.9,120,67.1
CA-073,San Diego County,California,71.4,6.2,119,65.2
CA-075,San Francisco County,California,65.6,5.5,126,60.1
CA-077,San Joaquin County,California,70.6,5.9,119,64.7
CA-079,San Luis Obispo County,California,69.6,7.3,124,62.3
CA-081,San Mateo County,California,65.7,5.6,126,60.1
CA-083,Santa Barbara County,California,67.5,7.4,124,60.1
CA-085,Santa Clara County,California,66.5,6.1,124,60.4
CA-087,Santa Cruz County,California,67.8,6.7,126,61.1
CA-089,Shasta County,California,59.3,3.6,102,55.7
CA-091,Sierra County,California,51.5,3.9,105,47.6
CA-093,Siskiyou County,California,53.2,4.4,107,48.8
CA-095,Solano County,California,69.4,5.1,117,64.3
CA-097,Sonoma County,California,65.2,4.7,119,60.5
CA-099,Stanislaus County,California,69,5.2,119,63.8
CA-101,Sutter County,California,70.4,5.1,115,65.3
CA-103,Tehama County,California,62.3,3.9,109,58.4
CA-105,Trinity County,California,57.5,4.5,107,53
CA-107,Tulare County,California,61.3,5.9,121,55.4
CA-109,Tuolumne County,California,55.3,3.9,105,51.4
CA-111,Ventura County,California,66.7,7.3,120,59.4
CA-113,Yolo County,California,69.6,4.9,112,64.7
CA-115,Yuba County,California,66.5,4.6,109,61.9
