April 2023 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.13,-1.21,7,1.34
CA-003,Alpine County,California,0.7,-2.11,14,2.81
CA-005,Amador County,California,0.37,-2.59,7,2.96
CA-007,Butte County,California,1.34,-1.9,34,3.24
CA-009,Calaveras County,California,0.24,-2.56,4,2.8
CA-011,Colusa County,California,0.49,-0.83,36,1.32
CA-013,Contra Costa County,California,0.13,-1.09,9,1.22
CA-015,Del Norte County,California,6.49,0.77,81,5.72
CA-017,El Dorado County,California,0.72,-2.9,9,3.62
CA-019,Fresno County,California,0.03,-1.69,2,1.72
CA-021,Glenn County,California,0.66,-1.02,40,1.68
CA-023,Humboldt County,California,3.35,-1.11,54,4.46
CA-025,Imperial County,California,0,-0.1,1,0.1
CA-027,Inyo County,California,0.01,-0.43,3,0.44
CA-029,Kern County,California,0.02,-0.74,5,0.76
CA-031,Kings County,California,0,-0.64,1,0.64
CA-033,Lake County,California,0.97,-1.91,34,2.88
CA-035,Lassen County,California,0.5,-1.01,13,1.51
CA-037,Los Angeles County,California,0.11,-1.01,21,1.12
CA-039,Madera County,California,0.06,-1.97,2,2.03
CA-041,Marin County,California,0.62,-1.61,29,2.23
CA-043,Mariposa County,California,0.14,-2.59,3,2.73
CA-045,Mendocino County,California,1.74,-1.69,40,3.43
CA-047,Merced County,California,0.05,-0.87,10,0.92
CA-049,Modoc County,California,0.77,-0.71,25,1.48
CA-051,Mono County,California,0.12,-0.99,3,1.11
CA-053,Monterey County,California,0.06,-1.35,5,1.41
CA-055,Napa County,California,0.37,-1.54,22,1.91
CA-057,Nevada County,California,1.45,-2.34,20,3.79
CA-059,Orange County,California,0.07,-0.93,20,1
CA-061,Placer County,California,1.07,-2.45,18,3.52
CA-063,Plumas County,California,1.39,-1.54,31,2.93
CA-065,Riverside County,California,0.01,-0.52,6,0.53
CA-067,Sacramento County,California,0.21,-1.21,14,1.42
CA-069,San Benito County,California,0.09,-1.17,10,1.26
CA-071,San Bernardino County,California,0.01,-0.37,7,0.38
CA-073,San Diego County,California,0.09,-0.98,15,1.07
CA-075,San Francisco County,California,0.26,-1.28,16,1.54
CA-077,San Joaquin County,California,0.15,-0.92,11,1.07
CA-079,San Luis Obispo County,California,0,-1.27,1,1.27
CA-081,San Mateo County,California,0.29,-1.63,13,1.92
CA-083,Santa Barbara County,California,0.02,-1.36,6,1.38
CA-085,Santa Clara County,California,0.12,-1.54,5,1.66
CA-087,Santa Cruz County,California,0.3,-1.9,9,2.2
CA-089,Shasta County,California,1.57,-1.64,34,3.21
CA-091,Sierra County,California,1.55,-1.77,29,3.32
CA-093,Siskiyou County,California,1.57,-1.14,38,2.71
CA-095,Solano County,California,0.15,-1.09,11,1.24
CA-097,Sonoma County,California,0.8,-1.92,32,2.72
CA-099,Stanislaus County,California,0.07,-0.97,7,1.04
CA-101,Sutter County,California,0.27,-1,17,1.27
CA-103,Tehama County,California,1.24,-1.44,34,2.68
CA-105,Trinity County,California,2.16,-1.85,39,4.01
CA-107,Tulare County,California,0.05,-1.99,5,2.04
CA-109,Tuolumne County,California,0.43,-2.96,6,3.39
CA-111,Ventura County,California,0.02,-1.41,7,1.43
CA-113,Yolo County,California,0.22,-1.02,18,1.24
CA-115,Yuba County,California,1.06,-1.72,27,2.78
