May 2023 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.73,0.15,94,0.58
CA-003,Alpine County,California,1.25,-0.56,56,1.81
CA-005,Amador County,California,1.22,-0.26,71,1.48
CA-007,Butte County,California,1.53,-0.23,68,1.76
CA-009,Calaveras County,California,1.02,-0.38,66,1.4
CA-011,Colusa County,California,1.37,0.7,109,0.67
CA-013,Contra Costa County,California,0.6,0.06,85,0.54
CA-015,Del Norte County,California,1.97,-1.74,40,3.71
CA-017,El Dorado County,California,1.97,-0.03,78,2
CA-019,Fresno County,California,0.59,-0.24,63,0.83
CA-021,Glenn County,California,1.71,0.86,108,0.85
CA-023,Humboldt County,California,1.58,-0.88,54,2.46
CA-025,Imperial County,California,0.03,-0.01,89,0.04
CA-027,Inyo County,California,0.09,-0.19,37,0.28
CA-029,Kern County,California,0.42,0.13,98,0.3
CA-031,Kings County,California,0.35,0.07,95,0.28
CA-033,Lake County,California,2.22,0.89,101,1.33
CA-035,Lassen County,California,2.68,1.19,112,1.49
CA-037,Los Angeles County,California,0.66,0.34,108,0.32
CA-039,Madera County,California,0.86,-0.12,79,0.98
CA-041,Marin County,California,1.09,0.19,90,0.9
CA-043,Mariposa County,California,1.1,-0.21,69,1.31
CA-045,Mendocino County,California,2.08,0.51,90,1.57
CA-047,Merced County,California,0.79,0.41,108,0.39
CA-049,Modoc County,California,2.5,1.01,114,1.49
CA-051,Mono County,California,0.63,-0.28,62,0.91
CA-053,Monterey County,California,0.79,0.33,103,0.46
CA-055,Napa County,California,1.11,0.26,89,0.85
CA-057,Nevada County,California,2.14,-0.03,81,2.17
CA-059,Orange County,California,0.78,0.53,115,0.25
CA-061,Placer County,California,2.23,0.22,83,2.01
CA-063,Plumas County,California,2.13,0.11,80,2.02
CA-065,Riverside County,California,0.28,0.12,103,0.16
CA-067,Sacramento County,California,0.52,-0.16,73,0.68
CA-069,San Benito County,California,0.83,0.38,107,0.45
CA-071,San Bernardino County,California,0.2,0.04,94,0.16
CA-073,San Diego County,California,0.42,0.08,91,0.34
CA-075,San Francisco County,California,1.17,0.49,106,0.68
CA-077,San Joaquin County,California,0.37,-0.14,73,0.51
CA-079,San Luis Obispo County,California,0.52,0.12,93,0.4
CA-081,San Mateo County,California,1.61,0.82,112,0.79
CA-083,Santa Barbara County,California,0.63,0.22,101,0.41
CA-085,Santa Clara County,California,1.15,0.49,108,0.66
CA-087,Santa Cruz County,California,1.47,0.65,109,0.82
CA-089,Shasta County,California,2.49,0.46,86,2.03
CA-091,Sierra County,California,2.3,0.13,78,2.17
CA-093,Siskiyou County,California,2.08,0.11,79,1.97
CA-095,Solano County,California,0.54,-0.01,80,0.55
CA-097,Sonoma County,California,1.46,0.32,93,1.14
CA-099,Stanislaus County,California,0.54,0.08,86,0.46
CA-101,Sutter County,California,1.17,0.52,105,0.65
CA-103,Tehama County,California,1.73,0.2,84,1.53
CA-105,Trinity County,California,2.16,-0.03,80,2.19
CA-107,Tulare County,California,0.42,-0.43,50,0.85
CA-109,Tuolumne County,California,1.47,-0.39,61,1.86
CA-111,Ventura County,California,0.93,0.52,105,0.41
CA-113,Yolo County,California,0.84,0.25,92,0.59
CA-115,Yuba County,California,1.72,0.29,88,1.43
