June 2023 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.02,-0.12,58,0.14
CA-003,Alpine County,California,1.57,0.74,109,0.83
CA-005,Amador County,California,0.32,-0.16,77,0.48
CA-007,Butte County,California,0.43,-0.2,69,0.63
CA-009,Calaveras County,California,0.17,-0.24,67,0.41
CA-011,Colusa County,California,0.01,-0.28,24,0.29
CA-013,Contra Costa County,California,0.01,-0.12,50,0.13
CA-015,Del Norte County,California,0.21,-1.3,12,1.51
CA-017,El Dorado County,California,0.82,0.07,83,0.75
CA-019,Fresno County,California,0.41,0.2,111,0.21
CA-021,Glenn County,California,0.06,-0.35,44,0.41
CA-023,Humboldt County,California,0.14,-0.75,26,0.89
CA-025,Imperial County,California,0,-0.01,1,0.01
CA-027,Inyo County,California,0.33,0.22,118,0.11
CA-029,Kern County,California,0.18,0.12,114,0.06
CA-031,Kings County,California,0.02,-0.02,88,0.04
CA-033,Lake County,California,0.02,-0.39,31,0.41
CA-035,Lassen County,California,2.06,1.02,110,1.04
CA-037,Los Angeles County,California,0.08,0.02,104,0.06
CA-039,Madera County,California,0.37,0.09,101,0.28
CA-041,Marin County,California,0.03,-0.22,53,0.25
CA-043,Mariposa County,California,0.62,0.22,105,0.4
CA-045,Mendocino County,California,0.03,-0.47,21,0.5
CA-047,Merced County,California,0.01,-0.06,73,0.07
CA-049,Modoc County,California,1.59,0.51,101,1.08
CA-051,Mono County,California,1.27,0.77,119,0.5
CA-053,Monterey County,California,0.18,0.11,114,0.07
CA-055,Napa County,California,0.02,-0.21,52,0.23
CA-057,Nevada County,California,1.02,0.23,90,0.79
CA-059,Orange County,California,0.05,-0.01,98,0.06
CA-061,Placer County,California,0.86,0.15,87,0.71
CA-063,Plumas County,California,2.18,1.25,119,0.93
CA-065,Riverside County,California,0.04,0.01,110,0.03
CA-067,Sacramento County,California,0.01,-0.16,42,0.17
CA-069,San Benito County,California,0.15,0.08,107,0.07
CA-071,San Bernardino County,California,0.06,0.01,104,0.05
CA-073,San Diego County,California,0.07,0.01,102,0.06
CA-075,San Francisco County,California,0.01,-0.19,41,0.2
CA-077,San Joaquin County,California,0.01,-0.1,52,0.11
CA-079,San Luis Obispo County,California,0.14,0.1,118,0.04
CA-081,San Mateo County,California,0.08,-0.13,71,0.21
CA-083,Santa Barbara County,California,0.27,0.23,126,0.04
CA-085,Santa Clara County,California,0.08,-0.06,79,0.14
CA-087,Santa Cruz County,California,0.18,-0.03,89,0.21
CA-089,Shasta County,California,0.85,-0.14,76,0.99
CA-091,Sierra County,California,1.72,0.83,109,0.89
CA-093,Siskiyou County,California,0.79,-0.3,62,1.09
CA-095,Solano County,California,0.01,-0.13,49,0.14
CA-097,Sonoma County,California,0.02,-0.3,43,0.32
CA-099,Stanislaus County,California,0.01,-0.08,49,0.09
CA-101,Sutter County,California,0.03,-0.18,52,0.21
CA-103,Tehama County,California,0.4,-0.31,64,0.71
CA-105,Trinity County,California,0.61,-0.29,70,0.9
CA-107,Tulare County,California,0.17,-0.01,96,0.18
CA-109,Tuolumne County,California,1.21,0.52,106,0.69
CA-111,Ventura County,California,0.22,0.17,121,0.05
CA-113,Yolo County,California,0.01,-0.17,42,0.18
CA-115,Yuba County,California,0.23,-0.22,67,0.45
