May 2015 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,68.8,-2.5,32,71.3
CA-003,Alpine County,California,55.9,-1.1,47,57
CA-005,Amador County,California,72.7,-0.6,52,73.3
CA-007,Butte County,California,76.8,0.9,68,75.9
CA-009,Calaveras County,California,73.2,-0.9,47,74.1
CA-011,Colusa County,California,80,0.6,66,79.4
CA-013,Contra Costa County,California,71.1,-2.5,29,73.6
CA-015,Del Norte County,California,67.3,3.8,113,63.5
CA-017,El Dorado County,California,67.5,-0.6,53,68.1
CA-019,Fresno County,California,70.2,-1.6,38,71.8
CA-021,Glenn County,California,77.6,0.6,68,77
CA-023,Humboldt County,California,68.1,2.8,99,65.3
CA-025,Imperial County,California,88.2,-4.4,15,92.6
CA-027,Inyo County,California,76.6,-2.3,34,78.9
CA-029,Kern County,California,77.9,-0.3,45,78.2
CA-031,Kings County,California,81.7,-1,40,82.7
CA-033,Lake County,California,72.6,1,75,71.6
CA-035,Lassen County,California,64.5,0.1,58,64.4
CA-037,Los Angeles County,California,71.4,-1.7,35,73.1
CA-039,Madera County,California,71.2,-1.6,35,72.8
CA-041,Marin County,California,62.1,-2.2,29,64.3
CA-043,Mariposa County,California,69,-2.2,34,71.2
CA-045,Mendocino County,California,69.4,1.1,77,68.3
CA-047,Merced County,California,78.1,-1.3,38,79.4
CA-049,Modoc County,California,65,1.1,80,63.9
CA-051,Mono County,California,58.7,-2.5,32,61.2
CA-053,Monterey County,California,71.1,-2.5,32,73.6
CA-055,Napa County,California,73.6,-1,43,74.6
CA-057,Nevada County,California,67,0.2,59,66.8
CA-059,Orange County,California,70.7,-1.1,41,71.8
CA-061,Placer County,California,68.4,-0.1,55,68.5
CA-063,Plumas County,California,63.7,-0,55,63.7
CA-065,Riverside County,California,80.5,-3.9,17,84.4
CA-067,Sacramento County,California,78.6,-0.9,43,79.5
CA-069,San Benito County,California,71.9,-1.7,39,73.6
CA-071,San Bernardino County,California,81.3,-2.3,29,83.6
CA-073,San Diego County,California,72.2,-3.1,20,75.3
CA-075,San Francisco County,California,62.7,-2.1,26,64.8
CA-077,San Joaquin County,California,78.1,-0.8,44,78.9
CA-079,San Luis Obispo County,California,71.9,-1.7,37,73.6
CA-081,San Mateo County,California,64.4,-1.5,35,65.9
CA-083,Santa Barbara County,California,69.1,0.4,62,68.7
CA-085,Santa Clara County,California,68.9,-2,35,70.9
CA-087,Santa Cruz County,California,66.8,-1.5,35,68.3
CA-089,Shasta County,California,73.6,2.4,87,71.2
CA-091,Sierra County,California,61.8,-0.5,50,62.3
CA-093,Siskiyou County,California,66.6,2.9,95,63.7
CA-095,Solano County,California,75,-1.7,36,76.7
CA-097,Sonoma County,California,68.2,-1.1,36,69.3
CA-099,Stanislaus County,California,77.6,-0.8,46,78.4
CA-101,Sutter County,California,81.5,0.6,67,80.9
CA-103,Tehama County,California,75.4,1.4,74,74
CA-105,Trinity County,California,71.7,4.3,104,67.4
CA-107,Tulare County,California,67.9,-1.9,33,69.8
CA-109,Tuolumne County,California,62.3,-2.1,33,64.4
CA-111,Ventura County,California,68.7,-0,57,68.7
CA-113,Yolo County,California,79.4,-0.2,54,79.6
CA-115,Yuba County,California,77.7,0.8,68,76.9
