June 2015 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,81.9,4.4,119,77.5
CA-003,Alpine County,California,71.9,5.8,122,66.1
CA-005,Amador County,California,90,7.7,125,82.3
CA-007,Butte County,California,92.3,7.6,127,84.7
CA-009,Calaveras County,California,90,6.9,124,83.1
CA-011,Colusa County,California,94.5,6.1,124,88.4
CA-013,Contra Costa County,California,85.2,5,123,80.2
CA-015,Del Norte County,California,80.8,10.3,129,70.5
CA-017,El Dorado County,California,83.8,6.5,124,77.3
CA-019,Fresno County,California,86.6,5.8,124,80.8
CA-021,Glenn County,California,93.4,7.3,127,86.1
CA-023,Humboldt County,California,80.7,8.8,129,71.9
CA-025,Imperial County,California,105,3.4,107,101.6
CA-027,Inyo County,California,94.2,5.4,122,88.8
CA-029,Kern County,California,93.4,5.8,123,87.6
CA-031,Kings County,California,96.5,5.6,124,90.9
CA-033,Lake County,California,88.2,7.6,128,80.6
CA-035,Lassen County,California,82.1,8.5,126,73.6
CA-037,Los Angeles County,California,86.3,5.7,121,80.6
CA-039,Madera County,California,88,6,124,82
CA-041,Marin County,California,72.3,3.8,115,68.5
CA-043,Mariposa County,California,87.1,6.6,124,80.5
CA-045,Mendocino County,California,83.4,7.9,127,75.5
CA-047,Merced County,California,92.6,5.1,123,87.5
CA-049,Modoc County,California,82.2,9.9,128,72.3
CA-051,Mono County,California,76.1,5.2,118,70.9
CA-053,Monterey County,California,85,4.3,122,80.7
CA-055,Napa County,California,87.3,4.5,124,82.8
CA-057,Nevada County,California,82.9,7.2,125,75.7
CA-059,Orange County,California,80.9,4,117,76.9
CA-061,Placer County,California,84.3,6.9,124,77.4
CA-063,Plumas County,California,81.1,8.4,127,72.7
CA-065,Riverside County,California,98.1,4.4,117,93.7
CA-067,Sacramento County,California,93.9,6.5,127,87.4
CA-069,San Benito County,California,86.8,5.1,123,81.7
CA-071,San Bernardino County,California,98.9,5.3,120,93.6
CA-073,San Diego County,California,87.5,4.7,118,82.8
CA-075,San Francisco County,California,69.7,1.6,94,68.1
CA-077,San Joaquin County,California,92.8,6.2,125,86.6
CA-079,San Luis Obispo County,California,87.2,6,121,81.2
CA-081,San Mateo County,California,72.6,2.5,110,70.1
CA-083,Santa Barbara County,California,79.8,5,123,74.8
CA-085,Santa Clara County,California,81.9,4.2,121,77.7
CA-087,Santa Cruz County,California,76.8,3.7,119,73.1
CA-089,Shasta County,California,90.1,10,128,80.1
CA-091,Sierra County,California,79,7.7,126,71.3
CA-093,Siskiyou County,California,82.6,10.4,129,72.2
CA-095,Solano County,California,88.7,4.7,126,84
CA-097,Sonoma County,California,79.8,4.4,121,75.4
CA-099,Stanislaus County,California,91.7,5.3,123,86.4
CA-101,Sutter County,California,95.8,6.3,125,89.5
CA-103,Tehama County,California,92.2,8.8,128,83.4
CA-105,Trinity County,California,87.9,11.2,129,76.7
CA-107,Tulare County,California,84.5,5.5,125,79
CA-109,Tuolumne County,California,79.6,6,123,73.6
CA-111,Ventura County,California,80.4,4.8,118,75.6
CA-113,Yolo County,California,93.7,5.4,123,88.3
CA-115,Yuba County,California,93.2,7.7,128,85.5
