April 2017 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,66.8,0.9,75,65.9
CA-003,Alpine County,California,49,-1.3,48,50.3
CA-005,Amador County,California,64.1,-1.2,48,65.3
CA-007,Butte County,California,65.5,-2.1,36,67.6
CA-009,Calaveras County,California,65.1,-0.7,52,65.8
CA-011,Colusa County,California,68.6,-2,34,70.6
CA-013,Contra Costa County,California,68.3,0.5,76,67.8
CA-015,Del Norte County,California,54.2,-2.6,25,56.8
CA-017,El Dorado County,California,58.3,-2,39,60.3
CA-019,Fresno County,California,64.1,0.4,66,63.7
CA-021,Glenn County,California,66.1,-1.8,35,67.9
CA-023,Humboldt County,California,59.2,-0.4,55,59.6
CA-025,Imperial County,California,89.4,4.7,119,84.7
CA-027,Inyo County,California,72.3,2.2,84,70.1
CA-029,Kern County,California,72.9,2.9,95,70
CA-031,Kings County,California,75,0.8,75,74.2
CA-033,Lake County,California,61,-2.3,29,63.3
CA-035,Lassen County,California,53.2,-2.5,39,55.7
CA-037,Los Angeles County,California,73.8,6.2,124,67.6
CA-039,Madera County,California,64.8,0.3,64,64.5
CA-041,Marin County,California,62.3,0.9,77,61.4
CA-043,Mariposa County,California,63.2,0.2,63,63
CA-045,Mendocino County,California,60.4,-1.5,44,61.9
CA-047,Merced County,California,71.8,0.3,68,71.5
CA-049,Modoc County,California,53.2,-2,45,55.2
CA-051,Mono County,California,53.2,-0.1,62,53.3
CA-053,Monterey County,California,69.2,1.5,84,67.7
CA-055,Napa County,California,67.3,-0.2,60,67.5
CA-057,Nevada County,California,57,-1.9,41,58.9
CA-059,Orange County,California,75.8,6.4,127,69.4
CA-061,Placer County,California,58.8,-1.8,40,60.6
CA-063,Plumas County,California,52.5,-2.8,32,55.3
CA-065,Riverside County,California,81.9,4.9,115,77
CA-067,Sacramento County,California,71,-0.7,54,71.7
CA-069,San Benito County,California,67.4,1.3,79,66.1
CA-071,San Bernardino County,California,78.8,3.9,100,74.9
CA-073,San Diego County,California,76.2,6.2,124,70
CA-075,San Francisco County,California,64.8,2.4,106,62.4
CA-077,San Joaquin County,California,71.8,0.4,71,71.4
CA-079,San Luis Obispo County,California,70.8,3.4,102,67.4
CA-081,San Mateo County,California,65.1,2.3,102,62.8
CA-083,Santa Barbara County,California,69.7,6,122,63.7
CA-085,Santa Clara County,California,66,0.9,73,65.1
CA-087,Santa Cruz County,California,66.8,2.3,99,64.5
CA-089,Shasta County,California,60.6,-2.2,42,62.8
CA-091,Sierra County,California,52.2,-2.1,42,54.3
CA-093,Siskiyou County,California,53,-2.6,33,55.6
CA-095,Solano County,California,69.7,-0.4,56,70.1
CA-097,Sonoma County,California,64.4,0.1,59,64.3
CA-099,Stanislaus County,California,70.3,-0.2,59,70.5
CA-101,Sutter County,California,71.6,-0.9,52,72.5
CA-103,Tehama County,California,63.3,-1.9,42,65.2
CA-105,Trinity County,California,57.7,-1.6,47,59.3
CA-107,Tulare County,California,62.3,0.6,73,61.7
CA-109,Tuolumne County,California,56.2,-0.9,53,57.1
CA-111,Ventura County,California,70,6.8,126,63.2
CA-113,Yolo County,California,70,-1.5,37,71.5
CA-115,Yuba County,California,66.9,-1.8,37,68.7
