August 2017 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,84,2.3,111,81.7
CA-003,Alpine County,California,75.5,1.6,91,73.9
CA-005,Amador County,California,92.8,3.9,124,88.9
CA-007,Butte County,California,94.8,4,124,90.8
CA-009,Calaveras County,California,92.6,2.7,112,89.9
CA-011,Colusa County,California,97.4,3.8,125,93.6
CA-013,Contra Costa County,California,87.2,2.9,114,84.3
CA-015,Del Norte County,California,83.6,5.8,128,77.8
CA-017,El Dorado County,California,87.8,2.9,110,85
CA-019,Fresno County,California,89.8,3.1,121,86.7
CA-021,Glenn County,California,95.6,3.6,121,92
CA-023,Humboldt County,California,84.9,5.7,129,79.2
CA-025,Imperial County,California,107.7,3.4,122,104.3
CA-027,Inyo County,California,95.5,1.8,96,93.7
CA-029,Kern County,California,95.9,2.1,101,93.8
CA-031,Kings County,California,99.8,4.1,126,95.7
CA-033,Lake County,California,92.5,4.2,128,88.3
CA-035,Lassen County,California,86.6,4.1,120,82.5
CA-037,Los Angeles County,California,90.1,2.6,110,87.5
CA-039,Madera County,California,90.2,1.9,101,88.3
CA-041,Marin County,California,73.5,2,108,71.5
CA-043,Mariposa County,California,90,2.4,110,87.6
CA-045,Mendocino County,California,87.4,4.1,125,83.3
CA-047,Merced County,California,95.1,3.1,119,92
CA-049,Modoc County,California,86.9,5.3,126,81.6
CA-051,Mono County,California,79.1,1.3,85,77.8
CA-053,Monterey County,California,87.8,2.4,115,85.4
CA-055,Napa County,California,90.3,2.5,114,87.8
CA-057,Nevada County,California,87.7,4.4,127,83.3
CA-059,Orange County,California,85.6,2,104,83.6
CA-061,Placer County,California,88.5,3.8,121,84.7
CA-063,Plumas County,California,85.9,4.9,125,81
CA-065,Riverside County,California,100.7,2.5,110,98.2
CA-067,Sacramento County,California,95.6,3.7,120,91.9
CA-069,San Benito County,California,90.4,3.3,119,87.1
CA-071,San Bernardino County,California,99.7,2,99,97.7
CA-073,San Diego County,California,91.2,2,101,89.2
CA-075,San Francisco County,California,71.8,2,107,69.8
CA-077,San Joaquin County,California,95.1,4.3,124,90.8
CA-079,San Luis Obispo County,California,90.4,3.4,122,87
CA-081,San Mateo County,California,75,1.7,103,73.3
CA-083,Santa Barbara County,California,84.4,3.4,118,81
CA-085,Santa Clara County,California,85.6,3.2,117,82.4
CA-087,Santa Cruz County,California,79.2,2.7,119,76.5
CA-089,Shasta County,California,94.7,6.6,129,88.1
CA-091,Sierra County,California,83.9,4.4,125,79.5
CA-093,Siskiyou County,California,87.1,6.3,127,80.8
CA-095,Solano County,California,90.3,2.3,108,88
CA-097,Sonoma County,California,82.3,2.5,116,79.8
CA-099,Stanislaus County,California,94.5,3.5,121,91
CA-101,Sutter County,California,98.1,4.2,125,93.9
CA-103,Tehama County,California,95.1,4.7,127,90.4
CA-105,Trinity County,California,92.3,6.8,129,85.5
CA-107,Tulare County,California,86.8,1.3,86,85.5
CA-109,Tuolumne County,California,83,1.7,98,81.3
CA-111,Ventura County,California,86.5,3.2,116,83.3
CA-113,Yolo County,California,95.6,2.5,106,93.1
CA-115,Yuba County,California,95.8,4.6,125,91.2
