January 2017 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,53.6,-0.8,44,54.4
CA-003,Alpine County,California,36.6,-2.4,30,39
CA-005,Amador County,California,48.3,-3.5,12,51.8
CA-007,Butte County,California,50.8,-0.4,40,51.2
CA-009,Calaveras County,California,49.7,-2.5,25,52.2
CA-011,Colusa County,California,53,-0.3,48,53.3
CA-013,Contra Costa County,California,53,-0.5,42,53.5
CA-015,Del Norte County,California,43.4,-1.1,33,44.5
CA-017,El Dorado County,California,45.2,-3.2,21,48.4
CA-019,Fresno County,California,47.9,-1.1,37,49
CA-021,Glenn County,California,52.1,0.2,55,51.9
CA-023,Humboldt County,California,47,-0.3,44,47.3
CA-025,Imperial County,California,65.6,-1.3,37,66.9
CA-027,Inyo County,California,49,-3.1,27,52.1
CA-029,Kern County,California,53,-1.6,34,54.6
CA-031,Kings County,California,55.2,0.9,69,54.3
CA-033,Lake County,California,49.6,-1.6,32,51.2
CA-035,Lassen County,California,35.6,-3.6,19,39.2
CA-037,Los Angeles County,California,56.4,-1.3,38,57.7
CA-039,Madera County,California,48.2,-1.3,34,49.5
CA-041,Marin County,California,54,0.6,63,53.4
CA-043,Mariposa County,California,46.7,-3.2,21,49.9
CA-045,Mendocino County,California,49.6,-1.9,26,51.5
CA-047,Merced County,California,54.9,1.5,77,53.4
CA-049,Modoc County,California,36.7,-1.3,36,38
CA-051,Mono County,California,34.6,-4.8,16,39.4
CA-053,Monterey County,California,57.1,-1.3,33,58.4
CA-055,Napa County,California,53.4,-0.2,48,53.6
CA-057,Nevada County,California,43.3,-3.5,20,46.8
CA-059,Orange County,California,63.3,-0.7,43,64
CA-061,Placer County,California,44.7,-2.9,20,47.6
CA-063,Plumas County,California,37.4,-3.3,20,40.7
CA-065,Riverside County,California,59.7,-2.1,29,61.8
CA-067,Sacramento County,California,53.9,0.3,60,53.6
CA-069,San Benito County,California,54,-1.2,34,55.2
CA-071,San Bernardino County,California,55,-2,29,57
CA-073,San Diego County,California,59.8,-1.2,36,61
CA-075,San Francisco County,California,55,0.4,62,54.6
CA-077,San Joaquin County,California,55,1.9,84,53.1
CA-079,San Luis Obispo County,California,57.4,-0.6,39,58
CA-081,San Mateo County,California,55.5,-0.4,44,55.9
CA-083,Santa Barbara County,California,57.8,-0.5,41,58.3
CA-085,Santa Clara County,California,53.6,-1,37,54.6
CA-087,Santa Cruz County,California,56.3,-0.9,37,57.2
CA-089,Shasta County,California,45.4,-1.7,34,47.1
CA-091,Sierra County,California,38.2,-3.1,23,41.3
CA-093,Siskiyou County,California,38.8,-1.2,33,40
CA-095,Solano County,California,54.3,0.5,61,53.8
CA-097,Sonoma County,California,54.1,-0.2,51,54.3
CA-099,Stanislaus County,California,54.6,1.6,80,53
CA-101,Sutter County,California,54,0.4,63,53.6
CA-103,Tehama County,California,49.5,-0.9,38,50.4
CA-105,Trinity County,California,42.8,-1.1,37,43.9
CA-107,Tulare County,California,45.2,-2.9,19,48.1
CA-109,Tuolumne County,California,42.7,-2.8,28,45.5
CA-111,Ventura County,California,55.4,-1.1,38,56.5
CA-113,Yolo County,California,54.3,0.4,61,53.9
CA-115,Yuba County,California,51.1,-1.3,35,52.4
