April 2018 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,67.3,1.4,82,65.9
CA-003,Alpine County,California,52.5,2.2,90,50.3
CA-005,Amador County,California,67,1.7,86,65.3
CA-007,Butte County,California,69.4,1.8,80,67.6
CA-009,Calaveras County,California,68.4,2.6,95,65.8
CA-011,Colusa County,California,72.5,1.9,82,70.6
CA-013,Contra Costa County,California,68.9,1.1,79,67.8
CA-015,Del Norte County,California,57.6,0.8,78,56.8
CA-017,El Dorado County,California,61.6,1.3,81,60.3
CA-019,Fresno County,California,67,3.3,103,63.7
CA-021,Glenn County,California,69.6,1.7,77,67.9
CA-023,Humboldt County,California,62.4,2.8,102,59.6
CA-025,Imperial County,California,90.1,5.4,122,84.7
CA-027,Inyo County,California,75,4.9,114,70.1
CA-029,Kern County,California,74.4,4.4,108,70
CA-031,Kings County,California,77.8,3.6,108,74.2
CA-033,Lake County,California,64.1,0.8,72,63.3
CA-035,Lassen County,California,56.6,0.9,74,55.7
CA-037,Los Angeles County,California,73.1,5.5,116,67.6
CA-039,Madera County,California,67.1,2.6,96,64.5
CA-041,Marin County,California,62.8,1.4,82,61.4
CA-043,Mariposa County,California,65.5,2.5,93,63
CA-045,Mendocino County,California,62.6,0.7,71,61.9
CA-047,Merced County,California,72.9,1.4,82,71.5
CA-049,Modoc County,California,56.6,1.4,78,55.2
CA-051,Mono County,California,57.5,4.2,109,53.3
CA-053,Monterey County,California,70,2.3,98,67.7
CA-055,Napa County,California,68.8,1.3,83,67.5
CA-057,Nevada County,California,61.3,2.4,92,58.9
CA-059,Orange County,California,73.6,4.2,114,69.4
CA-061,Placer County,California,62.4,1.8,86,60.6
CA-063,Plumas County,California,57,1.7,81,55.3
CA-065,Riverside County,California,83.2,6.2,124,77
CA-067,Sacramento County,California,72.8,1.1,79,71.7
CA-069,San Benito County,California,69,2.9,100,66.1
CA-071,San Bernardino County,California,81.3,6.4,123,74.9
CA-073,San Diego County,California,75.8,5.8,123,70
CA-075,San Francisco County,California,63.7,1.3,83,62.4
CA-077,San Joaquin County,California,74.4,3,98,71.4
CA-079,San Luis Obispo County,California,72.2,4.8,114,67.4
CA-081,San Mateo County,California,64.6,1.8,91,62.8
CA-083,Santa Barbara County,California,69.2,5.5,117,63.7
CA-085,Santa Clara County,California,66.8,1.7,86,65.1
CA-087,Santa Cruz County,California,66.8,2.3,99,64.5
CA-089,Shasta County,California,64.5,1.7,79,62.8
CA-091,Sierra County,California,56.8,2.5,91,54.3
CA-093,Siskiyou County,California,56.5,0.9,73,55.6
CA-095,Solano County,California,71.2,1.1,79,70.1
CA-097,Sonoma County,California,65.7,1.4,83,64.3
CA-099,Stanislaus County,California,72.5,2,87,70.5
CA-101,Sutter County,California,75.1,2.6,86,72.5
CA-103,Tehama County,California,66.9,1.7,79,65.2
CA-105,Trinity County,California,61.2,1.9,79,59.3
CA-107,Tulare County,California,65,3.3,104,61.7
CA-109,Tuolumne County,California,59.7,2.6,95,57.1
CA-111,Ventura County,California,68.3,5.1,114,63.2
CA-113,Yolo County,California,72.3,0.8,76,71.5
CA-115,Yuba County,California,70.6,1.9,84,68.7
