September 2019 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,80.6,0.6,74,80
CA-003,Alpine County,California,64.6,-2.7,27,67.3
CA-005,Amador County,California,80.8,-2.5,25,83.3
CA-007,Butte County,California,84.2,-0.6,50,84.8
CA-009,Calaveras County,California,82.2,-2,30,84.2
CA-011,Colusa County,California,86.1,-1.8,38,87.9
CA-013,Contra Costa County,California,82.9,0.7,74,82.2
CA-015,Del Norte County,California,68,-5.5,4,73.5
CA-017,El Dorado County,California,75.4,-3.5,21,78.9
CA-019,Fresno County,California,80.8,0.1,57,80.7
CA-021,Glenn County,California,84.8,-1.3,42,86.1
CA-023,Humboldt County,California,73.8,-1.5,34,75.3
CA-025,Imperial County,California,99.2,-0.4,48,99.6
CA-027,Inyo County,California,85.5,-0.7,43,86.2
CA-029,Kern County,California,86.6,-0.3,52,86.9
CA-031,Kings County,California,90.1,0.6,63,89.5
CA-033,Lake County,California,80.2,-2.8,25,83
CA-035,Lassen County,California,70.3,-4.1,17,74.4
CA-037,Los Angeles County,California,84.2,1.1,65,83.1
CA-039,Madera County,California,81.4,-0.5,50,81.9
CA-041,Marin County,California,73.6,1.8,96,71.8
CA-043,Mariposa County,California,80,-1.1,41,81.1
CA-045,Mendocino County,California,76.5,-3,22,79.5
CA-047,Merced County,California,87.2,0.6,59,86.6
CA-049,Modoc County,California,70.1,-3.6,23,73.7
CA-051,Mono County,California,69.8,-0.5,47,70.3
CA-053,Monterey County,California,84.8,2.2,105,82.6
CA-055,Napa County,California,84.4,0.1,55,84.3
CA-057,Nevada County,California,74.7,-2.7,28,77.4
CA-059,Orange County,California,84.2,2.5,99,81.7
CA-061,Placer County,California,76.1,-2.7,27,78.8
CA-063,Plumas County,California,70.7,-3.5,22,74.2
CA-065,Riverside County,California,92.8,-0.2,51,93
CA-067,Sacramento County,California,87.3,-0.1,55,87.4
CA-069,San Benito County,California,84.5,1.5,84,83
CA-071,San Bernardino County,California,91.1,0.1,54,91
CA-073,San Diego County,California,86.1,0.6,70,85.5
CA-075,San Francisco County,California,74.7,3.7,114,71
CA-077,San Joaquin County,California,87.7,1.4,80,86.3
CA-079,San Luis Obispo County,California,85.3,2.4,101,82.9
CA-081,San Mateo County,California,77.1,3.5,117,73.6
CA-083,Santa Barbara County,California,82.2,4,118,78.2
CA-085,Santa Clara County,California,82.1,2,98,80.1
CA-087,Santa Cruz County,California,82.9,6.6,126,76.3
CA-089,Shasta County,California,79.6,-1.6,38,81.2
CA-091,Sierra County,California,69.5,-3.6,20,73.1
CA-093,Siskiyou County,California,70.4,-3.5,23,73.9
CA-095,Solano County,California,86,1.2,81,84.8
CA-097,Sonoma County,California,79.8,1.3,87,78.5
CA-099,Stanislaus County,California,86.5,0.6,63,85.9
CA-101,Sutter County,California,88.2,-0.5,49,88.7
CA-103,Tehama County,California,82.1,-1.9,34,84
CA-105,Trinity County,California,76.6,-2.2,32,78.8
CA-107,Tulare County,California,78,-0.9,43,78.9
CA-109,Tuolumne County,California,73.2,-1.9,35,75.1
CA-111,Ventura County,California,81.3,2,87,79.3
CA-113,Yolo County,California,87.5,-0.6,47,88.1
CA-115,Yuba County,California,84.2,-1.6,39,85.8
