October 2020 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,81.7,8.5,129,73.2
CA-003,Alpine County,California,66.4,9.1,128,57.3
CA-005,Amador County,California,82.2,9,129,73.2
CA-007,Butte County,California,84,9.6,129,74.4
CA-009,Calaveras County,California,83.1,9.1,129,74
CA-011,Colusa County,California,86,8.8,129,77.2
CA-013,Contra Costa County,California,83,8.4,129,74.6
CA-015,Del Norte County,California,70.9,8.1,129,62.8
CA-017,El Dorado County,California,77.4,8.8,129,68.6
CA-019,Fresno County,California,77.3,6.7,128,70.6
CA-021,Glenn County,California,84.2,9,129,75.2
CA-023,Humboldt County,California,74.5,9.2,129,65.3
CA-025,Imperial County,California,96.1,7.7,127,88.4
CA-027,Inyo County,California,82.4,7.9,127,74.5
CA-029,Kern County,California,83.6,7.3,128,76.3
CA-031,Kings County,California,85.6,6.4,129,79.2
CA-033,Lake County,California,82,9.8,129,72.2
CA-035,Lassen County,California,70.9,8.6,127,62.3
CA-037,Los Angeles County,California,82.7,8,128,74.7
CA-039,Madera County,California,78,6.3,126,71.7
CA-041,Marin County,California,78,9.8,129,68.2
CA-043,Mariposa County,California,78.5,7.5,126,71
CA-045,Mendocino County,California,80.8,10.6,129,70.2
CA-047,Merced County,California,83.6,6.5,129,77.1
CA-049,Modoc County,California,70,8.2,124,61.8
CA-051,Mono County,California,68,7.9,129,60.1
CA-053,Monterey County,California,84.5,8.8,129,75.7
CA-055,Napa County,California,85.2,9.9,129,75.3
CA-057,Nevada County,California,77.1,9.7,129,67.4
CA-059,Orange County,California,83.5,6.9,126,76.6
CA-061,Placer County,California,77.8,9,129,68.8
CA-063,Plumas County,California,72.2,9.2,127,63
CA-065,Riverside County,California,90.1,7.7,127,82.4
CA-067,Sacramento County,California,86,8.1,129,77.9
CA-069,San Benito County,California,83.1,8.6,129,74.5
CA-071,San Bernardino County,California,87.6,8.2,128,79.4
CA-073,San Diego County,California,85.9,8.6,129,77.3
CA-075,San Francisco County,California,76.9,8.6,129,68.3
CA-077,San Joaquin County,California,85.8,8.7,129,77.1
CA-079,San Luis Obispo County,California,84.5,9.4,129,75.1
CA-081,San Mateo County,California,78.3,8.6,129,69.7
CA-083,Santa Barbara County,California,80.9,8.7,129,72.2
CA-085,Santa Clara County,California,82.4,9.4,129,73
CA-087,Santa Cruz County,California,80.9,9.1,129,71.8
CA-089,Shasta County,California,79.2,9.5,127,69.7
CA-091,Sierra County,California,71.6,9.1,128,62.5
CA-093,Siskiyou County,California,70.2,8.4,126,61.8
CA-095,Solano County,California,84.8,8.3,129,76.5
CA-097,Sonoma County,California,82.4,10.3,129,72.1
CA-099,Stanislaus County,California,83.9,7.3,129,76.6
CA-101,Sutter County,California,87.2,8.7,129,78.5
CA-103,Tehama County,California,82.6,9.8,129,72.8
CA-105,Trinity County,California,75.8,9.7,129,66.1
CA-107,Tulare County,California,75.2,6.5,127,68.7
CA-109,Tuolumne County,California,73.8,8.6,129,65.2
CA-111,Ventura County,California,79.8,8,128,71.8
CA-113,Yolo County,California,86.4,8.3,129,78.1
CA-115,Yuba County,California,85.4,9.7,129,75.7
