July 2020 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,84.5,2.2,105,82.3
CA-003,Alpine County,California,76.5,1.5,83,75
CA-005,Amador County,California,91.9,1.5,87,90.4
CA-007,Butte County,California,94.2,1.9,98,92.3
CA-009,Calaveras County,California,92.2,1,81,91.2
CA-011,Colusa County,California,96.1,0.7,76,95.4
CA-013,Contra Costa County,California,86.8,1.8,100,85.1
CA-015,Del Norte County,California,80.2,2.7,105,77.6
CA-017,El Dorado County,California,87,1.2,73,85.8
CA-019,Fresno County,California,89.6,1.4,87,88.2
CA-021,Glenn County,California,94.9,1.2,86,93.7
CA-023,Humboldt County,California,82.3,3.3,110,79
CA-025,Imperial County,California,109.9,4,127,105.9
CA-027,Inyo County,California,97.6,2,96,95.6
CA-029,Kern County,California,95.8,0.7,72,95.1
CA-031,Kings County,California,98.6,1,84,97.6
CA-033,Lake County,California,90.6,1.3,86,89.3
CA-035,Lassen County,California,86.4,2.6,98,83.8
CA-037,Los Angeles County,California,88.6,1.1,83,87.5
CA-039,Madera County,California,90.9,1.2,84,89.7
CA-041,Marin County,California,71.6,0.7,83,70.9
CA-043,Mariposa County,California,90.4,1.8,91,88.6
CA-045,Mendocino County,California,85,1.8,97,83.2
CA-047,Merced County,California,94.1,0.3,72,93.8
CA-049,Modoc County,California,85.8,3,102,82.8
CA-051,Mono County,California,82.4,3.5,118,78.9
CA-053,Monterey County,California,85.4,-0.4,46,85.8
CA-055,Napa County,California,90.1,1.4,98,88.7
CA-057,Nevada County,California,86.7,2.5,101,84.2
CA-059,Orange County,California,83.4,1.2,89,82.2
CA-061,Placer County,California,87.4,1.7,93,85.7
CA-063,Plumas County,California,84.2,2.3,100,81.9
CA-065,Riverside County,California,102.6,3.3,124,99.3
CA-067,Sacramento County,California,95.6,2.3,103,93.3
CA-069,San Benito County,California,88.8,0.8,85,88
CA-071,San Bernardino County,California,102.1,2.7,111,99.4
CA-073,San Diego County,California,91.7,2.5,112,89.2
CA-075,San Francisco County,California,70.6,1.3,97,69.3
CA-077,San Joaquin County,California,94.8,2.3,105,92.5
CA-079,San Luis Obispo County,California,87.7,0.4,70,87.3
CA-081,San Mateo County,California,74.4,1.4,102,73
CA-083,Santa Barbara County,California,82.2,1.7,99,80.5
CA-085,Santa Clara County,California,84.4,1.5,101,82.9
CA-087,Santa Cruz County,California,77.2,1,90,76.2
CA-089,Shasta County,California,92.7,3.6,108,89.1
CA-091,Sierra County,California,82.7,2.5,103,80.2
CA-093,Siskiyou County,California,85.1,3.6,105,81.5
CA-095,Solano County,California,90,1.2,92,88.8
CA-097,Sonoma County,California,80.6,0.9,91,79.7
CA-099,Stanislaus County,California,93.9,1.1,88,92.8
CA-101,Sutter County,California,97,1.1,84,95.9
CA-103,Tehama County,California,93.8,2,92,91.8
CA-105,Trinity County,California,89.5,3.6,107,85.9
CA-107,Tulare County,California,87.5,0.7,75,86.8
CA-109,Tuolumne County,California,83.5,1.5,85,82
CA-111,Ventura County,California,83.2,0.5,73,82.7
CA-113,Yolo County,California,95.5,0.8,85,94.7
CA-115,Yuba County,California,95.1,2.3,101,92.8
