October 2021 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,71.3,-1.9,34,73.2
CA-003,Alpine County,California,54.3,-3,29,57.3
CA-005,Amador County,California,69.2,-4,20,73.2
CA-007,Butte County,California,71.2,-3.2,26,74.4
CA-009,Calaveras County,California,70.5,-3.5,23,74
CA-011,Colusa County,California,72.9,-4.3,14,77.2
CA-013,Contra Costa County,California,72.3,-2.3,27,74.6
CA-015,Del Norte County,California,60.2,-2.6,17,62.8
CA-017,El Dorado County,California,64.2,-4.4,18,68.6
CA-019,Fresno County,California,67.4,-3.2,20,70.6
CA-021,Glenn County,California,71.1,-4.1,16,75.2
CA-023,Humboldt County,California,64.3,-1,45,65.3
CA-025,Imperial County,California,87.5,-0.9,48,88.4
CA-027,Inyo County,California,71.7,-2.8,21,74.5
CA-029,Kern County,California,73.6,-2.7,22,76.3
CA-031,Kings County,California,76.7,-2.5,24,79.2
CA-033,Lake County,California,67.2,-5,8,72.2
CA-035,Lassen County,California,58.4,-3.9,23,62.3
CA-037,Los Angeles County,California,74.2,-0.5,48,74.7
CA-039,Madera County,California,67.8,-3.9,17,71.7
CA-041,Marin County,California,66.5,-1.7,31,68.2
CA-043,Mariposa County,California,66.7,-4.3,17,71
CA-045,Mendocino County,California,66.5,-3.7,16,70.2
CA-047,Merced County,California,75.1,-2,35,77.1
CA-049,Modoc County,California,59.1,-2.7,33,61.8
CA-051,Mono County,California,56.4,-3.7,24,60.1
CA-053,Monterey County,California,74.3,-1.4,41,75.7
CA-055,Napa County,California,72,-3.3,19,75.3
CA-057,Nevada County,California,62.4,-5,17,67.4
CA-059,Orange County,California,77,0.4,70,76.6
CA-061,Placer County,California,64.1,-4.7,15,68.8
CA-063,Plumas County,California,58.7,-4.3,19,63
CA-065,Riverside County,California,80.8,-1.6,36,82.4
CA-067,Sacramento County,California,74.9,-3,24,77.9
CA-069,San Benito County,California,72.9,-1.6,39,74.5
CA-071,San Bernardino County,California,77.2,-2.2,25,79.4
CA-073,San Diego County,California,76.4,-0.9,43,77.3
CA-075,San Francisco County,California,67.5,-0.8,43,68.3
CA-077,San Joaquin County,California,75.9,-1.2,45,77.1
CA-079,San Luis Obispo County,California,73.8,-1.3,42,75.1
CA-081,San Mateo County,California,69.5,-0.2,58,69.7
CA-083,Santa Barbara County,California,73.2,1,81,72.2
CA-085,Santa Clara County,California,71.9,-1.1,42,73
CA-087,Santa Cruz County,California,72.4,0.6,77,71.8
CA-089,Shasta County,California,65.7,-4,22,69.7
CA-091,Sierra County,California,58,-4.5,20,62.5
CA-093,Siskiyou County,California,58.6,-3.2,22,61.8
CA-095,Solano County,California,73.3,-3.2,16,76.5
CA-097,Sonoma County,California,68.8,-3.3,17,72.1
CA-099,Stanislaus County,California,74.6,-2,34,76.6
CA-101,Sutter County,California,75.4,-3.1,22,78.5
CA-103,Tehama County,California,68,-4.8,12,72.8
CA-105,Trinity County,California,63,-3.1,26,66.1
CA-107,Tulare County,California,65.1,-3.6,17,68.7
CA-109,Tuolumne County,California,61.5,-3.7,24,65.2
CA-111,Ventura County,California,72.5,0.7,74,71.8
CA-113,Yolo County,California,74.2,-3.9,16,78.1
CA-115,Yuba County,California,71.6,-4.1,17,75.7
