February 2021 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,61.5,3.5,117,58
CA-003,Alpine County,California,44.1,3.7,105,40.4
CA-005,Amador County,California,57.1,1.7,90,55.4
CA-007,Butte County,California,59.8,3.9,109,55.9
CA-009,Calaveras County,California,58,2.2,100,55.8
CA-011,Colusa County,California,62.7,4.2,114,58.5
CA-013,Contra Costa County,California,62.7,4.1,119,58.6
CA-015,Del Norte County,California,48.3,0.1,60,48.2
CA-017,El Dorado County,California,52.8,2,95,50.8
CA-019,Fresno County,California,56.5,3.5,113,53
CA-021,Glenn County,California,60.6,4.2,110,56.4
CA-023,Humboldt County,California,51,0,56,51
CA-025,Imperial County,California,74.9,3.2,102,71.7
CA-027,Inyo County,California,59.7,3.4,104,56.3
CA-029,Kern County,California,62.3,3.6,111,58.7
CA-031,Kings County,California,65,4.1,111,60.9
CA-033,Lake County,California,57.1,3.2,105,53.9
CA-035,Lassen County,California,44.8,1.9,85,42.9
CA-037,Los Angeles County,California,64.4,4.7,114,59.7
CA-039,Madera County,California,56.9,3.3,109,53.6
CA-041,Marin County,California,60.6,3.9,117,56.7
CA-043,Mariposa County,California,55.5,2.4,99,53.1
CA-045,Mendocino County,California,56.4,2,89,54.4
CA-047,Merced County,California,63.3,3.9,116,59.4
CA-049,Modoc County,California,43.3,1.4,69,41.9
CA-051,Mono County,California,45.6,3.9,106,41.7
CA-053,Monterey County,California,63.8,3.6,113,60.2
CA-055,Napa County,California,62.6,4.8,119,57.8
CA-057,Nevada County,California,51.5,2.4,90,49.1
CA-059,Orange County,California,68.6,3.6,103,65
CA-061,Placer County,California,52.9,2.3,93,50.6
CA-063,Plumas County,California,45.9,2.2,88,43.7
CA-065,Riverside County,California,68.8,3.4,98,65.4
CA-067,Sacramento County,California,63.8,3.7,116,60.1
CA-069,San Benito County,California,61.4,4.2,115,57.2
CA-071,San Bernardino County,California,64.9,3.5,101,61.4
CA-073,San Diego County,California,66.8,4.1,107,62.7
CA-075,San Francisco County,California,60.8,2.9,111,57.9
CA-077,San Joaquin County,California,64.7,5.1,121,59.6
CA-079,San Luis Obispo County,California,63.9,4.5,113,59.4
CA-081,San Mateo County,California,60.7,2.7,107,58
CA-083,Santa Barbara County,California,63.2,4.6,115,58.6
CA-085,Santa Clara County,California,60,2.7,108,57.3
CA-087,Santa Cruz County,California,63,4,117,59
CA-089,Shasta County,California,53.6,2.6,94,51
CA-091,Sierra County,California,45.7,2.1,88,43.6
CA-093,Siskiyou County,California,45.5,1.4,78,44.1
CA-095,Solano County,California,64.4,4.7,120,59.7
CA-097,Sonoma County,California,61.5,3.9,114,57.6
CA-099,Stanislaus County,California,62.2,3.3,111,58.9
CA-101,Sutter County,California,64.3,4.2,118,60.1
CA-103,Tehama County,California,57.5,3.5,100,54
CA-105,Trinity County,California,50.5,2.3,90,48.2
CA-107,Tulare County,California,53.9,2.3,103,51.6
CA-109,Tuolumne County,California,50.2,2.4,98,47.8
CA-111,Ventura County,California,61.8,4.6,113,57.2
CA-113,Yolo County,California,64.5,4.8,118,59.7
CA-115,Yuba County,California,60.8,3.4,105,57.4
