June 2021 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,81.5,4,117,77.5
CA-003,Alpine County,California,74.4,8.3,128,66.1
CA-005,Amador County,California,90.1,7.8,126,82.3
CA-007,Butte County,California,91.7,7,126,84.7
CA-009,Calaveras County,California,90.8,7.7,127,83.1
CA-011,Colusa County,California,93.6,5.2,122,88.4
CA-013,Contra Costa County,California,83.9,3.7,112,80.2
CA-015,Del Norte County,California,77.3,6.8,127,70.5
CA-017,El Dorado County,California,84.4,7.1,125,77.3
CA-019,Fresno County,California,87.4,6.6,127,80.8
CA-021,Glenn County,California,92.5,6.4,126,86.1
CA-023,Humboldt County,California,78.6,6.7,126,71.9
CA-025,Imperial County,California,107.7,6.1,129,101.6
CA-027,Inyo County,California,96.5,7.7,128,88.8
CA-029,Kern County,California,93.9,6.3,126,87.6
CA-031,Kings County,California,95.9,5,122,90.9
CA-033,Lake County,California,86.7,6.1,126,80.6
CA-035,Lassen County,California,83.4,9.8,129,73.6
CA-037,Los Angeles County,California,87.6,7,128,80.6
CA-039,Madera County,California,88.1,6.1,126,82
CA-041,Marin County,California,70.6,2.1,98,68.5
CA-043,Mariposa County,California,87.5,7,127,80.5
CA-045,Mendocino County,California,81.2,5.7,126,75.5
CA-047,Merced County,California,91.1,3.6,111,87.5
CA-049,Modoc County,California,83.8,11.5,129,72.3
CA-051,Mono County,California,79,8.1,129,70.9
CA-053,Monterey County,California,84.3,3.6,113,80.7
CA-055,Napa County,California,86.7,3.9,113,82.8
CA-057,Nevada County,California,83.5,7.8,127,75.7
CA-059,Orange County,California,80,3.1,109,76.9
CA-061,Placer County,California,84.9,7.5,127,77.4
CA-063,Plumas County,California,81.8,9.1,128,72.7
CA-065,Riverside County,California,100.6,6.9,129,93.7
CA-067,Sacramento County,California,92.6,5.2,122,87.4
CA-069,San Benito County,California,86.5,4.8,121,81.7
CA-071,San Bernardino County,California,100.9,7.3,129,93.6
CA-073,San Diego County,California,89.1,6.3,126,82.8
CA-075,San Francisco County,California,69.5,1.4,88,68.1
CA-077,San Joaquin County,California,91.7,5.1,120,86.6
CA-079,San Luis Obispo County,California,86.9,5.7,120,81.2
CA-081,San Mateo County,California,73,2.9,115,70.1
CA-083,Santa Barbara County,California,80.7,5.9,125,74.8
CA-085,Santa Clara County,California,81.9,4.2,121,77.7
CA-087,Santa Cruz County,California,77.1,4,122,73.1
CA-089,Shasta County,California,90.2,10.1,129,80.1
CA-091,Sierra County,California,79.6,8.3,127,71.3
CA-093,Siskiyou County,California,81.7,9.5,128,72.2
CA-095,Solano County,California,88,4,115,84
CA-097,Sonoma County,California,79.5,4.1,119,75.4
CA-099,Stanislaus County,California,89.9,3.5,112,86.4
CA-101,Sutter County,California,95.3,5.8,123,89.5
CA-103,Tehama County,California,91,7.6,126,83.4
CA-105,Trinity County,California,86.1,9.4,128,76.7
CA-107,Tulare County,California,86,7,128,79
CA-109,Tuolumne County,California,81.4,7.8,128,73.6
CA-111,Ventura County,California,81,5.4,122,75.6
CA-113,Yolo County,California,93,4.7,119,88.3
CA-115,Yuba County,California,92.9,7.4,126,85.5
