August 2021 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,85.2,3.5,121,81.7
CA-003,Alpine County,California,77,3.1,115,73.9
CA-005,Amador County,California,92.2,3.3,116,88.9
CA-007,Butte County,California,94.2,3.4,116,90.8
CA-009,Calaveras County,California,92.8,2.9,117,89.9
CA-011,Colusa County,California,96.3,2.7,109,93.6
CA-013,Contra Costa County,California,87.4,3.1,116,84.3
CA-015,Del Norte County,California,81,3.2,116,77.8
CA-017,El Dorado County,California,87.5,2.6,104,85
CA-019,Fresno County,California,89.9,3.2,124,86.7
CA-021,Glenn County,California,95,3,111,92
CA-023,Humboldt County,California,81.5,2.3,103,79.2
CA-025,Imperial County,California,106.9,2.6,112,104.3
CA-027,Inyo County,California,97,3.3,120,93.7
CA-029,Kern County,California,96.1,2.3,106,93.8
CA-031,Kings County,California,98.4,2.7,113,95.7
CA-033,Lake County,California,92,3.7,123,88.3
CA-035,Lassen County,California,84.8,2.3,91,82.5
CA-037,Los Angeles County,California,90,2.5,107,87.5
CA-039,Madera County,California,91,2.7,115,88.3
CA-041,Marin County,California,74,2.5,114,71.5
CA-043,Mariposa County,California,90.5,2.9,118,87.6
CA-045,Mendocino County,California,87,3.7,122,83.3
CA-047,Merced County,California,94.1,2.1,106,92
CA-049,Modoc County,California,85.6,4,112,81.6
CA-051,Mono County,California,81.2,3.4,123,77.8
CA-053,Monterey County,California,87.2,1.8,101,85.4
CA-055,Napa County,California,90.1,2.3,111,87.8
CA-057,Nevada County,California,86.7,3.4,115,83.3
CA-059,Orange County,California,84.9,1.3,88,83.6
CA-061,Placer County,California,87.6,2.9,111,84.7
CA-063,Plumas County,California,84,3,102,81
CA-065,Riverside County,California,100.6,2.4,109,98.2
CA-067,Sacramento County,California,94.3,2.4,103,91.9
CA-069,San Benito County,California,90.2,3.1,118,87.1
CA-071,San Bernardino County,California,100.9,3.2,118,97.7
CA-073,San Diego County,California,91.7,2.5,105,89.2
CA-075,San Francisco County,California,71.5,1.7,100,69.8
CA-077,San Joaquin County,California,94,3.2,114,90.8
CA-079,San Luis Obispo County,California,89.8,2.8,116,87
CA-081,San Mateo County,California,76,2.7,120,73.3
CA-083,Santa Barbara County,California,84.2,3.2,115,81
CA-085,Santa Clara County,California,85.8,3.4,120,82.4
CA-087,Santa Cruz County,California,79.3,2.8,120,76.5
CA-089,Shasta County,California,92,3.9,120,88.1
CA-091,Sierra County,California,83,3.5,114,79.5
CA-093,Siskiyou County,California,84.4,3.6,111,80.8
CA-095,Solano County,California,90.4,2.4,110,88
CA-097,Sonoma County,California,82.3,2.5,116,79.8
CA-099,Stanislaus County,California,93.2,2.2,108,91
CA-101,Sutter County,California,96.9,3,111,93.9
CA-103,Tehama County,California,93.5,3.1,113,90.4
CA-105,Trinity County,California,87.4,1.9,94,85.5
CA-107,Tulare County,California,88.2,2.7,117,85.5
CA-109,Tuolumne County,California,84.2,2.9,120,81.3
CA-111,Ventura County,California,86.3,3,114,83.3
CA-113,Yolo County,California,95.4,2.3,104,93.1
CA-115,Yuba County,California,94.5,3.3,115,91.2
