February 2022 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,64.5,6.5,127,58
CA-003,Alpine County,California,44.6,4.2,106,40.4
CA-005,Amador County,California,60.7,5.3,122,55.4
CA-007,Butte County,California,65.2,9.3,126,55.9
CA-009,Calaveras County,California,61,5.2,121,55.8
CA-011,Colusa County,California,67.3,8.8,130,58.5
CA-013,Contra Costa County,California,65.4,6.8,127,58.6
CA-015,Del Norte County,California,54.6,6.4,126,48.2
CA-017,El Dorado County,California,56.1,5.3,120,50.8
CA-019,Fresno County,California,58.6,5.6,123,53
CA-021,Glenn County,California,66,9.6,130,56.4
CA-023,Humboldt County,California,56.3,5.3,124,51
CA-025,Imperial County,California,74.3,2.6,97,71.7
CA-027,Inyo County,California,60,3.7,108,56.3
CA-029,Kern County,California,63.1,4.4,117,58.7
CA-031,Kings County,California,66.6,5.7,124,60.9
CA-033,Lake County,California,62.3,8.4,127,53.9
CA-035,Lassen County,California,48.8,5.9,118,42.9
CA-037,Los Angeles County,California,65.8,6.1,119,59.7
CA-039,Madera County,California,59.5,5.9,123,53.6
CA-041,Marin County,California,63.4,6.7,127,56.7
CA-043,Mariposa County,California,57.9,4.8,119,53.1
CA-045,Mendocino County,California,61.7,7.3,126,54.4
CA-047,Merced County,California,65,5.6,124,59.4
CA-049,Modoc County,California,49.6,7.7,124,41.9
CA-051,Mono County,California,46.1,4.4,108,41.7
CA-053,Monterey County,California,66.3,6.1,123,60.2
CA-055,Napa County,California,65.4,7.6,127,57.8
CA-057,Nevada County,California,55.5,6.4,120,49.1
CA-059,Orange County,California,72.2,7.2,127,65
CA-061,Placer County,California,56.6,6,121,50.6
CA-063,Plumas County,California,50.3,6.6,120,43.7
CA-065,Riverside County,California,69,3.6,103,65.4
CA-067,Sacramento County,California,66.7,6.6,127,60.1
CA-069,San Benito County,California,63.5,6.3,123,57.2
CA-071,San Bernardino County,California,64.3,2.9,94,61.4
CA-073,San Diego County,California,67.6,4.9,115,62.7
CA-075,San Francisco County,California,63.3,5.4,126,57.9
CA-077,San Joaquin County,California,66.8,7.2,127,59.6
CA-079,San Luis Obispo County,California,66.5,7.1,125,59.4
CA-081,San Mateo County,California,63.1,5.1,126,58
CA-083,Santa Barbara County,California,65.8,7.2,126,58.6
CA-085,Santa Clara County,California,63.7,6.4,125,57.3
CA-087,Santa Cruz County,California,65.3,6.3,125,59
CA-089,Shasta County,California,60.2,9.2,127,51
CA-091,Sierra County,California,49.9,6.3,119,43.6
CA-093,Siskiyou County,California,51.9,7.8,126,44.1
CA-095,Solano County,California,66.1,6.4,126,59.7
CA-097,Sonoma County,California,65.1,7.5,126,57.6
CA-099,Stanislaus County,California,64.9,6,124,58.9
CA-101,Sutter County,California,68.2,8.1,130,60.1
CA-103,Tehama County,California,63.6,9.6,129,54
CA-105,Trinity County,California,56.4,8.2,125,48.2
CA-107,Tulare County,California,56.9,5.3,124,51.6
CA-109,Tuolumne County,California,51.8,4,110,47.8
CA-111,Ventura County,California,64.9,7.7,126,57.2
CA-113,Yolo County,California,67.1,7.4,127,59.7
CA-115,Yuba County,California,65.8,8.4,125,57.4
