December 2022 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,55,-0.2,56,55.2
CA-003,Alpine County,California,40.6,-0.3,69,40.9
CA-005,Amador County,California,51.7,-1.1,55,52.8
CA-007,Butte County,California,51.7,-0.7,52,52.4
CA-009,Calaveras County,California,51.8,-1.3,49,53.1
CA-011,Colusa County,California,53.7,-0.6,48,54.3
CA-013,Contra Costa County,California,54.4,-0.1,60,54.5
CA-015,Del Norte County,California,46.6,1.3,84,45.3
CA-017,El Dorado County,California,48.5,-1.1,54,49.6
CA-019,Fresno County,California,48.5,-1.6,39,50.1
CA-021,Glenn County,California,52.7,-0.2,62,52.9
CA-023,Humboldt County,California,47.7,-0.2,47,47.9
CA-025,Imperial County,California,69.1,1.9,90,67.2
CA-027,Inyo County,California,53.2,0.6,72,52.6
CA-029,Kern County,California,55.4,-0.1,67,55.5
CA-031,Kings County,California,54,-1.4,38,55.4
CA-033,Lake County,California,50.8,-1,46,51.8
CA-035,Lassen County,California,37.6,-2.6,29,40.2
CA-037,Los Angeles County,California,59.5,0.5,70,59
CA-039,Madera County,California,50.2,-0.6,59,50.8
CA-041,Marin County,California,53.8,-0.7,47,54.5
CA-043,Mariposa County,California,49.9,-1.4,49,51.3
CA-045,Mendocino County,California,50.9,-1,47,51.9
CA-047,Merced County,California,53,-1.1,37,54.1
CA-049,Modoc County,California,38.3,-1.2,50,39.5
CA-051,Mono County,California,41.4,0.1,71,41.3
CA-053,Monterey County,California,58.5,-1.2,49,59.7
CA-055,Napa County,California,53.7,-0.9,48,54.6
CA-057,Nevada County,California,45.2,-3,29,48.2
CA-059,Orange County,California,65.5,-0.1,61,65.6
CA-061,Placer County,California,47,-2,35,49
CA-063,Plumas County,California,38.4,-3.5,19,41.9
CA-065,Riverside County,California,63.3,0.4,69,62.9
CA-067,Sacramento County,California,54.1,-0.6,49,54.7
CA-069,San Benito County,California,54.8,-1.7,40,56.5
CA-071,San Bernardino County,California,58.5,0.9,77,57.6
CA-073,San Diego County,California,62.9,0.4,69,62.5
CA-075,San Francisco County,California,54.9,-0.8,43,55.7
CA-077,San Joaquin County,California,54.6,0.5,67,54.1
CA-079,San Luis Obispo County,California,58.6,-0.4,58,59
CA-081,San Mateo County,California,55.4,-1.4,38,56.8
CA-083,Santa Barbara County,California,58.7,-0.7,50,59.4
CA-085,Santa Clara County,California,54.9,-0.7,54,55.6
CA-087,Santa Cruz County,California,57.1,-1.1,41,58.2
CA-089,Shasta County,California,45,-3,25,48
CA-091,Sierra County,California,39.9,-2.8,30,42.7
CA-093,Siskiyou County,California,39.5,-1.4,37,40.9
CA-095,Solano County,California,53.9,-0.9,44,54.8
CA-097,Sonoma County,California,53.9,-1.2,41,55.1
CA-099,Stanislaus County,California,53.4,-0.4,51,53.8
CA-101,Sutter County,California,54,-0.9,41,54.9
CA-103,Tehama County,California,50,-1.3,45,51.3
CA-105,Trinity County,California,42.9,-1.3,34,44.2
CA-107,Tulare County,California,47.5,-1.3,42,48.8
CA-109,Tuolumne County,California,45.3,-1.8,49,47.1
CA-111,Ventura County,California,57.7,-0.2,62,57.9
CA-113,Yolo County,California,54,-0.9,44,54.9
CA-115,Yuba County,California,51.8,-2.1,30,53.9
