March 2022 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,67.5,6.1,125,61.4
CA-003,Alpine County,California,49.3,5,117,44.3
CA-005,Amador County,California,64.6,5.6,118,59
CA-007,Butte County,California,69.2,8.7,125,60.5
CA-009,Calaveras County,California,65.1,5.6,119,59.5
CA-011,Colusa County,California,70.8,7.3,125,63.5
CA-013,Contra Costa County,California,69.2,6.4,126,62.8
CA-015,Del Norte County,California,56.3,4.6,113,51.7
CA-017,El Dorado County,California,59.3,5.1,117,54.2
CA-019,Fresno County,California,62.9,5.8,121,57.1
CA-021,Glenn County,California,68.7,7.6,125,61.1
CA-023,Humboldt County,California,60,5.4,122,54.6
CA-025,Imperial County,California,82.5,5.5,115,77
CA-027,Inyo County,California,67.2,5.1,115,62.1
CA-029,Kern County,California,69.5,6.1,123,63.4
CA-031,Kings County,California,72.9,6.4,122,66.5
CA-033,Lake County,California,64.3,6.6,123,57.7
CA-035,Lassen County,California,54.5,6.5,122,48
CA-037,Los Angeles County,California,69.8,6.9,121,62.9
CA-039,Madera County,California,64.5,6.6,123,57.9
CA-041,Marin County,California,63.3,4.5,118,58.8
CA-043,Mariposa County,California,62.1,5.4,120,56.7
CA-045,Mendocino County,California,64.8,7.4,126,57.4
CA-047,Merced County,California,71,6.3,123,64.7
CA-049,Modoc County,California,54.4,6.9,123,47.5
CA-051,Mono County,California,51.4,5,115,46.4
CA-053,Monterey County,California,67.2,4.2,114,63
CA-055,Napa County,California,68.2,6.3,123,61.9
CA-057,Nevada County,California,58.8,6.2,121,52.6
CA-059,Orange County,California,72.4,6.1,121,66.3
CA-061,Placer County,California,59.8,5.6,120,54.2
CA-063,Plumas County,California,55.4,7.3,123,48.1
CA-065,Riverside County,California,75.9,6,118,69.9
CA-067,Sacramento County,California,71.7,6.7,125,65
CA-069,San Benito County,California,65,4.3,113,60.7
CA-071,San Bernardino County,California,73,5.9,120,67.1
CA-073,San Diego County,California,71,5.8,117,65.2
CA-075,San Francisco County,California,62.3,2.2,97,60.1
CA-077,San Joaquin County,California,72.8,8.1,128,64.7
CA-079,San Luis Obispo County,California,69.5,7.2,123,62.3
CA-081,San Mateo County,California,63.6,3.5,114,60.1
CA-083,Santa Barbara County,California,68.2,8.1,127,60.1
CA-085,Santa Clara County,California,65.4,5,119,60.4
CA-087,Santa Cruz County,California,64.8,3.7,111,61.1
CA-089,Shasta County,California,63.6,7.9,124,55.7
CA-091,Sierra County,California,53.9,6.3,120,47.6
CA-093,Siskiyou County,California,55.4,6.6,121,48.8
CA-095,Solano County,California,70.6,6.3,125,64.3
CA-097,Sonoma County,California,65.8,5.3,121,60.5
CA-099,Stanislaus County,California,70.4,6.6,123,63.8
CA-101,Sutter County,California,73,7.7,126,65.3
CA-103,Tehama County,California,66.6,8.2,125,58.4
CA-105,Trinity County,California,60.2,7.2,124,53
CA-107,Tulare County,California,61.6,6.2,123,55.4
CA-109,Tuolumne County,California,55.8,4.4,110,51.4
CA-111,Ventura County,California,66.7,7.3,120,59.4
CA-113,Yolo County,California,71.7,7,125,64.7
CA-115,Yuba County,California,69.8,7.9,125,61.9
