September 2022 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,85.3,5.3,127,80
CA-003,Alpine County,California,70.6,3.3,107,67.3
CA-005,Amador County,California,87.2,3.9,115,83.3
CA-007,Butte County,California,90.6,5.8,124,84.8
CA-009,Calaveras County,California,88,3.8,115,84.2
CA-011,Colusa County,California,92.4,4.5,123,87.9
CA-013,Contra Costa County,California,86.8,4.6,122,82.2
CA-015,Del Norte County,California,77.5,4,116,73.5
CA-017,El Dorado County,California,82,3.1,105,78.9
CA-019,Fresno County,California,84.9,4.2,122,80.7
CA-021,Glenn County,California,89.7,3.6,112,86.1
CA-023,Humboldt County,California,79.1,3.8,116,75.3
CA-025,Imperial County,California,101.9,2.3,98,99.6
CA-027,Inyo County,California,90.2,4,117,86.2
CA-029,Kern County,California,91.8,4.9,124,86.9
CA-031,Kings County,California,93.5,4,118,89.5
CA-033,Lake County,California,86.6,3.6,111,83
CA-035,Lassen County,California,78.9,4.5,115,74.4
CA-037,Los Angeles County,California,90.1,7,128,83.1
CA-039,Madera County,California,87,5.1,126,81.9
CA-041,Marin County,California,76.2,4.4,119,71.8
CA-043,Mariposa County,California,85.4,4.3,120,81.1
CA-045,Mendocino County,California,82.2,2.7,106,79.5
CA-047,Merced County,California,91.3,4.7,125,86.6
CA-049,Modoc County,California,79.1,5.4,116,73.7
CA-051,Mono County,California,74.1,3.8,111,70.3
CA-053,Monterey County,California,87.5,4.9,125,82.6
CA-055,Napa County,California,88.5,4.2,121,84.3
CA-057,Nevada County,California,81,3.6,107,77.4
CA-059,Orange County,California,89.4,7.7,129,81.7
CA-061,Placer County,California,82.1,3.3,108,78.8
CA-063,Plumas County,California,79.2,5,116,74.2
CA-065,Riverside County,California,95.9,2.9,108,93
CA-067,Sacramento County,California,92.6,5.2,127,87.4
CA-069,San Benito County,California,87.7,4.7,124,83
CA-071,San Bernardino County,California,95.1,4.1,112,91
CA-073,San Diego County,California,90.1,4.6,122,85.5
CA-075,San Francisco County,California,74.6,3.6,113,71
CA-077,San Joaquin County,California,92.5,6.2,128,86.3
CA-079,San Luis Obispo County,California,88.8,5.9,126,82.9
CA-081,San Mateo County,California,77,3.4,115,73.6
CA-083,Santa Barbara County,California,85.5,7.3,128,78.2
CA-085,Santa Clara County,California,84.9,4.8,126,80.1
CA-087,Santa Cruz County,California,80.6,4.3,120,76.3
CA-089,Shasta County,California,86.4,5.2,115,81.2
CA-091,Sierra County,California,77.1,4,109,73.1
CA-093,Siskiyou County,California,79.1,5.2,114,73.9
CA-095,Solano County,California,89.3,4.5,123,84.8
CA-097,Sonoma County,California,82.1,3.6,113,78.5
CA-099,Stanislaus County,California,90.7,4.8,126,85.9
CA-101,Sutter County,California,93.6,4.9,125,88.7
CA-103,Tehama County,California,88.5,4.5,115,84
CA-105,Trinity County,California,84,5.2,117,78.8
CA-107,Tulare County,California,82.8,3.9,120,78.9
CA-109,Tuolumne County,California,78.2,3.2,108,75.1
CA-111,Ventura County,California,87.2,7.9,129,79.3
CA-113,Yolo County,California,92.5,4.4,122,88.1
CA-115,Yuba County,California,90.9,5.1,123,85.8
