January 2022 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,60.7,6.3,127,54.4
CA-003,Alpine County,California,46.1,7.1,123,39
CA-005,Amador County,California,58.4,6.6,127,51.8
CA-007,Butte County,California,60.4,9.2,128,51.2
CA-009,Calaveras County,California,59.1,6.9,127,52.2
CA-011,Colusa County,California,61.2,7.9,127,53.3
CA-013,Contra Costa County,California,60,6.5,128,53.5
CA-015,Del Norte County,California,53,8.5,127,44.5
CA-017,El Dorado County,California,55.4,7,126,48.4
CA-019,Fresno County,California,54.8,5.9,124,49
CA-021,Glenn County,California,60.4,8.5,127,51.9
CA-023,Humboldt County,California,52,4.7,120,47.3
CA-025,Imperial County,California,71.7,4.8,118,66.9
CA-027,Inyo County,California,56.2,4.1,113,52.1
CA-029,Kern County,California,59,4.4,120,54.6
CA-031,Kings County,California,59.7,5.4,121,54.3
CA-033,Lake County,California,58.4,7.2,127,51.2
CA-035,Lassen County,California,46.1,6.9,120,39.2
CA-037,Los Angeles County,California,63.3,5.6,119,57.7
CA-039,Madera County,California,55.9,6.4,124,49.5
CA-041,Marin County,California,59.4,6,127,53.4
CA-043,Mariposa County,California,55.5,5.6,120,49.9
CA-045,Mendocino County,California,57.6,6.1,125,51.5
CA-047,Merced County,California,60.5,7.1,127,53.4
CA-049,Modoc County,California,46.4,8.4,125,38
CA-051,Mono County,California,45.3,5.9,119,39.4
CA-053,Monterey County,California,63.8,5.4,120,58.4
CA-055,Napa County,California,60.2,6.6,127,53.6
CA-057,Nevada County,California,52.2,5.4,118,46.8
CA-059,Orange County,California,69.7,5.7,119,64
CA-061,Placer County,California,54.1,6.5,125,47.6
CA-063,Plumas County,California,46.6,5.9,121,40.7
CA-065,Riverside County,California,67,5.2,117,61.8
CA-067,Sacramento County,California,60.8,7.2,129,53.6
CA-069,San Benito County,California,61.2,6,121,55.2
CA-071,San Bernardino County,California,61.4,4.4,113,57
CA-073,San Diego County,California,66.4,5.4,118,61
CA-075,San Francisco County,California,59.4,4.8,125,54.6
CA-077,San Joaquin County,California,61.5,8.4,129,53.1
CA-079,San Luis Obispo County,California,63.6,5.6,120,58
CA-081,San Mateo County,California,60.4,4.5,125,55.9
CA-083,Santa Barbara County,California,63.7,5.4,120,58.3
CA-085,Santa Clara County,California,60.9,6.3,127,54.6
CA-087,Santa Cruz County,California,63,5.8,124,57.2
CA-089,Shasta County,California,55.5,8.4,127,47.1
CA-091,Sierra County,California,47,5.7,118,41.3
CA-093,Siskiyou County,California,48.8,8.8,128,40
CA-095,Solano County,California,60.5,6.7,129,53.8
CA-097,Sonoma County,California,60.7,6.4,127,54.3
CA-099,Stanislaus County,California,60.6,7.6,129,53
CA-101,Sutter County,California,61.8,8.2,129,53.6
CA-103,Tehama County,California,59.3,8.9,127,50.4
CA-105,Trinity County,California,52.1,8.2,128,43.9
CA-107,Tulare County,California,53.8,5.7,123,48.1
CA-109,Tuolumne County,California,51.2,5.7,119,45.5
CA-111,Ventura County,California,62.4,5.9,120,56.5
CA-113,Yolo County,California,61.5,7.6,128,53.9
CA-115,Yuba County,California,59.6,7.2,126,52.4
