September 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,77.6,-2.4,23,80
CA-003,Alpine County,California,65,-2.3,32,67.3
CA-005,Amador County,California,79.2,-4.1,16,83.3
CA-007,Butte County,California,83.4,-1.4,38,84.8
CA-009,Calaveras County,California,79.8,-4.4,14,84.2
CA-011,Colusa County,California,84.9,-3,25,87.9
CA-013,Contra Costa County,California,79.4,-2.8,18,82.2
CA-015,Del Norte County,California,72.3,-1.2,39,73.5
CA-017,El Dorado County,California,74.8,-4.1,16,78.9
CA-019,Fresno County,California,77.6,-3.1,17,80.7
CA-021,Glenn County,California,83.7,-2.4,28,86.1
CA-023,Humboldt County,California,74.9,-0.4,46,75.3
CA-025,Imperial County,California,99.6,-0,53,99.6
CA-027,Inyo County,California,83.9,-2.3,27,86.2
CA-029,Kern County,California,84.2,-2.7,19,86.9
CA-031,Kings County,California,87,-2.5,21,89.5
CA-033,Lake County,California,78.7,-4.3,12,83
CA-035,Lassen County,California,71.6,-2.8,29,74.4
CA-037,Los Angeles County,California,78.3,-4.8,7,83.1
CA-039,Madera County,California,78.3,-3.6,15,81.9
CA-041,Marin County,California,69,-2.8,17,71.8
CA-043,Mariposa County,California,78,-3.1,18,81.1
CA-045,Mendocino County,California,75.5,-4,11,79.5
CA-047,Merced County,California,84.1,-2.5,22,86.6
CA-049,Modoc County,California,71.2,-2.5,32,73.7
CA-051,Mono County,California,68.4,-1.9,33,70.3
CA-053,Monterey County,California,79,-3.6,10,82.6
CA-055,Napa County,California,81.1,-3.2,17,84.3
CA-057,Nevada County,California,74.3,-3.1,24,77.4
CA-059,Orange County,California,77.9,-3.8,6,81.7
CA-061,Placer County,California,75.6,-3.2,21,78.8
CA-063,Plumas County,California,71.2,-3,25,74.2
CA-065,Riverside County,California,91.2,-1.8,33,93
CA-067,Sacramento County,California,85.2,-2.2,31,87.4
CA-069,San Benito County,California,80.5,-2.5,21,83
CA-071,San Bernardino County,California,90.1,-0.9,43,91
CA-073,San Diego County,California,83.8,-1.7,29,85.5
CA-075,San Francisco County,California,70,-1,41,71
CA-077,San Joaquin County,California,85.3,-1,40,86.3
CA-079,San Luis Obispo County,California,79.4,-3.5,8,82.9
CA-081,San Mateo County,California,72.8,-0.8,44,73.6
CA-083,Santa Barbara County,California,75.6,-2.6,15,78.2
CA-085,Santa Clara County,California,77.9,-2.2,23,80.1
CA-087,Santa Cruz County,California,75,-1.3,39,76.3
CA-089,Shasta County,California,79.4,-1.8,35,81.2
CA-091,Sierra County,California,69.9,-3.2,23,73.1
CA-093,Siskiyou County,California,71.7,-2.2,33,73.9
CA-095,Solano County,California,82.5,-2.3,26,84.8
CA-097,Sonoma County,California,74.6,-3.9,12,78.5
CA-099,Stanislaus County,California,83.7,-2.2,29,85.9
CA-101,Sutter County,California,86.8,-1.9,31,88.7
CA-103,Tehama County,California,81.7,-2.3,30,84
CA-105,Trinity County,California,76.3,-2.5,30,78.8
CA-107,Tulare County,California,76.3,-2.6,17,78.9
CA-109,Tuolumne County,California,72,-3.1,21,75.1
CA-111,Ventura County,California,74.6,-4.7,5,79.3
CA-113,Yolo County,California,85.8,-2.3,28,88.1
CA-115,Yuba County,California,83.2,-2.6,30,85.8
