April 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,68.1,2.2,91,65.9
CA-003,Alpine County,California,51.2,0.9,78,50.3
CA-005,Amador County,California,67,1.7,86,65.3
CA-007,Butte County,California,69.9,2.3,85,67.6
CA-009,Calaveras County,California,67.4,1.6,82,65.8
CA-011,Colusa County,California,72.3,1.7,77,70.6
CA-013,Contra Costa County,California,69.9,2.1,90,67.8
CA-015,Del Norte County,California,55.5,-1.3,43,56.8
CA-017,El Dorado County,California,61.5,1.2,79,60.3
CA-019,Fresno County,California,65.4,1.7,85,63.7
CA-021,Glenn County,California,69.5,1.6,75,67.9
CA-023,Humboldt County,California,60.6,1,80,59.6
CA-025,Imperial County,California,88.2,3.5,104,84.7
CA-027,Inyo County,California,72.2,2.1,83,70.1
CA-029,Kern County,California,71.8,1.8,86,70
CA-031,Kings County,California,74.7,0.5,73,74.2
CA-033,Lake County,California,64.8,1.5,82,63.3
CA-035,Lassen County,California,55.8,0.1,67,55.7
CA-037,Los Angeles County,California,71,3.4,98,67.6
CA-039,Madera County,California,65.9,1.4,81,64.5
CA-041,Marin County,California,62.3,0.9,77,61.4
CA-043,Mariposa County,California,64.8,1.8,86,63
CA-045,Mendocino County,California,63.4,1.5,88,61.9
CA-047,Merced County,California,72.2,0.7,76,71.5
CA-049,Modoc County,California,55.6,0.4,69,55.2
CA-051,Mono County,California,54.4,1.1,77,53.3
CA-053,Monterey County,California,68.7,1,76,67.7
CA-055,Napa County,California,69.6,2.1,88,67.5
CA-057,Nevada County,California,60.1,1.2,78,58.9
CA-059,Orange County,California,70.1,0.7,67,69.4
CA-061,Placer County,California,61.8,1.2,79,60.6
CA-063,Plumas County,California,56,0.7,71,55.3
CA-065,Riverside County,California,80.6,3.6,101,77
CA-067,Sacramento County,California,73.8,2.1,86,71.7
CA-069,San Benito County,California,67.4,1.3,79,66.1
CA-071,San Bernardino County,California,78.3,3.4,94,74.9
CA-073,San Diego County,California,72.8,2.8,96,70
CA-075,San Francisco County,California,62.4,0,59,62.4
CA-077,San Joaquin County,California,73.5,2.1,86,71.4
CA-079,San Luis Obispo County,California,70.1,2.7,96,67.4
CA-081,San Mateo County,California,62.9,0.1,62,62.8
CA-083,Santa Barbara County,California,66,2.3,93,63.7
CA-085,Santa Clara County,California,66.8,1.7,86,65.1
CA-087,Santa Cruz County,California,66.6,2.1,96,64.5
CA-089,Shasta County,California,64,1.2,75,62.8
CA-091,Sierra County,California,55.8,1.5,77,54.3
CA-093,Siskiyou County,California,56.3,0.7,69,55.6
CA-095,Solano County,California,71.6,1.5,83,70.1
CA-097,Sonoma County,California,65.7,1.4,83,64.3
CA-099,Stanislaus County,California,71.5,1,79,70.5
CA-101,Sutter County,California,75.2,2.7,89,72.5
CA-103,Tehama County,California,66.9,1.7,79,65.2
CA-105,Trinity County,California,60.6,1.3,75,59.3
CA-107,Tulare County,California,63.5,1.8,87,61.7
CA-109,Tuolumne County,California,58.7,1.6,86,57.1
CA-111,Ventura County,California,65.8,2.6,97,63.2
CA-113,Yolo County,California,73.4,1.9,85,71.5
CA-115,Yuba County,California,71.1,2.4,88,68.7
