December 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,60.6,5.4,128,55.2
CA-003,Alpine County,California,45.8,4.9,119,40.9
CA-005,Amador County,California,57.7,4.9,122,52.8
CA-007,Butte County,California,58,5.6,124,52.4
CA-009,Calaveras County,California,58.4,5.3,124,53.1
CA-011,Colusa County,California,59.1,4.8,117,54.3
CA-013,Contra Costa County,California,59.4,4.9,123,54.5
CA-015,Del Norte County,California,50,4.7,126,45.3
CA-017,El Dorado County,California,53.7,4.1,117,49.6
CA-019,Fresno County,California,55.8,5.7,125,50.1
CA-021,Glenn County,California,57.5,4.6,115,52.9
CA-023,Humboldt County,California,52.3,4.4,129,47.9
CA-025,Imperial County,California,72,4.8,120,67.2
CA-027,Inyo County,California,57,4.4,116,52.6
CA-029,Kern County,California,60.7,5.2,123,55.5
CA-031,Kings County,California,62.4,7,127,55.4
CA-033,Lake County,California,54.6,2.8,105,51.8
CA-035,Lassen County,California,44.6,4.4,116,40.2
CA-037,Los Angeles County,California,63,4,113,59
CA-039,Madera County,California,56.8,6,126,50.8
CA-041,Marin County,California,58.8,4.3,123,54.5
CA-043,Mariposa County,California,56.3,5,119,51.3
CA-045,Mendocino County,California,54.8,2.9,111,51.9
CA-047,Merced County,California,61.5,7.4,128,54.1
CA-049,Modoc County,California,44.9,5.4,118,39.5
CA-051,Mono County,California,45.8,4.5,113,41.3
CA-053,Monterey County,California,63.2,3.5,113,59.7
CA-055,Napa County,California,59.2,4.6,122,54.6
CA-057,Nevada County,California,51.3,3.1,110,48.2
CA-059,Orange County,California,69.8,4.2,114,65.6
CA-061,Placer County,California,53.2,4.2,117,49
CA-063,Plumas County,California,45.4,3.5,115,41.9
CA-065,Riverside County,California,67.7,4.8,120,62.9
CA-067,Sacramento County,California,61.4,6.7,128,54.7
CA-069,San Benito County,California,60.8,4.3,118,56.5
CA-071,San Bernardino County,California,62.3,4.7,119,57.6
CA-073,San Diego County,California,67.6,5.1,121,62.5
CA-075,San Francisco County,California,59.4,3.7,120,55.7
CA-077,San Joaquin County,California,62.5,8.4,129,54.1
CA-079,San Luis Obispo County,California,64.1,5.1,124,59
CA-081,San Mateo County,California,60.2,3.4,119,56.8
CA-083,Santa Barbara County,California,64.5,5.1,118,59.4
CA-085,Santa Clara County,California,60.3,4.7,125,55.6
CA-087,Santa Cruz County,California,62.6,4.4,122,58.2
CA-089,Shasta County,California,52.1,4.1,115,48
CA-091,Sierra County,California,46.2,3.5,110,42.7
CA-093,Siskiyou County,California,45.9,5,127,40.9
CA-095,Solano County,California,60.9,6.1,127,54.8
CA-097,Sonoma County,California,58.7,3.6,117,55.1
CA-099,Stanislaus County,California,61.2,7.4,127,53.8
CA-101,Sutter County,California,61.3,6.4,127,54.9
CA-103,Tehama County,California,56.2,4.9,117,51.3
CA-105,Trinity County,California,48,3.8,118,44.2
CA-107,Tulare County,California,54.2,5.4,123,48.8
CA-109,Tuolumne County,California,52.3,5.2,118,47.1
CA-111,Ventura County,California,62.3,4.4,114,57.9
CA-113,Yolo County,California,61,6.1,125,54.9
CA-115,Yuba County,California,58.7,4.8,120,53.9
