November 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,66.9,4,117,62.9
CA-003,Alpine County,California,48.2,1.1,78,47.1
CA-005,Amador County,California,63.1,2.1,92,61
CA-007,Butte County,California,65.1,4.1,111,61
CA-009,Calaveras County,California,64.1,2.7,98,61.4
CA-011,Colusa County,California,66.3,2.9,99,63.4
CA-013,Contra Costa County,California,66.7,3.5,113,63.2
CA-015,Del Norte County,California,54.1,3.4,114,50.7
CA-017,El Dorado County,California,58.3,1.6,84,56.7
CA-019,Fresno County,California,61.6,2.9,100,58.7
CA-021,Glenn County,California,64.8,3.5,103,61.3
CA-023,Humboldt County,California,57.4,3.6,120,53.8
CA-025,Imperial County,California,77.8,1.6,82,76.2
CA-027,Inyo County,California,62.4,0.8,74,61.6
CA-029,Kern County,California,67,2.7,97,64.3
CA-031,Kings County,California,69.7,4,117,65.7
CA-033,Lake County,California,61,2,90,59
CA-035,Lassen County,California,50.1,1.8,90,48.3
CA-037,Los Angeles County,California,67.4,1.3,80,66.1
CA-039,Madera County,California,62.8,3.5,105,59.3
CA-041,Marin County,California,64.4,3.3,112,61.1
CA-043,Mariposa County,California,61.9,2.9,101,59
CA-045,Mendocino County,California,61.1,2.5,101,58.6
CA-047,Merced County,California,67.8,3.7,113,64.1
CA-049,Modoc County,California,50.5,3.1,98,47.4
CA-051,Mono County,California,49.9,0.9,74,49
CA-053,Monterey County,California,69.6,3.1,103,66.5
CA-055,Napa County,California,66,3,100,63
CA-057,Nevada County,California,56.8,1.5,82,55.4
CA-059,Orange County,California,74.4,3.1,102,71.3
CA-061,Placer County,California,58.4,1.8,88,56.6
CA-063,Plumas County,California,51.3,1.7,88,49.6
CA-065,Riverside County,California,73,1.9,86,71.1
CA-067,Sacramento County,California,68.7,3.9,113,64.8
CA-069,San Benito County,California,66.8,3.1,104,63.7
CA-071,San Bernardino County,California,68.1,1.5,82,66.6
CA-073,San Diego County,California,72,2.6,93,69.4
CA-075,San Francisco County,California,65.4,3.6,115,61.8
CA-077,San Joaquin County,California,69.2,5,120,64.2
CA-079,San Luis Obispo County,California,70.7,4.8,115,65.9
CA-081,San Mateo County,California,66.3,3.6,116,62.7
CA-083,Santa Barbara County,California,69.8,4.4,110,65.4
CA-085,Santa Clara County,California,67,4.2,115,62.8
CA-087,Santa Cruz County,California,69.7,5.6,124,64.1
CA-089,Shasta County,California,58.5,2.7,100,55.8
CA-091,Sierra County,California,51.7,1.6,82,50.1
CA-093,Siskiyou County,California,51,3.1,104,47.9
CA-095,Solano County,California,67.9,3.5,110,64.4
CA-097,Sonoma County,California,65.3,3,99,62.3
CA-099,Stanislaus County,California,67.6,4.1,114,63.5
CA-101,Sutter County,California,68.8,3.9,110,64.9
CA-103,Tehama County,California,62.5,3.5,104,59
CA-105,Trinity County,California,55.2,3.6,112,51.6
CA-107,Tulare County,California,60.3,3,101,57.3
CA-109,Tuolumne County,California,56.3,2.3,92,54
CA-111,Ventura County,California,66.9,2.4,86,64.5
CA-113,Yolo County,California,67.9,3.3,102,64.6
CA-115,Yuba County,California,65.9,3.1,104,62.8
