October 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,76.6,3.4,115,73.2
CA-003,Alpine County,California,59.3,2,94,57.3
CA-005,Amador County,California,75.2,2,93,73.2
CA-007,Butte County,California,77,2.6,93,74.4
CA-009,Calaveras County,California,76,2,92,74
CA-011,Colusa County,California,78.6,1.4,83,77.2
CA-013,Contra Costa County,California,77.8,3.2,110,74.6
CA-015,Del Norte County,California,64.8,2,103,62.8
CA-017,El Dorado County,California,70,1.4,85,68.6
CA-019,Fresno County,California,72.2,1.6,90,70.6
CA-021,Glenn County,California,76.6,1.4,83,75.2
CA-023,Humboldt County,California,67.6,2.3,102,65.3
CA-025,Imperial County,California,91.9,3.5,106,88.4
CA-027,Inyo County,California,76,1.5,85,74.5
CA-029,Kern County,California,78.6,2.3,97,76.3
CA-031,Kings County,California,81.2,2,94,79.2
CA-033,Lake County,California,72.7,0.5,72,72.2
CA-035,Lassen County,California,63.5,1.2,82,62.3
CA-037,Los Angeles County,California,77.3,2.6,98,74.7
CA-039,Madera County,California,73.4,1.7,90,71.7
CA-041,Marin County,California,71.3,3.1,110,68.2
CA-043,Mariposa County,California,73.3,2.3,92,71
CA-045,Mendocino County,California,71.1,0.9,79,70.2
CA-047,Merced County,California,79.4,2.3,96,77.1
CA-049,Modoc County,California,63.8,2,93,61.8
CA-051,Mono County,California,61.8,1.7,93,60.1
CA-053,Monterey County,California,79.3,3.6,110,75.7
CA-055,Napa County,California,77.3,2,88,75.3
CA-057,Nevada County,California,68.5,1.1,82,67.4
CA-059,Orange County,California,80.2,3.6,112,76.6
CA-061,Placer County,California,70.1,1.3,84,68.8
CA-063,Plumas County,California,64.1,1.1,82,63
CA-065,Riverside County,California,85.6,3.2,105,82.4
CA-067,Sacramento County,California,80.3,2.4,94,77.9
CA-069,San Benito County,California,78,3.5,108,74.5
CA-071,San Bernardino County,California,82,2.6,93,79.4
CA-073,San Diego County,California,81.2,3.9,111,77.3
CA-075,San Francisco County,California,71.6,3.3,117,68.3
CA-077,San Joaquin County,California,81.3,4.2,115,77.1
CA-079,San Luis Obispo County,California,79.2,4.1,115,75.1
CA-081,San Mateo County,California,73.3,3.6,119,69.7
CA-083,Santa Barbara County,California,76.8,4.6,119,72.2
CA-085,Santa Clara County,California,77.2,4.2,120,73
CA-087,Santa Cruz County,California,77.5,5.7,124,71.8
CA-089,Shasta County,California,71.5,1.8,86,69.7
CA-091,Sierra County,California,63.7,1.2,85,62.5
CA-093,Siskiyou County,California,64,2.2,94,61.8
CA-095,Solano County,California,79.1,2.6,99,76.5
CA-097,Sonoma County,California,74,1.9,90,72.1
CA-099,Stanislaus County,California,79.2,2.6,101,76.6
CA-101,Sutter County,California,81,2.5,97,78.5
CA-103,Tehama County,California,74.5,1.7,86,72.8
CA-105,Trinity County,California,67.7,1.6,80,66.1
CA-107,Tulare County,California,70.4,1.7,92,68.7
CA-109,Tuolumne County,California,67.6,2.4,93,65.2
CA-111,Ventura County,California,75.3,3.5,112,71.8
CA-113,Yolo County,California,79.5,1.4,85,78.1
CA-115,Yuba County,California,77.6,1.9,92,75.7
