July 2023 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,86.3,4,122,82.3
CA-003,Alpine County,California,77.5,2.5,105,75
CA-005,Amador County,California,94.3,3.9,118,90.4
CA-007,Butte County,California,95.6,3.3,114,92.3
CA-009,Calaveras County,California,95,3.8,118,91.2
CA-011,Colusa County,California,97.1,1.7,97,95.4
CA-013,Contra Costa County,California,89.7,4.7,125,85.1
CA-015,Del Norte County,California,82.6,5.1,124,77.6
CA-017,El Dorado County,California,88.9,3.1,109,85.8
CA-019,Fresno County,California,91.1,2.9,113,88.2
CA-021,Glenn County,California,95.2,1.5,93,93.7
CA-023,Humboldt County,California,82.2,3.2,108,79
CA-025,Imperial County,California,112.1,6.2,129,105.9
CA-027,Inyo County,California,100.1,4.5,128,95.6
CA-029,Kern County,California,98.1,3,117,95.1
CA-031,Kings County,California,100,2.4,105,97.6
CA-033,Lake County,California,91.4,2.1,99,89.3
CA-035,Lassen County,California,87.8,4,116,83.8
CA-037,Los Angeles County,California,91.4,3.9,122,87.5
CA-039,Madera County,California,92.2,2.5,110,89.7
CA-041,Marin County,California,73.2,2.3,109,70.9
CA-043,Mariposa County,California,92.4,3.8,119,88.6
CA-045,Mendocino County,California,85.8,2.6,109,83.2
CA-047,Merced County,California,96.5,2.7,112,93.8
CA-049,Modoc County,California,88,5.2,119,82.8
CA-051,Mono County,California,82.3,3.4,116,78.9
CA-053,Monterey County,California,89.2,3.4,122,85.8
CA-055,Napa County,California,91,2.3,109,88.7
CA-057,Nevada County,California,88.2,4,120,84.2
CA-059,Orange County,California,85.5,3.3,120,82.2
CA-061,Placer County,California,89.1,3.4,116,85.7
CA-063,Plumas County,California,85.5,3.6,114,81.9
CA-065,Riverside County,California,104.8,5.5,129,99.3
CA-067,Sacramento County,California,96.9,3.6,115,93.3
CA-069,San Benito County,California,91.8,3.8,122,88
CA-071,San Bernardino County,California,104.8,5.4,129,99.4
CA-073,San Diego County,California,93.5,4.3,127,89.2
CA-075,San Francisco County,California,69.4,0.1,69,69.3
CA-077,San Joaquin County,California,96.8,4.3,121,92.5
CA-079,San Luis Obispo County,California,92.3,5,123,87.3
CA-081,San Mateo County,California,74.5,1.5,105,73
CA-083,Santa Barbara County,California,85.8,5.3,126,80.5
CA-085,Santa Clara County,California,86.6,3.7,124,82.9
CA-087,Santa Cruz County,California,80.3,4.1,123,76.2
CA-089,Shasta County,California,94,4.9,123,89.1
CA-091,Sierra County,California,83.6,3.4,113,80.2
CA-093,Siskiyou County,California,87.4,5.9,125,81.5
CA-095,Solano County,California,92.1,3.3,116,88.8
CA-097,Sonoma County,California,82.5,2.8,116,79.7
CA-099,Stanislaus County,California,95.6,2.8,109,92.8
CA-101,Sutter County,California,99.1,3.2,116,95.9
CA-103,Tehama County,California,94.6,2.8,107,91.8
CA-105,Trinity County,California,90.6,4.7,118,85.9
CA-107,Tulare County,California,90,3.2,119,86.8
CA-109,Tuolumne County,California,85.4,3.4,119,82
CA-111,Ventura County,California,86.7,4,122,82.7
CA-113,Yolo County,California,96.9,2.2,106,94.7
CA-115,Yuba County,California,96.7,3.9,118,92.8
