September 2013 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.54,0.32,110,0.22
CA-003,Alpine County,California,0.89,0.06,88,0.83
CA-005,Amador County,California,1.18,0.63,113,0.55
CA-007,Butte County,California,1.26,0.61,110,0.65
CA-009,Calaveras County,California,0.76,0.29,103,0.47
CA-011,Colusa County,California,1.04,0.77,119,0.27
CA-013,Contra Costa County,California,0.63,0.44,116,0.19
CA-015,Del Norte County,California,5.87,4.09,126,1.78
CA-017,El Dorado County,California,1.72,0.98,114,0.74
CA-019,Fresno County,California,0.16,-0.23,63,0.39
CA-021,Glenn County,California,1.23,0.85,118,0.38
CA-023,Humboldt County,California,3.48,2.41,123,1.07
CA-025,Imperial County,California,0.53,0.26,106,0.27
CA-027,Inyo County,California,0.19,-0.09,72,0.28
CA-029,Kern County,California,0.06,-0.12,72,0.18
CA-031,Kings County,California,0,-0.13,1,0.13
CA-033,Lake County,California,1.17,0.68,111,0.49
CA-035,Lassen County,California,0.52,-0.11,79,0.63
CA-037,Los Angeles County,California,0.01,-0.2,29,0.21
CA-039,Madera County,California,0.28,-0.13,79,0.41
CA-041,Marin County,California,0.66,0.36,107,0.3
CA-043,Mariposa County,California,0.33,-0.19,78,0.52
CA-045,Mendocino County,California,1.7,1.04,111,0.66
CA-047,Merced County,California,0.03,-0.13,60,0.16
CA-049,Modoc County,California,1.28,0.59,109,0.69
CA-051,Mono County,California,0.56,0.03,88,0.53
CA-053,Monterey County,California,0.05,-0.15,70,0.2
CA-055,Napa County,California,0.6,0.31,108,0.29
CA-057,Nevada County,California,1.99,1.19,113,0.8
CA-059,Orange County,California,0.01,-0.19,37,0.2
CA-061,Placer County,California,1.5,0.79,112,0.71
CA-063,Plumas County,California,1.48,0.64,105,0.84
CA-065,Riverside County,California,0.51,0.17,103,0.34
CA-067,Sacramento County,California,0.59,0.37,115,0.22
CA-069,San Benito County,California,0.03,-0.17,56,0.2
CA-071,San Bernardino County,California,0.52,0.18,102,0.34
CA-073,San Diego County,California,0.27,-0.01,91,0.28
CA-075,San Francisco County,California,0.61,0.36,110,0.25
CA-077,San Joaquin County,California,0.44,0.25,113,0.19
CA-079,San Luis Obispo County,California,0,-0.18,1,0.18
CA-081,San Mateo County,California,0.6,0.34,110,0.26
CA-083,Santa Barbara County,California,0,-0.16,1,0.16
CA-085,Santa Clara County,California,0.39,0.15,106,0.24
CA-087,Santa Cruz County,California,0.3,0.02,96,0.28
CA-089,Shasta County,California,1.47,0.6,106,0.87
CA-091,Sierra County,California,2.13,1.26,114,0.87
CA-093,Siskiyou County,California,2.67,1.73,121,0.94
CA-095,Solano County,California,0.58,0.38,114,0.2
CA-097,Sonoma County,California,0.69,0.3,105,0.39
CA-099,Stanislaus County,California,0.16,-0.01,97,0.17
CA-101,Sutter County,California,0.77,0.5,115,0.27
CA-103,Tehama County,California,1.11,0.48,109,0.63
CA-105,Trinity County,California,2.53,1.55,112,0.98
CA-107,Tulare County,California,0.11,-0.26,64,0.37
CA-109,Tuolumne County,California,0.74,-0,88,0.74
CA-111,Ventura County,California,0.02,-0.2,54,0.22
CA-113,Yolo County,California,0.6,0.38,114,0.22
CA-115,Yuba County,California,1.16,0.65,111,0.51
