October 2014 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.47,-0.45,53,0.92
CA-003,Alpine County,California,0.76,-1.08,39,1.84
CA-005,Amador County,California,0.72,-1.08,43,1.8
CA-007,Butte County,California,1.88,-0.51,65,2.39
CA-009,Calaveras County,California,0.68,-1.08,42,1.76
CA-011,Colusa County,California,0.68,-0.43,60,1.11
CA-013,Contra Costa County,California,0.47,-0.41,58,0.88
CA-015,Del Norte County,California,8.17,2.64,102,5.53
CA-017,El Dorado County,California,1.09,-1.25,46,2.34
CA-019,Fresno County,California,0.12,-0.75,27,0.87
CA-021,Glenn County,California,0.49,-0.85,46,1.34
CA-023,Humboldt County,California,7.58,3.57,114,4.01
CA-025,Imperial County,California,0.01,-0.23,27,0.24
CA-027,Inyo County,California,0,-0.32,1,0.32
CA-029,Kern County,California,0.04,-0.33,27,0.37
CA-031,Kings County,California,0.34,-0.02,77,0.36
CA-033,Lake County,California,1.52,-0.76,64,2.28
CA-035,Lassen County,California,1.11,-0.18,68,1.29
CA-037,Los Angeles County,California,0.1,-0.41,38,0.51
CA-039,Madera County,California,0.14,-0.94,28,1.08
CA-041,Marin County,California,0.9,-0.84,52,1.74
CA-043,Mariposa County,California,0.12,-1.44,25,1.56
CA-045,Mendocino County,California,3.19,0.31,82,2.88
CA-047,Merced County,California,0.26,-0.26,59,0.52
CA-049,Modoc County,California,1.9,0.65,100,1.25
CA-051,Mono County,California,0.06,-0.74,15,0.8
CA-053,Monterey County,California,0.57,-0.17,66,0.74
CA-055,Napa County,California,0.84,-0.66,57,1.5
CA-057,Nevada County,California,1.96,-0.79,60,2.75
CA-059,Orange County,California,0.03,-0.45,23,0.48
CA-061,Placer County,California,1.35,-1.14,50,2.49
CA-063,Plumas County,California,1.54,-0.82,59,2.36
CA-065,Riverside County,California,0.01,-0.4,14,0.41
CA-067,Sacramento County,California,0.43,-0.48,51,0.91
CA-069,San Benito County,California,0.25,-0.41,53,0.66
CA-071,San Bernardino County,California,0.03,-0.34,22,0.37
CA-073,San Diego County,California,0,-0.6,1,0.6
CA-075,San Francisco County,California,0.61,-0.59,54,1.2
CA-077,San Joaquin County,California,0.41,-0.28,60,0.69
CA-079,San Luis Obispo County,California,0.29,-0.37,53,0.66
CA-081,San Mateo County,California,0.74,-0.6,59,1.34
CA-083,Santa Barbara County,California,0.36,-0.3,59,0.66
CA-085,Santa Clara County,California,0.75,-0.28,64,1.03
CA-087,Santa Cruz County,California,0.83,-0.6,56,1.43
CA-089,Shasta County,California,3.51,1.01,96,2.5
CA-091,Sierra County,California,2.03,-0.57,64,2.6
CA-093,Siskiyou County,California,4.54,1.93,107,2.61
CA-095,Solano County,California,0.48,-0.45,59,0.93
CA-097,Sonoma County,California,1.05,-1.09,46,2.14
CA-099,Stanislaus County,California,0.51,-0.12,69,0.63
CA-101,Sutter County,California,0.45,-0.57,49,1.02
CA-103,Tehama County,California,2.05,-0.08,78,2.13
CA-105,Trinity County,California,6.07,2.58,105,3.49
CA-107,Tulare County,California,0.06,-0.82,23,0.88
CA-109,Tuolumne County,California,0.35,-1.71,26,2.06
CA-111,Ventura County,California,0.29,-0.32,62,0.61
CA-113,Yolo County,California,0.42,-0.52,56,0.94
CA-115,Yuba County,California,1.55,-0.43,64,1.98
