May 2015 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.37,-0.21,62,0.58
CA-003,Alpine County,California,2.99,1.18,106,1.81
CA-005,Amador County,California,1.39,-0.09,78,1.48
CA-007,Butte County,California,0.29,-1.47,20,1.76
CA-009,Calaveras County,California,1.18,-0.22,72,1.4
CA-011,Colusa County,California,0.08,-0.59,25,0.67
CA-013,Contra Costa County,California,0.2,-0.34,51,0.54
CA-015,Del Norte County,California,0.68,-3.03,12,3.71
CA-017,El Dorado County,California,1.96,-0.04,77,2
CA-019,Fresno County,California,1.02,0.19,92,0.83
CA-021,Glenn County,California,0.25,-0.6,37,0.85
CA-023,Humboldt County,California,0.38,-2.08,14,2.46
CA-025,Imperial County,California,0.32,0.28,129,0.04
CA-027,Inyo County,California,0.73,0.45,120,0.28
CA-029,Kern County,California,0.5,0.21,104,0.3
CA-031,Kings County,California,0.28,-0,81,0.28
CA-033,Lake County,California,0.21,-1.12,29,1.33
CA-035,Lassen County,California,2.72,1.23,113,1.49
CA-037,Los Angeles County,California,0.72,0.4,111,0.32
CA-039,Madera County,California,0.91,-0.07,81,0.98
CA-041,Marin County,California,0.12,-0.78,33,0.9
CA-043,Mariposa County,California,1.26,-0.05,78,1.31
CA-045,Mendocino County,California,0.27,-1.3,22,1.57
CA-047,Merced County,California,0.34,-0.05,77,0.39
CA-049,Modoc County,California,2.72,1.23,117,1.49
CA-051,Mono County,California,2.97,2.06,128,0.91
CA-053,Monterey County,California,0.39,-0.07,78,0.46
CA-055,Napa County,California,0.15,-0.7,40,0.85
CA-057,Nevada County,California,1.46,-0.71,60,2.17
CA-059,Orange County,California,1.01,0.76,123,0.25
CA-061,Placer County,California,1.93,-0.08,75,2.01
CA-063,Plumas County,California,1.89,-0.13,74,2.02
CA-065,Riverside County,California,0.58,0.42,125,0.16
CA-067,Sacramento County,California,0.17,-0.51,40,0.68
CA-069,San Benito County,California,0.68,0.23,96,0.45
CA-071,San Bernardino County,California,0.23,0.07,99,0.16
CA-073,San Diego County,California,1.39,1.05,128,0.34
CA-075,San Francisco County,California,0.11,-0.57,40,0.68
CA-077,San Joaquin County,California,0.15,-0.36,45,0.51
CA-079,San Luis Obispo County,California,0.18,-0.22,70,0.4
CA-081,San Mateo County,California,0.28,-0.51,49,0.79
CA-083,Santa Barbara County,California,0.33,-0.08,87,0.41
CA-085,Santa Clara County,California,0.57,-0.09,75,0.66
CA-087,Santa Cruz County,California,0.29,-0.53,52,0.82
CA-089,Shasta County,California,1.5,-0.53,57,2.03
CA-091,Sierra County,California,2.09,-0.08,74,2.17
CA-093,Siskiyou County,California,2.09,0.12,80,1.97
CA-095,Solano County,California,0.09,-0.46,41,0.55
CA-097,Sonoma County,California,0.18,-0.96,32,1.14
CA-099,Stanislaus County,California,0.23,-0.23,65,0.46
CA-101,Sutter County,California,0.03,-0.62,14,0.65
CA-103,Tehama County,California,0.61,-0.92,40,1.53
CA-105,Trinity County,California,1.23,-0.96,50,2.19
CA-107,Tulare County,California,1.76,0.91,113,0.85
CA-109,Tuolumne County,California,2.7,0.84,102,1.86
CA-111,Ventura County,California,0.61,0.2,98,0.41
CA-113,Yolo County,California,0.1,-0.49,36,0.59
CA-115,Yuba County,California,0.17,-1.26,15,1.43
