March 2016 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,5.25,2.38,112,2.87
CA-003,Alpine County,California,6.74,1.64,96,5.1
CA-005,Amador County,California,7.88,2.27,99,5.61
CA-007,Butte County,California,12.92,6.59,119,6.34
CA-009,Calaveras County,California,8.43,2.85,105,5.58
CA-011,Colusa County,California,6.61,3.57,118,3.04
CA-013,Contra Costa County,California,5.64,2.88,116,2.76
CA-015,Del Norte County,California,13.98,3.94,108,10.04
CA-017,El Dorado County,California,10.64,3.89,105,6.75
CA-019,Fresno County,California,3.34,0.16,84,3.18
CA-021,Glenn County,California,7.06,3.54,116,3.52
CA-023,Humboldt County,California,14.58,6.52,120,8.06
CA-025,Imperial County,California,0.01,-0.36,13,0.37
CA-027,Inyo County,California,0.29,-0.55,37,0.84
CA-029,Kern County,California,1.09,-0.49,60,1.58
CA-031,Kings County,California,1.18,-0.18,66,1.36
CA-033,Lake County,California,14,8.12,124,5.88
CA-035,Lassen County,California,3.62,1.19,108,2.44
CA-037,Los Angeles County,California,1.93,-0.88,63,2.81
CA-039,Madera County,California,4.57,0.73,89,3.84
CA-041,Marin County,California,9.7,4.87,116,4.83
CA-043,Mariposa County,California,7.28,1.96,97,5.32
CA-045,Mendocino County,California,15.39,8.36,121,7.03
CA-047,Merced County,California,3.06,1.17,108,1.89
CA-049,Modoc County,California,2.8,0.77,106,2.03
CA-051,Mono County,California,1.88,-0.16,74,2.04
CA-053,Monterey County,California,4.83,1.53,101,3.3
CA-055,Napa County,California,9.62,5.3,122,4.32
CA-057,Nevada County,California,14.62,7.21,117,7.41
CA-059,Orange County,California,1.21,-1.21,52,2.42
CA-061,Placer County,California,12.08,5.3,113,6.78
CA-063,Plumas County,California,11.99,6.32,120,5.67
CA-065,Riverside County,California,0.37,-0.94,28,1.31
CA-067,Sacramento County,California,5.22,2.41,114,2.81
CA-069,San Benito County,California,4.14,1.33,102,2.81
CA-071,San Bernardino County,California,0.34,-0.62,35,0.96
CA-073,San Diego County,California,1.16,-1.36,36,2.52
CA-075,San Francisco County,California,7.2,3.72,116,3.48
CA-077,San Joaquin County,California,3.75,1.55,111,2.2
CA-079,San Luis Obispo County,California,3.38,0.48,82,2.9
CA-081,San Mateo County,California,8.73,4.4,116,4.33
CA-083,Santa Barbara County,California,2.95,-0.41,70,3.36
CA-085,Santa Clara County,California,7.73,4.02,118,3.71
CA-087,Santa Cruz County,California,10.33,5.3,118,5.03
CA-089,Shasta County,California,11.39,5.87,117,5.52
CA-091,Sierra County,California,13.34,6.87,119,6.47
CA-093,Siskiyou County,California,9.13,4.48,119,4.65
CA-095,Solano County,California,5.91,3.07,117,2.84
CA-097,Sonoma County,California,12.23,6.51,120,5.72
CA-099,Stanislaus County,California,4.07,1.81,112,2.26
CA-101,Sutter County,California,6.8,4.13,126,2.67
CA-103,Tehama County,California,9.8,4.79,119,5.01
CA-105,Trinity County,California,14.97,7.56,117,7.41
CA-107,Tulare County,California,3.17,-0.51,69,3.68
CA-109,Tuolumne County,California,8.84,2.5,98,6.34
CA-111,Ventura County,California,2.78,-0.98,67,3.76
CA-113,Yolo County,California,6.69,3.85,121,2.84
CA-115,Yuba County,California,12.28,6.76,122,5.52
