June 2016 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0,-0.14,1,0.14
CA-003,Alpine County,California,0.05,-0.78,17,0.83
CA-005,Amador County,California,0.01,-0.47,14,0.48
CA-007,Butte County,California,0.52,-0.11,76,0.63
CA-009,Calaveras County,California,0.01,-0.4,17,0.41
CA-011,Colusa County,California,0.13,-0.16,63,0.29
CA-013,Contra Costa County,California,0,-0.13,1,0.13
CA-015,Del Norte County,California,0.61,-0.9,41,1.51
CA-017,El Dorado County,California,0.03,-0.72,17,0.75
CA-019,Fresno County,California,0.25,0.04,94,0.21
CA-021,Glenn County,California,0.45,0.04,83,0.41
CA-023,Humboldt County,California,0.3,-0.59,41,0.89
CA-025,Imperial County,California,0,-0.01,1,0.01
CA-027,Inyo County,California,0.27,0.16,114,0.11
CA-029,Kern County,California,0,-0.06,1,0.06
CA-031,Kings County,California,0.03,-0.01,92,0.04
CA-033,Lake County,California,0.26,-0.15,76,0.41
CA-035,Lassen County,California,0.56,-0.48,55,1.04
CA-037,Los Angeles County,California,0.01,-0.05,43,0.06
CA-039,Madera County,California,0.23,-0.05,83,0.28
CA-041,Marin County,California,0.03,-0.22,53,0.25
CA-043,Mariposa County,California,0.18,-0.22,63,0.4
CA-045,Mendocino County,California,0.46,-0.04,83,0.5
CA-047,Merced County,California,0,-0.07,1,0.07
CA-049,Modoc County,California,0.85,-0.23,71,1.08
CA-051,Mono County,California,0.6,0.1,92,0.5
CA-053,Monterey County,California,0.01,-0.06,37,0.07
CA-055,Napa County,California,0.01,-0.22,35,0.23
CA-057,Nevada County,California,0.15,-0.64,38,0.79
CA-059,Orange County,California,0.02,-0.04,78,0.06
CA-061,Placer County,California,0.08,-0.63,26,0.71
CA-063,Plumas County,California,0.62,-0.31,66,0.93
CA-065,Riverside County,California,0,-0.03,1,0.03
CA-067,Sacramento County,California,0,-0.17,1,0.17
CA-069,San Benito County,California,0,-0.07,1,0.07
CA-071,San Bernardino County,California,0.03,-0.02,80,0.05
CA-073,San Diego County,California,0,-0.06,1,0.06
CA-075,San Francisco County,California,0.01,-0.19,41,0.2
CA-077,San Joaquin County,California,0,-0.11,1,0.11
CA-079,San Luis Obispo County,California,0,-0.04,1,0.04
CA-081,San Mateo County,California,0.01,-0.2,25,0.21
CA-083,Santa Barbara County,California,0,-0.04,1,0.04
CA-085,Santa Clara County,California,0,-0.14,1,0.14
CA-087,Santa Cruz County,California,0,-0.21,1,0.21
CA-089,Shasta County,California,1.67,0.68,96,0.99
CA-091,Sierra County,California,0.25,-0.64,39,0.89
CA-093,Siskiyou County,California,1.15,0.06,82,1.09
CA-095,Solano County,California,0,-0.14,1,0.14
CA-097,Sonoma County,California,0.15,-0.17,80,0.32
CA-099,Stanislaus County,California,0,-0.09,1,0.09
CA-101,Sutter County,California,0.01,-0.2,36,0.21
CA-103,Tehama County,California,1.21,0.5,97,0.71
CA-105,Trinity County,California,0.89,-0.01,79,0.9
CA-107,Tulare County,California,0.15,-0.03,92,0.18
CA-109,Tuolumne County,California,0.2,-0.49,42,0.69
CA-111,Ventura County,California,0,-0.05,1,0.05
CA-113,Yolo County,California,0.01,-0.17,42,0.18
CA-115,Yuba County,California,0.09,-0.36,51,0.45
