December 2017 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.1,-3.12,2,3.22
CA-003,Alpine County,California,0.61,-5.09,7,5.7
CA-005,Amador County,California,0.64,-4.86,5,5.5
CA-007,Butte County,California,0.41,-7.17,3,7.58
CA-009,Calaveras County,California,0.46,-4.85,5,5.31
CA-011,Colusa County,California,0.04,-4.12,2,4.16
CA-013,Contra Costa County,California,0.12,-3.09,2,3.21
CA-015,Del Norte County,California,3.88,-9.52,5,13.4
CA-017,El Dorado County,California,0.87,-6.24,5,7.11
CA-019,Fresno County,California,0.1,-2.88,5,2.98
CA-021,Glenn County,California,0.03,-4.68,2,4.71
CA-023,Humboldt County,California,2.26,-8.91,4,11.17
CA-025,Imperial County,California,0,-0.55,1,0.55
CA-027,Inyo County,California,0.01,-0.77,4,0.78
CA-029,Kern County,California,0.03,-1.3,3,1.33
CA-031,Kings County,California,0.04,-1.05,4,1.09
CA-033,Lake County,California,0.27,-7.88,2,8.15
CA-035,Lassen County,California,0.47,-2.53,7,3
CA-037,Los Angeles County,California,0.01,-2.42,2,2.43
CA-039,Madera County,California,0.16,-3.35,4,3.51
CA-041,Marin County,California,0.09,-6.29,2,6.38
CA-043,Mariposa County,California,0.29,-4.9,5,5.19
CA-045,Mendocino County,California,0.69,-8.71,2,9.4
CA-047,Merced County,California,0.08,-1.7,3,1.78
CA-049,Modoc County,California,0.52,-1.81,7,2.33
CA-051,Mono County,California,0.16,-2.04,7,2.2
CA-053,Monterey County,California,0.13,-3.3,3,3.43
CA-055,Napa County,California,0.11,-5.53,2,5.64
CA-057,Nevada County,California,0.92,-7.12,5,8.04
CA-059,Orange County,California,0.04,-2.05,11,2.09
CA-061,Placer County,California,0.81,-6.51,5,7.32
CA-063,Plumas County,California,0.89,-5.74,5,6.63
CA-065,Riverside County,California,0,-1.23,1,1.23
CA-067,Sacramento County,California,0.16,-2.79,2,2.95
CA-069,San Benito County,California,0.1,-2.71,3,2.81
CA-071,San Bernardino County,California,0,-0.88,1,0.88
CA-073,San Diego County,California,0.04,-2.14,7,2.18
CA-075,San Francisco County,California,0.15,-4.14,3,4.29
CA-077,San Joaquin County,California,0.11,-2.17,3,2.28
CA-079,San Luis Obispo County,California,0.07,-2.77,3,2.84
CA-081,San Mateo County,California,0.13,-4.98,2,5.11
CA-083,Santa Barbara County,California,0.02,-2.87,2,2.89
CA-085,Santa Clara County,California,0.14,-3.97,2,4.11
CA-087,Santa Cruz County,California,0.16,-5.84,2,6
CA-089,Shasta County,California,0.51,-6.16,4,6.67
CA-091,Sierra County,California,0.84,-6.37,6,7.21
CA-093,Siskiyou County,California,1.09,-5.26,4,6.35
CA-095,Solano County,California,0.06,-3.44,2,3.5
CA-097,Sonoma County,California,0.19,-7.37,2,7.56
CA-099,Stanislaus County,California,0.07,-2.15,3,2.22
CA-101,Sutter County,California,0.1,-3.09,2,3.19
CA-103,Tehama County,California,0.33,-5.85,3,6.18
CA-105,Trinity County,California,0.87,-9.18,3,10.05
CA-107,Tulare County,California,0.11,-3.23,5,3.34
CA-109,Tuolumne County,California,0.43,-5.94,5,6.37
CA-111,Ventura County,California,0.01,-3.17,2,3.18
CA-113,Yolo County,California,0.09,-3.53,2,3.62
CA-115,Yuba County,California,0.49,-5.69,4,6.18
