November 2018 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2.71,0.6,93,2.11
CA-003,Alpine County,California,5.16,1.36,94,3.8
CA-005,Amador County,California,6.51,2.52,104,3.99
CA-007,Butte County,California,6.08,0.73,87,5.35
CA-009,Calaveras County,California,7.1,3.28,112,3.82
CA-011,Colusa County,California,3.61,1.07,95,2.54
CA-013,Contra Costa County,California,3.09,1.03,100,2.06
CA-015,Del Norte County,California,5.15,-6.74,22,11.89
CA-017,El Dorado County,California,5.81,0.78,90,5.03
CA-019,Fresno County,California,3.28,1.42,109,1.86
CA-021,Glenn County,California,4.45,1.39,99,3.06
CA-023,Humboldt County,California,6.96,-2.16,62,9.12
CA-025,Imperial County,California,0.02,-0.19,39,0.21
CA-027,Inyo County,California,0.41,-0.07,78,0.48
CA-029,Kern County,California,0.82,0.04,81,0.78
CA-031,Kings County,California,1.27,0.61,112,0.66
CA-033,Lake County,California,5.89,0.75,83,5.14
CA-035,Lassen County,California,1.98,-0.27,70,2.25
CA-037,Los Angeles County,California,1.45,0.16,87,1.29
CA-039,Madera County,California,4.2,1.86,108,2.34
CA-041,Marin County,California,5.19,0.8,85,4.39
CA-043,Mariposa County,California,6.12,2.69,107,3.43
CA-045,Mendocino County,California,6.32,-0.36,74,6.68
CA-047,Merced County,California,2.28,1.1,112,1.18
CA-049,Modoc County,California,1.82,-0.28,68,2.1
CA-051,Mono County,California,2.07,0.59,103,1.48
CA-053,Monterey County,California,3.96,2,114,1.96
CA-055,Napa County,California,4.43,0.89,88,3.54
CA-057,Nevada County,California,7.25,1.3,89,5.95
CA-059,Orange County,California,1.37,0.18,86,1.19
CA-061,Placer County,California,6.3,0.95,88,5.35
CA-063,Plumas County,California,4.39,-0.47,79,4.86
CA-065,Riverside County,California,0.49,-0.15,66,0.64
CA-067,Sacramento County,California,2.99,0.88,96,2.11
CA-069,San Benito County,California,3.51,1.84,115,1.67
CA-071,San Bernardino County,California,0.36,-0.14,63,0.5
CA-073,San Diego County,California,1.59,0.4,94,1.19
CA-075,San Francisco County,California,4.22,1.33,100,2.89
CA-077,San Joaquin County,California,2.51,0.99,106,1.52
CA-079,San Luis Obispo County,California,3,1.47,110,1.53
CA-081,San Mateo County,California,4.06,0.9,93,3.16
CA-083,Santa Barbara County,California,2.29,0.64,97,1.65
CA-085,Santa Clara County,California,4.09,1.63,106,2.47
CA-087,Santa Cruz County,California,5.08,1.51,94,3.57
CA-089,Shasta County,California,6,0.64,83,5.36
CA-091,Sierra County,California,5.56,0.2,85,5.36
CA-093,Siskiyou County,California,3.36,-2.04,47,5.4
CA-095,Solano County,California,3.32,1.1,97,2.22
CA-097,Sonoma County,California,6.08,0.88,85,5.21
CA-099,Stanislaus County,California,2.84,1.38,114,1.46
CA-101,Sutter County,California,2.57,0.33,87,2.24
CA-103,Tehama County,California,5.8,1.26,92,4.54
CA-105,Trinity County,California,6.95,-0.9,73,7.85
CA-107,Tulare County,California,2.16,0.23,82,1.93
CA-109,Tuolumne County,California,7.35,3.02,108,4.33
CA-111,Ventura County,California,1.87,0.18,89,1.69
CA-113,Yolo County,California,3.29,1.05,99,2.24
CA-115,Yuba County,California,5.62,1.05,90,4.57
