April 2018 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2.44,1.1,110,1.34
CA-003,Alpine County,California,3.18,0.37,84,2.81
CA-005,Amador County,California,4.16,1.2,99,2.96
CA-007,Butte County,California,5.39,2.15,107,3.24
CA-009,Calaveras County,California,4.16,1.36,102,2.8
CA-011,Colusa County,California,2.82,1.5,114,1.32
CA-013,Contra Costa County,California,2.39,1.17,110,1.22
CA-015,Del Norte County,California,7.41,1.69,92,5.72
CA-017,El Dorado County,California,4.76,1.14,96,3.62
CA-019,Fresno County,California,1.71,-0.01,77,1.72
CA-021,Glenn County,California,3.33,1.65,111,1.68
CA-023,Humboldt County,California,6.23,1.77,97,4.46
CA-025,Imperial County,California,0.03,-0.07,74,0.1
CA-027,Inyo County,California,0.25,-0.19,60,0.44
CA-029,Kern County,California,0.31,-0.45,42,0.76
CA-031,Kings County,California,0.34,-0.3,53,0.64
CA-033,Lake County,California,5.53,2.65,109,2.88
CA-035,Lassen County,California,3.69,2.18,122,1.51
CA-037,Los Angeles County,California,0.06,-1.06,17,1.12
CA-039,Madera County,California,2.18,0.15,79,2.03
CA-041,Marin County,California,5.04,2.81,115,2.23
CA-043,Mariposa County,California,3.4,0.67,90,2.73
CA-045,Mendocino County,California,7.38,3.95,116,3.43
CA-047,Merced County,California,1.06,0.14,89,0.92
CA-049,Modoc County,California,3.1,1.62,120,1.48
CA-051,Mono County,California,1.45,0.34,91,1.11
CA-053,Monterey County,California,1.24,-0.17,73,1.41
CA-055,Napa County,California,3.1,1.19,106,1.91
CA-057,Nevada County,California,5.49,1.7,101,3.79
CA-059,Orange County,California,0.03,-0.97,11,1
CA-061,Placer County,California,5.05,1.53,103,3.52
CA-063,Plumas County,California,4.47,1.54,103,2.93
CA-065,Riverside County,California,0,-0.53,1,0.53
CA-067,Sacramento County,California,2.67,1.25,110,1.42
CA-069,San Benito County,California,1.04,-0.22,70,1.26
CA-071,San Bernardino County,California,0,-0.38,1,0.38
CA-073,San Diego County,California,0.03,-1.04,7,1.07
CA-075,San Francisco County,California,4.12,2.58,119,1.54
CA-077,San Joaquin County,California,2.13,1.06,108,1.07
CA-079,San Luis Obispo County,California,0.33,-0.94,37,1.27
CA-081,San Mateo County,California,3.13,1.21,107,1.92
CA-083,Santa Barbara County,California,0.19,-1.19,26,1.38
CA-085,Santa Clara County,California,2.68,1.02,106,1.66
CA-087,Santa Cruz County,California,3.17,0.98,102,2.2
CA-089,Shasta County,California,5.39,2.18,108,3.21
CA-091,Sierra County,California,4.53,1.21,100,3.32
CA-093,Siskiyou County,California,3.66,0.95,101,2.71
CA-095,Solano County,California,2.3,1.06,110,1.24
CA-097,Sonoma County,California,6.49,3.77,116,2.72
CA-099,Stanislaus County,California,1.77,0.73,107,1.04
CA-101,Sutter County,California,2.37,1.1,108,1.27
CA-103,Tehama County,California,5.36,2.68,116,2.68
CA-105,Trinity County,California,6.18,2.17,103,4.01
CA-107,Tulare County,California,1.62,-0.42,60,2.04
CA-109,Tuolumne County,California,4.33,0.94,95,3.39
CA-111,Ventura County,California,0.1,-1.33,17,1.43
CA-113,Yolo County,California,2.08,0.84,106,1.24
CA-115,Yuba County,California,4.58,1.8,107,2.78
