February 2018 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.57,-2.77,16,3.34
CA-003,Alpine County,California,1.56,-4.37,18,5.93
CA-005,Amador County,California,1,-5.05,14,6.05
CA-007,Butte County,California,0.62,-6.99,8,7.61
CA-009,Calaveras County,California,0.83,-5.14,12,5.97
CA-011,Colusa County,California,0.19,-3.89,7,4.08
CA-013,Contra Costa County,California,0.6,-2.77,16,3.37
CA-015,Del Norte County,California,2.9,-8.72,10,11.62
CA-017,El Dorado County,California,1.31,-6.28,13,7.59
CA-019,Fresno County,California,0.49,-3.07,10,3.56
CA-021,Glenn County,California,0.08,-4.58,4,4.66
CA-023,Humboldt County,California,3.08,-6.98,13,10.06
CA-025,Imperial County,California,0.03,-0.47,22,0.5
CA-027,Inyo County,California,0.13,-0.94,22,1.07
CA-029,Kern County,California,0.35,-1.46,20,1.81
CA-031,Kings County,California,0.17,-1.33,15,1.5
CA-033,Lake County,California,0.56,-7.15,10,7.71
CA-035,Lassen County,California,0.48,-2.32,8,2.8
CA-037,Los Angeles County,California,0.37,-3.05,21,3.42
CA-039,Madera County,California,0.59,-3.42,12,4.01
CA-041,Marin County,California,0.37,-6.18,6,6.55
CA-043,Mariposa County,California,0.91,-4.88,12,5.79
CA-045,Mendocino County,California,0.89,-7.93,9,8.82
CA-047,Merced County,California,0.37,-1.73,16,2.1
CA-049,Modoc County,California,0.95,-1.26,22,2.21
CA-051,Mono County,California,0.48,-1.94,18,2.42
CA-053,Monterey County,California,0.35,-3.75,12,4.1
CA-055,Napa County,California,0.31,-5.57,7,5.88
CA-057,Nevada County,California,1.35,-7.4,13,8.75
CA-059,Orange County,California,0.32,-2.63,17,2.95
CA-061,Placer County,California,1.36,-6.56,14,7.92
CA-063,Plumas County,California,0.89,-5.84,13,6.73
CA-065,Riverside County,California,0.18,-1.39,16,1.57
CA-067,Sacramento County,California,0.54,-2.95,14,3.49
CA-069,San Benito County,California,0.29,-3.03,10,3.32
CA-071,San Bernardino County,California,0.12,-1.05,19,1.17
CA-073,San Diego County,California,0.64,-2.15,21,2.79
CA-075,San Francisco County,California,0.4,-4.04,8,4.44
CA-077,San Joaquin County,California,0.62,-1.9,18,2.52
CA-079,San Luis Obispo County,California,0.24,-3.35,14,3.59
CA-081,San Mateo County,California,0.47,-4.78,10,5.25
CA-083,Santa Barbara County,California,0.18,-4,11,4.18
CA-085,Santa Clara County,California,0.51,-3.69,11,4.2
CA-087,Santa Cruz County,California,0.36,-5.89,7,6.25
CA-089,Shasta County,California,0.41,-6.34,5,6.75
CA-091,Sierra County,California,1.77,-6,16,7.77
CA-093,Siskiyou County,California,1.22,-4.4,10,5.62
CA-095,Solano County,California,0.29,-3.47,11,3.76
CA-097,Sonoma County,California,0.59,-7.03,9,7.62
CA-099,Stanislaus County,California,0.49,-2.04,14,2.53
CA-101,Sutter County,California,0.43,-3.06,12,3.49
CA-103,Tehama County,California,0.32,-5.7,5,6.02
CA-105,Trinity County,California,1.34,-8.01,8,9.35
CA-107,Tulare County,California,0.77,-3.37,19,4.14
CA-109,Tuolumne County,California,1.07,-5.96,12,7.03
CA-111,Ventura County,California,0.21,-4.33,13,4.54
CA-113,Yolo County,California,0.35,-3.51,12,3.86
CA-115,Yuba County,California,1.1,-5.7,14,6.8
