February 2020 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0,-3.34,1,3.34
CA-003,Alpine County,California,0.25,-5.68,3,5.93
CA-005,Amador County,California,0.06,-5.99,1,6.05
CA-007,Butte County,California,0.04,-7.57,1,7.61
CA-009,Calaveras County,California,0.03,-5.94,1,5.97
CA-011,Colusa County,California,0,-4.08,1,4.08
CA-013,Contra Costa County,California,0,-3.37,1,3.37
CA-015,Del Norte County,California,1.86,-9.76,4,11.62
CA-017,El Dorado County,California,0.11,-7.48,1,7.59
CA-019,Fresno County,California,0.23,-3.33,7,3.56
CA-021,Glenn County,California,0,-4.66,1,4.66
CA-023,Humboldt County,California,1.1,-8.96,4,10.06
CA-025,Imperial County,California,0.46,-0.04,85,0.5
CA-027,Inyo County,California,0.25,-0.82,34,1.07
CA-029,Kern County,California,0.14,-1.67,7,1.81
CA-031,Kings County,California,0.01,-1.49,1,1.5
CA-033,Lake County,California,0.02,-7.69,1,7.71
CA-035,Lassen County,California,0.07,-2.73,1,2.8
CA-037,Los Angeles County,California,0.14,-3.28,12,3.42
CA-039,Madera County,California,0.1,-3.91,3,4.01
CA-041,Marin County,California,0,-6.55,1,6.55
CA-043,Mariposa County,California,0.1,-5.69,1,5.79
CA-045,Mendocino County,California,0.08,-8.74,1,8.82
CA-047,Merced County,California,0,-2.1,1,2.1
CA-049,Modoc County,California,0.3,-1.91,1,2.21
CA-051,Mono County,California,0.13,-2.29,4,2.42
CA-053,Monterey County,California,0.02,-4.08,2,4.1
CA-055,Napa County,California,0.01,-5.87,1,5.88
CA-057,Nevada County,California,0.16,-8.59,1,8.75
CA-059,Orange County,California,0.34,-2.61,18,2.95
CA-061,Placer County,California,0.13,-7.79,1,7.92
CA-063,Plumas County,California,0.05,-6.68,1,6.73
CA-065,Riverside County,California,0.25,-1.32,24,1.57
CA-067,Sacramento County,California,0,-3.49,1,3.49
CA-069,San Benito County,California,0.02,-3.3,1,3.32
CA-071,San Bernardino County,California,0.23,-0.94,30,1.17
CA-073,San Diego County,California,0.71,-2.08,24,2.79
CA-075,San Francisco County,California,0,-4.44,1,4.44
CA-077,San Joaquin County,California,0,-2.52,1,2.52
CA-079,San Luis Obispo County,California,0.01,-3.58,1,3.59
CA-081,San Mateo County,California,0,-5.25,1,5.25
CA-083,Santa Barbara County,California,0.03,-4.15,2,4.18
CA-085,Santa Clara County,California,0,-4.2,1,4.2
CA-087,Santa Cruz County,California,0.02,-6.23,1,6.25
CA-089,Shasta County,California,0.03,-6.72,1,6.75
CA-091,Sierra County,California,0.23,-7.54,1,7.77
CA-093,Siskiyou County,California,0.43,-5.19,3,5.62
CA-095,Solano County,California,0,-3.76,1,3.76
CA-097,Sonoma County,California,0.01,-7.61,1,7.62
CA-099,Stanislaus County,California,0,-2.53,1,2.53
CA-101,Sutter County,California,0.01,-3.48,2,3.49
CA-103,Tehama County,California,0.02,-6,1,6.02
CA-105,Trinity County,California,0.28,-9.07,2,9.35
CA-107,Tulare County,California,0.35,-3.79,6,4.14
CA-109,Tuolumne County,California,0.12,-6.91,1,7.03
CA-111,Ventura County,California,0.12,-4.42,7,4.54
CA-113,Yolo County,California,0,-3.86,1,3.86
CA-115,Yuba County,California,0.12,-6.68,2,6.8
