April 2020 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,1.54,0.2,84,1.34
CA-003,Alpine County,California,3.12,0.31,83,2.81
CA-005,Amador County,California,3.43,0.47,87,2.96
CA-007,Butte County,California,1.92,-1.32,45,3.24
CA-009,Calaveras County,California,2.97,0.17,79,2.8
CA-011,Colusa County,California,0.77,-0.55,53,1.32
CA-013,Contra Costa County,California,1.18,-0.04,74,1.22
CA-015,Del Norte County,California,2.9,-2.82,25,5.72
CA-017,El Dorado County,California,3.9,0.28,85,3.62
CA-019,Fresno County,California,2.76,1.04,104,1.72
CA-021,Glenn County,California,0.62,-1.06,38,1.68
CA-023,Humboldt County,California,2.59,-1.87,36,4.46
CA-025,Imperial County,California,0.38,0.28,122,0.1
CA-027,Inyo County,California,0.96,0.52,115,0.44
CA-029,Kern County,California,2.25,1.49,124,0.76
CA-031,Kings County,California,1.29,0.65,113,0.64
CA-033,Lake County,California,1.41,-1.47,44,2.88
CA-035,Lassen County,California,0.91,-0.6,39,1.51
CA-037,Los Angeles County,California,3.81,2.69,124,1.12
CA-039,Madera County,California,3.09,1.06,102,2.03
CA-041,Marin County,California,1.47,-0.76,56,2.23
CA-043,Mariposa County,California,3.45,0.72,91,2.73
CA-045,Mendocino County,California,1.57,-1.86,37,3.43
CA-047,Merced County,California,1.14,0.22,91,0.92
CA-049,Modoc County,California,0.67,-0.81,21,1.48
CA-051,Mono County,California,1.86,0.75,103,1.11
CA-053,Monterey County,California,2.49,1.08,109,1.41
CA-055,Napa County,California,1.16,-0.75,57,1.91
CA-057,Nevada County,California,3.85,0.06,80,3.79
CA-059,Orange County,California,3.39,2.39,124,1
CA-061,Placer County,California,3.52,0,78,3.52
CA-063,Plumas County,California,2.37,-0.56,60,2.93
CA-065,Riverside County,California,1.9,1.37,126,0.53
CA-067,Sacramento County,California,1.9,0.48,97,1.42
CA-069,San Benito County,California,1.97,0.71,105,1.26
CA-071,San Bernardino County,California,1.33,0.95,126,0.38
CA-073,San Diego County,California,3.37,2.3,125,1.07
CA-075,San Francisco County,California,1.18,-0.36,64,1.54
CA-077,San Joaquin County,California,1.17,0.1,81,1.07
CA-079,San Luis Obispo County,California,2.58,1.31,112,1.27
CA-081,San Mateo County,California,1.94,0.02,76,1.92
CA-083,Santa Barbara County,California,3.58,2.2,118,1.38
CA-085,Santa Clara County,California,2.32,0.66,99,1.66
CA-087,Santa Cruz County,California,3.02,0.83,100,2.2
CA-089,Shasta County,California,1.48,-1.73,32,3.21
CA-091,Sierra County,California,3,-0.32,67,3.32
CA-093,Siskiyou County,California,0.93,-1.78,18,2.71
CA-095,Solano County,California,0.93,-0.31,63,1.24
CA-097,Sonoma County,California,1.31,-1.41,44,2.72
CA-099,Stanislaus County,California,1.22,0.18,88,1.04
CA-101,Sutter County,California,0.85,-0.42,58,1.27
CA-103,Tehama County,California,1.12,-1.56,32,2.68
CA-105,Trinity County,California,2.71,-1.3,49,4.01
CA-107,Tulare County,California,3.74,1.7,112,2.04
CA-109,Tuolumne County,California,4.14,0.75,87,3.39
CA-111,Ventura County,California,4.22,2.79,122,1.43
CA-113,Yolo County,California,0.89,-0.35,65,1.24
CA-115,Yuba County,California,2.37,-0.41,66,2.78
