January 2021 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,3.15,-0.82,62,3.97
CA-003,Alpine County,California,6.12,-0.48,77,6.6
CA-005,Amador County,California,6.55,-0.15,79,6.7
CA-007,Butte County,California,5.03,-3.7,40,8.73
CA-009,Calaveras County,California,7.38,0.72,84,6.66
CA-011,Colusa County,California,2.93,-1.53,45,4.46
CA-013,Contra Costa County,California,2.54,-1.55,44,4.09
CA-015,Del Norte County,California,19.43,5.53,107,13.9
CA-017,El Dorado County,California,6.35,-2.08,58,8.43
CA-019,Fresno County,California,3.97,0.22,83,3.75
CA-021,Glenn County,California,3.4,-1.76,48,5.16
CA-023,Humboldt County,California,11.38,-0.28,67,11.66
CA-025,Imperial County,California,1.24,0.71,114,0.53
CA-027,Inyo County,California,0.66,-0.37,57,1.03
CA-029,Kern County,California,1.27,-0.49,57,1.76
CA-031,Kings County,California,2.36,0.83,101,1.53
CA-033,Lake County,California,6.07,-2.98,47,9.05
CA-035,Lassen County,California,2.64,-0.69,68,3.33
CA-037,Los Angeles County,California,2.01,-1.28,59,3.29
CA-039,Madera County,California,4.19,-0.25,75,4.44
CA-041,Marin County,California,4.1,-3.69,39,7.79
CA-043,Mariposa County,California,5.03,-1.34,62,6.37
CA-045,Mendocino County,California,7.81,-2.66,53,10.47
CA-047,Merced County,California,3.52,1.26,107,2.26
CA-049,Modoc County,California,1.6,-1.1,41,2.7
CA-051,Mono County,California,2.42,-0.22,77,2.64
CA-053,Monterey County,California,7.68,3.29,112,4.39
CA-055,Napa County,California,4.3,-2.57,49,6.87
CA-057,Nevada County,California,6.71,-2.9,57,9.61
CA-059,Orange County,California,1.87,-0.99,63,2.86
CA-061,Placer County,California,5.65,-3.06,54,8.71
CA-063,Plumas County,California,4.82,-2.94,49,7.76
CA-065,Riverside County,California,1.32,-0.22,75,1.54
CA-067,Sacramento County,California,2.85,-1.05,51,3.9
CA-069,San Benito County,California,5.66,2.21,110,3.45
CA-071,San Bernardino County,California,0.85,-0.32,65,1.17
CA-073,San Diego County,California,2.36,-0.38,69,2.74
CA-075,San Francisco County,California,3.2,-2.07,44,5.27
CA-077,San Joaquin County,California,3.06,0.13,76,2.93
CA-079,San Luis Obispo County,California,6.16,2.45,106,3.71
CA-081,San Mateo County,California,3.89,-2.31,46,6.2
CA-083,Santa Barbara County,California,5.63,1.56,102,4.07
CA-085,Santa Clara County,California,4.71,-0.13,72,4.84
CA-087,Santa Cruz County,California,7.42,0.23,81,7.19
CA-089,Shasta County,California,5.55,-2.07,52,7.62
CA-091,Sierra County,California,5.47,-3.1,50,8.57
CA-093,Siskiyou County,California,5.55,-1.19,60,6.74
CA-095,Solano County,California,2.96,-1.41,51,4.37
CA-097,Sonoma County,California,5.44,-3.68,43,9.12
CA-099,Stanislaus County,California,3.81,1.05,96,2.76
CA-101,Sutter County,California,2.19,-1.74,38,3.93
CA-103,Tehama County,California,4.46,-2.4,47,6.86
CA-105,Trinity County,California,9.14,-1.63,60,10.77
CA-107,Tulare County,California,3.06,-1.06,59,4.12
CA-109,Tuolumne County,California,7.48,-0.2,80,7.68
CA-111,Ventura County,California,2.4,-2.04,54,4.44
CA-113,Yolo County,California,3.12,-1.13,55,4.25
CA-115,Yuba County,California,4.48,-2.95,43,7.43
