October 2021 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,5.04,4.13,129,0.92
CA-003,Alpine County,California,8.35,6.51,128,1.84
CA-005,Amador County,California,8.82,7.02,129,1.8
CA-007,Butte County,California,8.93,6.54,126,2.39
CA-009,Calaveras County,California,8.19,6.43,129,1.76
CA-011,Colusa County,California,5.59,4.48,128,1.11
CA-013,Contra Costa County,California,5.03,4.15,129,0.88
CA-015,Del Norte County,California,9.08,3.55,112,5.53
CA-017,El Dorado County,California,11.09,8.75,129,2.34
CA-019,Fresno County,California,2.48,1.61,119,0.87
CA-021,Glenn County,California,6.14,4.8,128,1.34
CA-023,Humboldt County,California,7.12,3.11,107,4.01
CA-025,Imperial County,California,0.05,-0.19,62,0.24
CA-027,Inyo County,California,0.42,0.1,92,0.32
CA-029,Kern County,California,0.92,0.55,110,0.37
CA-031,Kings County,California,0.82,0.46,112,0.36
CA-033,Lake County,California,10.09,7.81,128,2.28
CA-035,Lassen County,California,4.13,2.84,127,1.29
CA-037,Los Angeles County,California,0.79,0.28,100,0.51
CA-039,Madera County,California,3.05,1.97,122,1.08
CA-041,Marin County,California,8.78,7.04,128,1.74
CA-043,Mariposa County,California,4.88,3.32,126,1.56
CA-045,Mendocino County,California,10.66,7.78,127,2.88
CA-047,Merced County,California,1.48,0.96,121,0.52
CA-049,Modoc County,California,2.89,1.64,124,1.25
CA-051,Mono County,California,3.15,2.35,127,0.8
CA-053,Monterey County,California,2.35,1.61,122,0.74
CA-055,Napa County,California,7.99,6.49,128,1.5
CA-057,Nevada County,California,13.47,10.72,128,2.75
CA-059,Orange County,California,0.54,0.06,90,0.48
CA-061,Placer County,California,12.55,10.06,128,2.49
CA-063,Plumas County,California,10.52,8.16,127,2.36
CA-065,Riverside County,California,0.33,-0.08,80,0.41
CA-067,Sacramento County,California,5.04,4.13,129,0.91
CA-069,San Benito County,California,2,1.34,123,0.66
CA-071,San Bernardino County,California,0.35,-0.02,81,0.37
CA-073,San Diego County,California,0.97,0.37,103,0.6
CA-075,San Francisco County,California,6.44,5.24,128,1.2
CA-077,San Joaquin County,California,3.96,3.27,129,0.69
CA-079,San Luis Obispo County,California,1.92,1.26,119,0.66
CA-081,San Mateo County,California,5.89,4.55,127,1.34
CA-083,Santa Barbara County,California,1.58,0.92,115,0.66
CA-085,Santa Clara County,California,4.62,3.59,128,1.03
CA-087,Santa Cruz County,California,5.99,4.57,128,1.43
CA-089,Shasta County,California,7.99,5.49,125,2.5
CA-091,Sierra County,California,12.4,9.8,128,2.6
CA-093,Siskiyou County,California,5.48,2.87,118,2.61
CA-095,Solano County,California,5.28,4.35,128,0.93
CA-097,Sonoma County,California,10.17,8.03,129,2.14
CA-099,Stanislaus County,California,2.76,2.13,128,0.63
CA-101,Sutter County,California,4.85,3.83,128,1.02
CA-103,Tehama County,California,7.73,5.6,128,2.13
CA-105,Trinity County,California,8.26,4.77,119,3.49
CA-107,Tulare County,California,2.83,1.95,125,0.88
CA-109,Tuolumne County,California,7.66,5.6,127,2.06
CA-111,Ventura County,California,1.29,0.68,107,0.61
CA-113,Yolo County,California,5.24,4.3,128,0.94
CA-115,Yuba County,California,8.7,6.72,128,1.98
