March 2021 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,1.36,-1.51,33,2.87
CA-003,Alpine County,California,2.98,-2.12,46,5.1
CA-005,Amador County,California,3.28,-2.33,44,5.61
CA-007,Butte County,California,4.22,-2.12,47,6.34
CA-009,Calaveras County,California,3.25,-2.33,40,5.58
CA-011,Colusa County,California,1.52,-1.52,35,3.04
CA-013,Contra Costa County,California,1.12,-1.64,25,2.76
CA-015,Del Norte County,California,7.03,-3.01,44,10.04
CA-017,El Dorado County,California,3.56,-3.19,34,6.75
CA-019,Fresno County,California,2.01,-1.17,51,3.18
CA-021,Glenn County,California,1.91,-1.61,46,3.52
CA-023,Humboldt County,California,5.85,-2.21,48,8.06
CA-025,Imperial County,California,0.06,-0.31,35,0.37
CA-027,Inyo County,California,0.28,-0.56,34,0.84
CA-029,Kern County,California,0.76,-0.82,41,1.58
CA-031,Kings County,California,0.78,-0.58,47,1.36
CA-033,Lake County,California,3.29,-2.59,44,5.88
CA-035,Lassen County,California,1.5,-0.94,39,2.44
CA-037,Los Angeles County,California,1.07,-1.74,40,2.81
CA-039,Madera County,California,1.73,-2.11,31,3.84
CA-041,Marin County,California,2.18,-2.65,32,4.83
CA-043,Mariposa County,California,2.29,-3.03,28,5.32
CA-045,Mendocino County,California,3.76,-3.27,36,7.03
CA-047,Merced County,California,0.88,-1.01,35,1.89
CA-049,Modoc County,California,1.02,-1.01,20,2.03
CA-051,Mono County,California,0.92,-1.12,34,2.04
CA-053,Monterey County,California,1.71,-1.59,40,3.3
CA-055,Napa County,California,2.19,-2.13,33,4.32
CA-057,Nevada County,California,3.71,-3.7,32,7.41
CA-059,Orange County,California,1.53,-0.89,61,2.42
CA-061,Placer County,California,3.45,-3.33,32,6.78
CA-063,Plumas County,California,3.3,-2.37,37,5.67
CA-065,Riverside County,California,0.61,-0.7,47,1.31
CA-067,Sacramento County,California,1.31,-1.5,28,2.81
CA-069,San Benito County,California,1.41,-1.4,41,2.81
CA-071,San Bernardino County,California,0.3,-0.66,26,0.96
CA-073,San Diego County,California,2.33,-0.19,84,2.52
CA-075,San Francisco County,California,1.85,-1.63,37,3.48
CA-077,San Joaquin County,California,0.98,-1.22,29,2.2
CA-079,San Luis Obispo County,California,1.17,-1.73,36,2.9
CA-081,San Mateo County,California,1.94,-2.39,31,4.33
CA-083,Santa Barbara County,California,1.23,-2.13,39,3.36
CA-085,Santa Clara County,California,2.04,-1.67,39,3.71
CA-087,Santa Cruz County,California,2.84,-2.19,43,5.03
CA-089,Shasta County,California,3.4,-2.12,39,5.52
CA-091,Sierra County,California,3.18,-3.29,31,6.47
CA-093,Siskiyou County,California,2.61,-2.04,31,4.65
CA-095,Solano County,California,1.24,-1.6,27,2.84
CA-097,Sonoma County,California,3.07,-2.65,38,5.72
CA-099,Stanislaus County,California,1.1,-1.16,36,2.26
CA-101,Sutter County,California,1.49,-1.18,36,2.67
CA-103,Tehama County,California,3.41,-1.6,51,5.01
CA-105,Trinity County,California,4.21,-3.2,38,7.41
CA-107,Tulare County,California,1.81,-1.87,41,3.68
CA-109,Tuolumne County,California,3.25,-3.09,33,6.34
CA-111,Ventura County,California,1.12,-2.64,35,3.76
CA-113,Yolo County,California,1.29,-1.55,30,2.84
CA-115,Yuba County,California,3.31,-2.21,41,5.52
