May 2021 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.01,-0.57,9,0.58
CA-003,Alpine County,California,0.99,-0.82,48,1.81
CA-005,Amador County,California,0.23,-1.25,16,1.48
CA-007,Butte County,California,0.05,-1.71,4,1.76
CA-009,Calaveras County,California,0.16,-1.24,16,1.4
CA-011,Colusa County,California,0,-0.67,1,0.67
CA-013,Contra Costa County,California,0.01,-0.53,9,0.54
CA-015,Del Norte County,California,0.68,-3.03,12,3.71
CA-017,El Dorado County,California,0.43,-1.57,17,2
CA-019,Fresno County,California,0.04,-0.79,7,0.83
CA-021,Glenn County,California,0.02,-0.83,4,0.85
CA-023,Humboldt County,California,0.35,-2.11,13,2.46
CA-025,Imperial County,California,0,-0.04,1,0.04
CA-027,Inyo County,California,0.01,-0.27,5,0.28
CA-029,Kern County,California,0,-0.3,1,0.3
CA-031,Kings County,California,0,-0.28,1,0.28
CA-033,Lake County,California,0.01,-1.32,3,1.33
CA-035,Lassen County,California,0.33,-1.16,11,1.49
CA-037,Los Angeles County,California,0.02,-0.3,13,0.32
CA-039,Madera County,California,0.13,-0.85,13,0.98
CA-041,Marin County,California,0,-0.9,1,0.9
CA-043,Mariposa County,California,0.18,-1.13,11,1.31
CA-045,Mendocino County,California,0.05,-1.52,3,1.57
CA-047,Merced County,California,0,-0.39,1,0.39
CA-049,Modoc County,California,0.39,-1.1,9,1.49
CA-051,Mono County,California,0.45,-0.46,38,0.91
CA-053,Monterey County,California,0.01,-0.45,11,0.46
CA-055,Napa County,California,0.01,-0.84,5,0.85
CA-057,Nevada County,California,0.43,-1.74,17,2.17
CA-059,Orange County,California,0.07,-0.18,46,0.25
CA-061,Placer County,California,0.51,-1.5,20,2.01
CA-063,Plumas County,California,0.27,-1.75,9,2.02
CA-065,Riverside County,California,0,-0.16,1,0.16
CA-067,Sacramento County,California,0.01,-0.67,4,0.68
CA-069,San Benito County,California,0,-0.45,1,0.45
CA-071,San Bernardino County,California,0.01,-0.15,12,0.16
CA-073,San Diego County,California,0.05,-0.29,28,0.34
CA-075,San Francisco County,California,0.01,-0.67,9,0.68
CA-077,San Joaquin County,California,0,-0.51,1,0.51
CA-079,San Luis Obispo County,California,0.01,-0.39,15,0.4
CA-081,San Mateo County,California,0.01,-0.78,7,0.79
CA-083,Santa Barbara County,California,0.01,-0.4,12,0.41
CA-085,Santa Clara County,California,0,-0.66,1,0.66
CA-087,Santa Cruz County,California,0.01,-0.81,6,0.82
CA-089,Shasta County,California,0.16,-1.87,6,2.03
CA-091,Sierra County,California,0.55,-1.62,17,2.17
CA-093,Siskiyou County,California,0.25,-1.72,4,1.97
CA-095,Solano County,California,0,-0.55,1,0.55
CA-097,Sonoma County,California,0.02,-1.12,7,1.14
CA-099,Stanislaus County,California,0,-0.46,1,0.46
CA-101,Sutter County,California,0,-0.65,1,0.65
CA-103,Tehama County,California,0.15,-1.38,11,1.53
CA-105,Trinity County,California,0.15,-2.04,5,2.19
CA-107,Tulare County,California,0.08,-0.77,16,0.85
CA-109,Tuolumne County,California,0.49,-1.37,21,1.86
CA-111,Ventura County,California,0.01,-0.4,7,0.41
CA-113,Yolo County,California,0,-0.59,1,0.59
CA-115,Yuba County,California,0.08,-1.35,10,1.43
