August 2022 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0,-0.03,1,0.03
CA-003,Alpine County,California,1.33,0.89,121,0.44
CA-005,Amador County,California,0.16,0.09,113,0.07
CA-007,Butte County,California,0.01,-0.09,47,0.1
CA-009,Calaveras County,California,0.17,0.12,118,0.05
CA-011,Colusa County,California,0.01,-0.03,90,0.04
CA-013,Contra Costa County,California,0,-0.03,1,0.03
CA-015,Del Norte County,California,0.04,-0.48,36,0.52
CA-017,El Dorado County,California,0.21,0.07,103,0.14
CA-019,Fresno County,California,0.37,0.24,117,0.13
CA-021,Glenn County,California,0.03,-0.04,88,0.07
CA-023,Humboldt County,California,0.03,-0.26,42,0.29
CA-025,Imperial County,California,0.66,0.27,108,0.39
CA-027,Inyo County,California,1.24,0.91,124,0.33
CA-029,Kern County,California,0.08,0,96,0.08
CA-031,Kings County,California,0.01,0,106,0.01
CA-033,Lake County,California,0.05,-0.06,92,0.11
CA-035,Lassen County,California,0.17,-0.13,62,0.3
CA-037,Los Angeles County,California,0.01,-0.06,41,0.07
CA-039,Madera County,California,0.33,0.22,117,0.11
CA-041,Marin County,California,0.04,-0.07,90,0.11
CA-043,Mariposa County,California,0.23,0.14,110,0.09
CA-045,Mendocino County,California,0.05,-0.08,82,0.13
CA-047,Merced County,California,0.02,0.01,108,0.01
CA-049,Modoc County,California,0.33,-0.01,81,0.34
CA-051,Mono County,California,2,1.5,128,0.5
CA-053,Monterey County,California,0.03,0.01,108,0.02
CA-055,Napa County,California,0.08,0.01,106,0.07
CA-057,Nevada County,California,0.21,0.02,94,0.19
CA-059,Orange County,California,0.02,-0.03,82,0.05
CA-061,Placer County,California,0.24,0.09,101,0.15
CA-063,Plumas County,California,0.1,-0.17,60,0.27
CA-065,Riverside County,California,0.82,0.35,106,0.47
CA-067,Sacramento County,California,0,-0.02,1,0.02
CA-069,San Benito County,California,0.02,0,106,0.02
CA-071,San Bernardino County,California,0.98,0.45,108,0.53
CA-073,San Diego County,California,0.24,-0.08,72,0.32
CA-075,San Francisco County,California,0.01,-0.06,50,0.07
CA-077,San Joaquin County,California,0,-0.02,1,0.02
CA-079,San Luis Obispo County,California,0,-0.02,1,0.02
CA-081,San Mateo County,California,0.03,-0.03,91,0.06
CA-083,Santa Barbara County,California,0,-0.03,1,0.03
CA-085,Santa Clara County,California,0.01,-0.04,76,0.05
CA-087,Santa Cruz County,California,0.02,-0.03,82,0.05
CA-089,Shasta County,California,0.02,-0.23,34,0.25
CA-091,Sierra County,California,0.26,-0.02,86,0.28
CA-093,Siskiyou County,California,0.18,-0.19,63,0.37
CA-095,Solano County,California,0.02,-0.01,100,0.03
CA-097,Sonoma County,California,0.13,0.06,113,0.07
CA-099,Stanislaus County,California,0.02,0.01,107,0.01
CA-101,Sutter County,California,0,-0.03,1,0.03
CA-103,Tehama County,California,0.02,-0.14,53,0.16
CA-105,Trinity County,California,0.06,-0.24,59,0.3
CA-107,Tulare County,California,0.37,0.2,111,0.17
CA-109,Tuolumne County,California,0.7,0.51,120,0.19
CA-111,Ventura County,California,0,-0.05,1,0.05
CA-113,Yolo County,California,0,-0.02,1,0.02
CA-115,Yuba County,California,0.03,-0.04,89,0.07
