November 2022 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2.03,-0.08,73,2.11
CA-003,Alpine County,California,4.03,0.23,83,3.8
CA-005,Amador County,California,3.65,-0.34,75,3.99
CA-007,Butte County,California,3.66,-1.69,57,5.35
CA-009,Calaveras County,California,3.21,-0.61,67,3.82
CA-011,Colusa County,California,1.83,-0.71,62,2.54
CA-013,Contra Costa County,California,1.56,-0.5,62,2.06
CA-015,Del Norte County,California,6.06,-5.83,27,11.89
CA-017,El Dorado County,California,4.65,-0.38,80,5.03
CA-019,Fresno County,California,1.66,-0.2,66,1.86
CA-021,Glenn County,California,2.12,-0.94,62,3.06
CA-023,Humboldt County,California,6.89,-2.23,60,9.12
CA-025,Imperial County,California,0.05,-0.16,59,0.21
CA-027,Inyo County,California,0.44,-0.04,83,0.48
CA-029,Kern County,California,1,0.22,91,0.78
CA-031,Kings County,California,0.52,-0.14,70,0.66
CA-033,Lake County,California,2.71,-2.43,49,5.14
CA-035,Lassen County,California,1.3,-0.95,44,2.25
CA-037,Los Angeles County,California,1.95,0.66,98,1.29
CA-039,Madera County,California,1.95,-0.39,67,2.34
CA-041,Marin County,California,1.87,-2.52,39,4.39
CA-043,Mariposa County,California,3.03,-0.4,67,3.43
CA-045,Mendocino County,California,4.48,-2.2,57,6.68
CA-047,Merced County,California,1.15,-0.03,76,1.18
CA-049,Modoc County,California,2,-0.1,76,2.1
CA-051,Mono County,California,1.57,0.09,85,1.48
CA-053,Monterey County,California,2.08,0.12,82,1.96
CA-055,Napa County,California,1.5,-2.04,40,3.54
CA-057,Nevada County,California,4.68,-1.27,63,5.95
CA-059,Orange County,California,1.79,0.6,102,1.19
CA-061,Placer County,California,4.2,-1.15,66,5.35
CA-063,Plumas County,California,3.41,-1.45,60,4.86
CA-065,Riverside County,California,0.66,0.02,81,0.64
CA-067,Sacramento County,California,1.45,-0.66,58,2.11
CA-069,San Benito County,California,2.04,0.37,86,1.67
CA-071,San Bernardino County,California,0.62,0.12,91,0.5
CA-073,San Diego County,California,1.89,0.7,107,1.19
CA-075,San Francisco County,California,1.78,-1.11,51,2.89
CA-077,San Joaquin County,California,1.27,-0.25,69,1.52
CA-079,San Luis Obispo County,California,1.22,-0.31,68,1.53
CA-081,San Mateo County,California,2.43,-0.73,63,3.16
CA-083,Santa Barbara County,California,1.61,-0.04,79,1.65
CA-085,Santa Clara County,California,2.58,0.12,80,2.47
CA-087,Santa Cruz County,California,3.51,-0.06,74,3.57
CA-089,Shasta County,California,3.26,-2.1,48,5.36
CA-091,Sierra County,California,4,-1.36,64,5.36
CA-093,Siskiyou County,California,3.39,-2.01,48,5.4
CA-095,Solano County,California,1.39,-0.83,53,2.22
CA-097,Sonoma County,California,2.56,-2.65,44,5.21
CA-099,Stanislaus County,California,1.36,-0.1,76,1.46
CA-101,Sutter County,California,1.45,-0.79,54,2.24
CA-103,Tehama County,California,3.53,-1.01,68,4.54
CA-105,Trinity County,California,5.23,-2.62,53,7.85
CA-107,Tulare County,California,1.65,-0.28,72,1.93
CA-109,Tuolumne County,California,3.8,-0.53,71,4.33
CA-111,Ventura County,California,1.66,-0.03,82,1.69
CA-113,Yolo County,California,1.31,-0.93,52,2.24
CA-115,Yuba County,California,2.88,-1.69,51,4.57
