December 2022 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,9.51,6.29,127,3.22
CA-003,Alpine County,California,16.62,10.92,127,5.7
CA-005,Amador County,California,17.26,11.76,127,5.5
CA-007,Butte County,California,11.43,3.85,99,7.58
CA-009,Calaveras County,California,15.95,10.64,127,5.31
CA-011,Colusa County,California,6.25,2.09,96,4.16
CA-013,Contra Costa County,California,9.15,5.94,126,3.21
CA-015,Del Norte County,California,16.08,2.68,87,13.4
CA-017,El Dorado County,California,19.61,12.5,125,7.11
CA-019,Fresno County,California,6.6,3.62,115,2.98
CA-021,Glenn County,California,5.62,0.91,84,4.71
CA-023,Humboldt County,California,14.81,3.65,94,11.17
CA-025,Imperial County,California,0.12,-0.43,48,0.55
CA-027,Inyo County,California,1.04,0.26,97,0.78
CA-029,Kern County,California,1.94,0.61,99,1.33
CA-031,Kings County,California,2.45,1.36,117,1.09
CA-033,Lake County,California,12.94,4.79,101,8.15
CA-035,Lassen County,California,4.53,1.53,101,3
CA-037,Los Angeles County,California,2.93,0.5,88,2.43
CA-039,Madera County,California,7.43,3.92,117,3.51
CA-041,Marin County,California,12.83,6.45,114,6.38
CA-043,Mariposa County,California,12.16,6.97,121,5.19
CA-045,Mendocino County,California,14.35,4.96,101,9.4
CA-047,Merced County,California,4.64,2.86,126,1.78
CA-049,Modoc County,California,4.45,2.12,116,2.33
CA-051,Mono County,California,6.12,3.92,124,2.2
CA-053,Monterey County,California,8.31,4.88,120,3.43
CA-055,Napa County,California,10.33,4.69,107,5.64
CA-057,Nevada County,California,19.89,11.85,125,8.04
CA-059,Orange County,California,2.46,0.37,87,2.09
CA-061,Placer County,California,19.22,11.9,125,7.32
CA-063,Plumas County,California,12.44,5.81,110,6.63
CA-065,Riverside County,California,0.61,-0.62,56,1.23
CA-067,Sacramento County,California,8.46,5.51,127,2.95
CA-069,San Benito County,California,5.9,3.09,114,2.81
CA-071,San Bernardino County,California,0.51,-0.37,59,0.88
CA-073,San Diego County,California,1.67,-0.51,67,2.18
CA-075,San Francisco County,California,12.77,8.48,126,4.29
CA-077,San Joaquin County,California,7.51,5.23,128,2.28
CA-079,San Luis Obispo County,California,6.82,3.98,118,2.84
CA-081,San Mateo County,California,13.72,8.61,126,5.11
CA-083,Santa Barbara County,California,5.92,3.03,113,2.89
CA-085,Santa Clara County,California,12.07,7.96,128,4.11
CA-087,Santa Cruz County,California,17.48,11.48,128,6
CA-089,Shasta County,California,10.56,3.89,100,6.67
CA-091,Sierra County,California,16.4,9.19,124,7.21
CA-093,Siskiyou County,California,8.9,2.55,97,6.35
CA-095,Solano County,California,8.02,4.52,120,3.5
CA-097,Sonoma County,California,12.46,4.9,102,7.56
CA-099,Stanislaus County,California,6.81,4.59,128,2.22
CA-101,Sutter County,California,6.01,2.82,115,3.19
CA-103,Tehama County,California,9.13,2.95,100,6.18
CA-105,Trinity County,California,14.43,4.38,94,10.05
CA-107,Tulare County,California,6.92,3.58,115,3.34
CA-109,Tuolumne County,California,16.81,10.44,125,6.37
CA-111,Ventura County,California,5.32,2.14,96,3.18
CA-113,Yolo County,California,6.8,3.19,111,3.62
CA-115,Yuba County,California,12.36,6.18,115,6.18
