June 2022 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.07,-0.07,80,0.14
CA-003,Alpine County,California,0.58,-0.25,63,0.83
CA-005,Amador County,California,0.47,-0.01,85,0.48
CA-007,Butte County,California,1.26,0.63,108,0.63
CA-009,Calaveras County,California,0.25,-0.16,75,0.41
CA-011,Colusa County,California,0.4,0.11,92,0.29
CA-013,Contra Costa County,California,0.09,-0.04,87,0.13
CA-015,Del Norte County,California,3.53,2.02,117,1.51
CA-017,El Dorado County,California,0.91,0.16,88,0.75
CA-019,Fresno County,California,0.05,-0.16,50,0.21
CA-021,Glenn County,California,0.5,0.09,87,0.41
CA-023,Humboldt County,California,1.55,0.66,97,0.89
CA-025,Imperial County,California,0,-0.01,1,0.01
CA-027,Inyo County,California,0.09,-0.02,86,0.11
CA-029,Kern County,California,0.17,0.11,112,0.06
CA-031,Kings County,California,0.05,0.01,98,0.04
CA-033,Lake County,California,0.66,0.25,102,0.41
CA-035,Lassen County,California,1.48,0.44,100,1.04
CA-037,Los Angeles County,California,0.13,0.07,111,0.06
CA-039,Madera County,California,0.02,-0.26,25,0.28
CA-041,Marin County,California,0.56,0.31,107,0.25
CA-043,Mariposa County,California,0.08,-0.32,39,0.4
CA-045,Mendocino County,California,1.07,0.57,106,0.5
CA-047,Merced County,California,0.01,-0.06,73,0.07
CA-049,Modoc County,California,1.27,0.19,91,1.08
CA-051,Mono County,California,0.07,-0.43,23,0.5
CA-053,Monterey County,California,0.07,-0,86,0.07
CA-055,Napa County,California,0.29,0.07,97,0.23
CA-057,Nevada County,California,1.39,0.6,104,0.79
CA-059,Orange County,California,0.06,0,105,0.06
CA-061,Placer County,California,1.02,0.31,91,0.71
CA-063,Plumas County,California,1.27,0.34,93,0.93
CA-065,Riverside County,California,0.04,0.01,110,0.03
CA-067,Sacramento County,California,0.16,-0.01,87,0.17
CA-069,San Benito County,California,0.17,0.1,110,0.07
CA-071,San Bernardino County,California,0.04,-0.01,87,0.05
CA-073,San Diego County,California,0.02,-0.04,75,0.06
CA-075,San Francisco County,California,0.36,0.16,106,0.2
CA-077,San Joaquin County,California,0.07,-0.04,82,0.11
CA-079,San Luis Obispo County,California,0,-0.04,1,0.04
CA-081,San Mateo County,California,0.12,-0.09,81,0.21
CA-083,Santa Barbara County,California,0,-0.04,1,0.04
CA-085,Santa Clara County,California,0.02,-0.12,54,0.14
CA-087,Santa Cruz County,California,0.06,-0.15,68,0.21
CA-089,Shasta County,California,1.14,0.15,83,0.99
CA-091,Sierra County,California,1.61,0.72,104,0.89
CA-093,Siskiyou County,California,1.17,0.08,83,1.09
CA-095,Solano County,California,0.17,0.03,95,0.14
CA-097,Sonoma County,California,0.82,0.5,110,0.32
CA-099,Stanislaus County,California,0.01,-0.08,49,0.09
CA-101,Sutter County,California,0.3,0.09,91,0.21
CA-103,Tehama County,California,1.07,0.36,91,0.71
CA-105,Trinity County,California,1.12,0.22,88,0.9
CA-107,Tulare County,California,0.16,-0.02,94,0.18
CA-109,Tuolumne County,California,0.3,-0.39,54,0.69
CA-111,Ventura County,California,0.02,-0.03,79,0.05
CA-113,Yolo County,California,0.26,0.08,96,0.18
CA-115,Yuba County,California,0.84,0.39,106,0.45
