September 2022 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,0.59,0.37,111,0.22
CA-003,Alpine County,California,1.49,0.66,108,0.83
CA-005,Amador County,California,1.12,0.57,110,0.55
CA-007,Butte County,California,1.72,1.07,115,0.65
CA-009,Calaveras County,California,1.36,0.89,116,0.47
CA-011,Colusa County,California,1.18,0.91,121,0.27
CA-013,Contra Costa County,California,0.56,0.37,111,0.19
CA-015,Del Norte County,California,0.41,-1.37,28,1.78
CA-017,El Dorado County,California,1.51,0.77,108,0.74
CA-019,Fresno County,California,0.77,0.38,110,0.39
CA-021,Glenn County,California,1.71,1.33,123,0.38
CA-023,Humboldt County,California,0.94,-0.13,81,1.07
CA-025,Imperial County,California,0.9,0.63,122,0.27
CA-027,Inyo County,California,0.53,0.25,108,0.28
CA-029,Kern County,California,0.35,0.17,106,0.18
CA-031,Kings County,California,0.08,-0.05,93,0.13
CA-033,Lake County,California,1.61,1.12,118,0.49
CA-035,Lassen County,California,1.07,0.44,104,0.63
CA-037,Los Angeles County,California,0.49,0.28,111,0.21
CA-039,Madera County,California,0.74,0.33,107,0.41
CA-041,Marin County,California,1.02,0.72,119,0.3
CA-043,Mariposa County,California,1.12,0.6,113,0.52
CA-045,Mendocino County,California,2.31,1.65,118,0.66
CA-047,Merced County,California,0.22,0.06,108,0.16
CA-049,Modoc County,California,0.99,0.3,98,0.69
CA-051,Mono County,California,1.43,0.9,117,0.53
CA-053,Monterey County,California,0.62,0.42,118,0.2
CA-055,Napa County,California,1.06,0.77,118,0.29
CA-057,Nevada County,California,1.63,0.83,111,0.8
CA-059,Orange County,California,0.42,0.22,109,0.2
CA-061,Placer County,California,1.54,0.83,113,0.71
CA-063,Plumas County,California,1.3,0.46,100,0.84
CA-065,Riverside County,California,0.74,0.4,116,0.34
CA-067,Sacramento County,California,0.46,0.24,109,0.22
CA-069,San Benito County,California,0.24,0.04,104,0.2
CA-071,San Bernardino County,California,0.36,0.02,85,0.34
CA-073,San Diego County,California,1.02,0.74,122,0.28
CA-075,San Francisco County,California,0.4,0.15,102,0.25
CA-077,San Joaquin County,California,0.32,0.13,108,0.19
CA-079,San Luis Obispo County,California,0.7,0.52,119,0.18
CA-081,San Mateo County,California,0.46,0.2,104,0.26
CA-083,Santa Barbara County,California,0.39,0.23,109,0.16
CA-085,Santa Clara County,California,0.85,0.61,118,0.24
CA-087,Santa Cruz County,California,1.13,0.85,120,0.28
CA-089,Shasta County,California,1.15,0.28,95,0.87
CA-091,Sierra County,California,1.58,0.71,108,0.87
CA-093,Siskiyou County,California,0.79,-0.15,78,0.94
CA-095,Solano County,California,0.71,0.51,120,0.2
CA-097,Sonoma County,California,1.51,1.12,119,0.39
CA-099,Stanislaus County,California,0.26,0.09,111,0.17
CA-101,Sutter County,California,1.27,1,123,0.27
CA-103,Tehama County,California,1.37,0.74,113,0.63
CA-105,Trinity County,California,2.18,1.2,110,0.98
CA-107,Tulare County,California,0.16,-0.21,74,0.37
CA-109,Tuolumne County,California,1.77,1.03,114,0.74
CA-111,Ventura County,California,0.38,0.16,103,0.22
CA-113,Yolo County,California,0.98,0.76,122,0.22
CA-115,Yuba County,California,1.28,0.77,114,0.51
