January 2024 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,5.23,1.26,96,3.97
CA-003,Alpine County,California,4.7,-1.9,60,6.6
CA-005,Amador County,California,6.32,-0.38,76,6.7
CA-007,Butte County,California,9.56,0.83,85,8.73
CA-009,Calaveras County,California,6.41,-0.25,76,6.66
CA-011,Colusa County,California,5.19,0.73,85,4.46
CA-013,Contra Costa County,California,4.57,0.48,88,4.09
CA-015,Del Norte County,California,25.85,11.95,124,13.9
CA-017,El Dorado County,California,7.2,-1.23,68,8.43
CA-019,Fresno County,California,2.9,-0.85,59,3.75
CA-021,Glenn County,California,5,-0.16,72,5.16
CA-023,Humboldt County,California,19.32,7.66,115,11.66
CA-025,Imperial County,California,1.42,0.89,118,0.53
CA-027,Inyo County,California,0.84,-0.19,72,1.03
CA-029,Kern County,California,1.87,0.11,85,1.76
CA-031,Kings County,California,1.36,-0.17,71,1.53
CA-033,Lake County,California,10.26,1.21,83,9.05
CA-035,Lassen County,California,2.59,-0.74,64,3.33
CA-037,Los Angeles County,California,1.87,-1.42,54,3.29
CA-039,Madera County,California,3.86,-0.58,68,4.44
CA-041,Marin County,California,9.02,1.23,91,7.79
CA-043,Mariposa County,California,5.76,-0.61,72,6.37
CA-045,Mendocino County,California,14.13,3.66,97,10.47
CA-047,Merced County,California,3.35,1.09,102,2.26
CA-049,Modoc County,California,3.22,0.52,93,2.7
CA-051,Mono County,California,1.33,-1.31,43,2.64
CA-053,Monterey County,California,4.49,0.1,75,4.39
CA-055,Napa County,California,6.28,-0.59,69,6.87
CA-057,Nevada County,California,9.29,-0.32,77,9.61
CA-059,Orange County,California,1.88,-0.98,64,2.86
CA-061,Placer County,California,7.95,-0.76,69,8.71
CA-063,Plumas County,California,5.58,-2.18,59,7.76
CA-065,Riverside County,California,1.62,0.08,89,1.54
CA-067,Sacramento County,California,3.7,-0.2,77,3.9
CA-069,San Benito County,California,3.63,0.18,76,3.45
CA-071,San Bernardino County,California,0.95,-0.22,72,1.17
CA-073,San Diego County,California,3.47,0.73,95,2.74
CA-075,San Francisco County,California,7.02,1.75,97,5.27
CA-077,San Joaquin County,California,3.66,0.73,92,2.93
CA-079,San Luis Obispo County,California,3.07,-0.64,68,3.71
CA-081,San Mateo County,California,7.92,1.72,93,6.2
CA-083,Santa Barbara County,California,2.28,-1.79,53,4.07
CA-085,Santa Clara County,California,6.85,2.01,101,4.84
CA-087,Santa Cruz County,California,9.45,2.26,96,7.19
CA-089,Shasta County,California,8.82,1.2,87,7.62
CA-091,Sierra County,California,6.24,-2.33,58,8.57
CA-093,Siskiyou County,California,9.62,2.88,104,6.74
CA-095,Solano County,California,4.31,-0.06,76,4.37
CA-097,Sonoma County,California,10.4,1.28,87,9.12
CA-099,Stanislaus County,California,4.39,1.63,108,2.76
CA-101,Sutter County,California,4.63,0.7,93,3.93
CA-103,Tehama County,California,7.16,0.3,80,6.86
CA-105,Trinity County,California,15.94,5.17,106,10.77
CA-107,Tulare County,California,2.93,-1.19,56,4.12
CA-109,Tuolumne County,California,5.94,-1.74,61,7.68
CA-111,Ventura County,California,2.57,-1.87,56,4.44
CA-113,Yolo County,California,3.94,-0.31,71,4.25
CA-115,Yuba County,California,8.06,0.63,84,7.43
