February 2023 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,3.24,-0.1,74,3.34
CA-003,Alpine County,California,7.71,1.78,95,5.93
CA-005,Amador County,California,5.22,-0.83,73,6.05
CA-007,Butte County,California,4.61,-3,54,7.61
CA-009,Calaveras County,California,5.07,-0.9,72,5.97
CA-011,Colusa County,California,2.64,-1.44,57,4.08
CA-013,Contra Costa County,California,2.98,-0.39,73,3.37
CA-015,Del Norte County,California,6.54,-5.08,38,11.62
CA-017,El Dorado County,California,7.3,-0.29,76,7.59
CA-019,Fresno County,California,4.96,1.4,100,3.56
CA-021,Glenn County,California,2.83,-1.83,51,4.66
CA-023,Humboldt County,California,8.01,-2.05,59,10.06
CA-025,Imperial County,California,0.08,-0.42,42,0.5
CA-027,Inyo County,California,1.44,0.37,91,1.07
CA-029,Kern County,California,3.21,1.4,112,1.81
CA-031,Kings County,California,3.37,1.87,121,1.5
CA-033,Lake County,California,5.28,-2.43,57,7.71
CA-035,Lassen County,California,1.29,-1.51,31,2.8
CA-037,Los Angeles County,California,4.86,1.44,97,3.42
CA-039,Madera County,California,4.49,0.48,85,4.01
CA-041,Marin County,California,4.67,-1.88,61,6.55
CA-043,Mariposa County,California,5.91,0.12,81,5.79
CA-045,Mendocino County,California,6.27,-2.55,57,8.82
CA-047,Merced County,California,2.16,0.06,79,2.1
CA-049,Modoc County,California,1.46,-0.75,52,2.21
CA-051,Mono County,California,3.84,1.42,105,2.42
CA-053,Monterey County,California,3.48,-0.62,72,4.1
CA-055,Napa County,California,4.22,-1.66,63,5.88
CA-057,Nevada County,California,7.07,-1.68,69,8.75
CA-059,Orange County,California,3.56,0.61,90,2.95
CA-061,Placer County,California,7.4,-0.52,77,7.92
CA-063,Plumas County,California,4.19,-2.54,51,6.73
CA-065,Riverside County,California,0.9,-0.67,61,1.57
CA-067,Sacramento County,California,2.65,-0.84,63,3.49
CA-069,San Benito County,California,2.99,-0.33,76,3.32
CA-071,San Bernardino County,California,0.73,-0.44,64,1.17
CA-073,San Diego County,California,2.51,-0.28,74,2.79
CA-075,San Francisco County,California,3.96,-0.48,70,4.44
CA-077,San Joaquin County,California,2.17,-0.35,69,2.52
CA-079,San Luis Obispo County,California,4.06,0.48,83,3.59
CA-081,San Mateo County,California,4.94,-0.31,74,5.25
CA-083,Santa Barbara County,California,5.36,1.18,92,4.18
CA-085,Santa Clara County,California,4.51,0.31,78,4.2
CA-087,Santa Cruz County,California,6.23,-0.02,76,6.25
CA-089,Shasta County,California,3.3,-3.45,33,6.75
CA-091,Sierra County,California,6.96,-0.81,73,7.77
CA-093,Siskiyou County,California,3,-2.62,36,5.62
CA-095,Solano County,California,2.91,-0.85,68,3.76
CA-097,Sonoma County,California,4.72,-2.9,52,7.62
CA-099,Stanislaus County,California,2.56,0.03,74,2.53
CA-101,Sutter County,California,2.15,-1.34,54,3.49
CA-103,Tehama County,California,4.07,-1.95,55,6.02
CA-105,Trinity County,California,5.36,-3.99,44,9.35
CA-107,Tulare County,California,6.54,2.4,105,4.14
CA-109,Tuolumne County,California,7.35,0.32,80,7.03
CA-111,Ventura County,California,5.42,0.88,91,4.54
CA-113,Yolo County,California,2.7,-1.16,56,3.86
CA-115,Yuba County,California,4.3,-2.5,53,6.8
