City_ID,County,Rainfall (inches),Month,Year
0,Alameda,0.63,March,2013
1,Alpine,2.56,March,2013
2,Amador,2.89,March,2013
3,Butte,2.57,March,2013
4,Calaveras,2.75,March,2013
5,Colusa,1.51,March,2013
6,Contra Costa,0.6,March,2013
7,Del Norte,5.82,March,2013
8,El Dorado,3.2,March,2013
9,Fresno,0.86,March,2013
10,Glenn,1.33,March,2013
11,Humboldt,4.27,March,2013
12,Imperial,0.05,March,2013
13,Inyo,0.3,March,2013
14,Kern,0.65,March,2013
15,Kings,0.85,March,2013
16,Lake,3.02,March,2013
17,Lassen,0.69,March,2013
18,Los Angeles,0.75,March,2013
19,Madera,1.19,March,2013
20,Marin,1.3,March,2013
21,Mariposa,2.03,March,2013
22,Mendocino,3.63,March,2013
23,Merced,0.58,March,2013
24,Modoc,0.62,March,2013
25,Mono,0.58,March,2013
26,Monterey,0.81,March,2013
27,Napa,1.33,March,2013
28,Nevada,3.37,March,2013
29,Orange,0.68,March,2013
30,Placer,3.14,March,2013
31,Plumas,2.37,March,2013
32,Riverside,0.35,March,2013
33,Sacramento,1.45,March,2013
34,San Benito,0.52,March,2013
35,San Bernardino,0.34,March,2013
36,San Diego,1.15,March,2013
37,San Francisco,0.8,March,2013
38,San Joaquin,0.9,March,2013
39,San Luis Obispo,0.73,March,2013
40,San Mateo,1.23,March,2013
41,Santa Barbara,0.89,March,2013
42,Santa Clara,0.99,March,2013
43,Santa Cruz,1.49,March,2013
44,Shasta,3.15,March,2013
45,Sierra,2.62,March,2013
46,Siskiyou,2.64,March,2013
47,Solano,0.73,March,2013
48,Sonoma,2.33,March,2013
49,Stanislaus,0.86,March,2013
50,Sutter,1.67,March,2013
51,Tehama,2.22,March,2013
52,Trinity,4.38,March,2013
53,Tulare,0.86,March,2013
54,Tuolumne,2.68,March,2013
55,Ventura,1.19,March,2013
56,Yolo,1.25,March,2013
57,Yuba,2.86,March,2013
58,Alameda,0.69,April,2013
59,Alpine,1.63,April,2013
60,Amador,1.56,April,2013
61,Butte,0.93,April,2013
62,Calaveras,1.54,April,2013
63,Colusa,0.82,April,2013
64,Contra Costa,0.78,April,2013
65,Del Norte,4.01,April,2013
66,El Dorado,1.85,April,2013
67,Fresno,0.42,April,2013
68,Glenn,1.06,April,2013
69,Humboldt,2.86,April,2013
70,Imperial,0.0,April,2013
71,Inyo,0.02,April,2013
72,Kern,0.08,April,2013
73,Kings,0.06,April,2013
74,Lake,1.5,April,2013
75,Lassen,0.92,April,2013
76,Los Angeles,0.03,April,2013
77,Madera,0.87,April,2013
78,Marin,1.52,April,2013
79,Mariposa,1.14,April,2013
80,Mendocino,2.18,April,2013
81,Merced,0.41,April,2013
82,Modoc,1.54,April,2013
83,Mono,0.5,April,2013
84,Monterey,0.3,April,2013
85,Napa,1.05,April,2013
86,Nevada,1.43,April,2013
87,Orange,0.03,April,2013
88,Placer,1.33,April,2013
89,Plumas,1.09,April,2013
90,Riverside,0.01,April,2013
91,Sacramento,0.8,April,2013
92,San Benito,0.24,April,2013
93,San Bernardino,0.02,April,2013
94,San Diego,0.05,April,2013
95,San Francisco,1.14,April,2013
96,San Joaquin,0.57,April,2013
97,San Luis Obispo,0.09,April,2013
98,San Mateo,0.92,April,2013
99,Santa Barbara,0.08,April,2013
100,Santa Clara,0.68,April,2013
101,Santa Cruz,0.94,April,2013
102,Shasta,1.87,April,2013
103,Sierra,1.14,April,2013
104,Siskiyou,1.69,April,2013
105,Solano,0.84,April,2013
106,Sonoma,1.67,April,2013
107,Stanislaus,0.47,April,2013
108,Sutter,0.7,April,2013
109,Tehama,1.37,April,2013
110,Trinity,2.53,April,2013
111,Tulare,0.3,April,2013
112,Tuolumne,1.69,April,2013
113,Ventura,0.08,April,2013
114,Yolo,0.76,April,2013
115,Yuba,1.11,April,2013
116,Alameda,0.07,May,2013
117,Alpine,2.19,May,2013
118,Amador,1.0,May,2013
119,Butte,0.76,May,2013
120,Calaveras,0.6,May,2013
121,Colusa,0.52,May,2013
122,Contra Costa,0.07,May,2013
123,Del Norte,3.38,May,2013
124,El Dorado,1.99,May,2013
125,Fresno,0.34,May,2013
126,Glenn,0.31,May,2013
127,Humboldt,1.61,May,2013
128,Imperial,0.01,May,2013
129,Inyo,0.14,May,2013
130,Kern,0.14,May,2013
131,Kings,0.32,May,2013
132,Lake,0.41,May,2013
133,Lassen,1.33,May,2013
134,Los Angeles,0.55,May,2013
135,Madera,0.44,May,2013
136,Marin,0.16,May,2013
137,Mariposa,1.04,May,2013
138,Mendocino,0.64,May,2013
139,Merced,0.09,May,2013
140,Modoc,2.11,May,2013
141,Mono,0.82,May,2013
142,Monterey,0.06,May,2013
143,Napa,0.19,May,2013
144,Nevada,1.53,May,2013
145,Orange,0.45,May,2013
146,Placer,1.75,May,2013
147,Plumas,1.16,May,2013
148,Riverside,0.13,May,2013
149,Sacramento,0.38,May,2013
150,San Benito,0.03,May,2013
151,San Bernardino,0.07,May,2013
152,San Diego,0.58,May,2013
153,San Francisco,0.06,May,2013
154,San Joaquin,0.06,May,2013
155,San Luis Obispo,0.16,May,2013
156,San Mateo,0.09,May,2013
157,Santa Barbara,0.13,May,2013
158,Santa Clara,0.03,May,2013
159,Santa Cruz,0.03,May,2013
160,Shasta,1.32,May,2013
161,Sierra,1.36,May,2013
162,Siskiyou,2.11,May,2013
163,Solano,0.24,May,2013
164,Sonoma,0.29,May,2013
165,Stanislaus,0.09,May,2013
166,Sutter,0.31,May,2013
167,Tehama,0.85,May,2013
168,Trinity,1.55,May,2013
169,Tulare,0.43,May,2013
170,Tuolumne,1.19,May,2013
171,Ventura,0.35,May,2013
172,Yolo,0.34,May,2013
173,Yuba,0.65,May,2013
174,Alameda,0.12,June,2013
175,Alpine,0.38,June,2013
176,Amador,0.74,June,2013
177,Butte,1.42,June,2013
178,Calaveras,0.59,June,2013
179,Colusa,0.45,June,2013
180,Contra Costa,0.2,June,2013
181,Del Norte,1.33,June,2013
182,El Dorado,1.21,June,2013
183,Fresno,0.03,June,2013
184,Glenn,0.4,June,2013
